class_code,assess_ratio,loa_2022,class_desc,improvement_ind,vacant_ind,land,comparable_props,building type,Alea_cat,incent_prop,Option2,Res_nonRes,class_1dig,major_class_code,major_class_type,assessment_level,last2dig,used_in2021
716,0.1,0,Non-Fireproof hotel or rooming house (Apartment hotel),0,0,0,516,Hotel,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,16,not used
717,0.1,0.1,One-story commercial use building,0,0,0,517,Commercial(1floor),Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,17,
722,0.1,0.1,"Garage, service station",0,0,0,523,Gas station,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,22,
723,0.1,0.1,"Gasoline station, with /without bays, store",0,0,0,523,Gas station,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,23,
726,0.1,0,Commercial greenhouse,0,0,0,526,Greenhouse,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,26,not used
727,0.1,0,Theatre,0,0,0,527,Theatre,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,27,
728,0.1,0.1,Bank building,0,0,0,528,Bank,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,28,
729,0.1,0.1,Motel,0,0,0,529,Motel,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,29,
730,0.1,0.2,Supermarket,0,0,0,530,Supermarket,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,30,
731,0.1,0.1,Shopping center,0,0,0,531,Shopping Center,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,31,
732,0.1,0.1,Bowling alley,0,0,0,532,Bowling,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,32,not used
733,0.1,0,Quonset hut or butler type building,0,0,0,533,Quonset hut,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,33,not used
735,0.1,0,Golf course improvement,1,0,0,535,Golf Course,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,35,not used
742,0.1,0,Commercial incentive land,0,0,1,500,Commercial,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,42,not used
743,0.1,0.1,Garage used in conjunction with commercial incentive improvement,1,0,0,,Garage,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,43,not used
745,0.1,0,Golf course improvement,1,0,0,535,Golf Course,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,45,not used
746,0.1,0.15,Non-Fireproof hotel or rooming house (Apartment hotel),0,0,0,516,Hotel,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,46,not used
747,0.1,0,One-story commercial building,0,0,0,517,Commercial(1floor),Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,47,not used
748,0.1,0.1,Motel,0,0,0,529,Motel,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,48,
752,0.1,0.1,"Garage, service station",0,0,0,523,Gas station,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,52,
753,0.1,0,"Gasoline station, with/without bays, store",0,0,0,523,Gas station,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,53,not used
756,0.1,0,Commercial greenhouse,0,0,0,526,Greenhouse,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,56,not used
757,0.1,0,Theatre,0,0,0,527,Theatre,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,57,not used
758,0.1,0,Bank building,0,0,0,528,Bank,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,58,not used
760,0.1,0.1,Supermarket,0,0,0,530,Supermarket,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,60,
761,0.1,0,"Shopping center (Regional, community, neighborhood, promotional, specialty)",0,0,0,,Shopping Center,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,61,not used
762,0.1,0,Bowling alley,0,0,0,532,Bowling,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,62,not used
764,0.1,0,Quonset hut or butler type building,0,0,0,533,Quonset hut,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,64,not used
765,0.1,0.1,Other minor commercial improvements,1,0,0,,Com. Improvement,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,65,
767,0.1,0.1,Special commercial structure,0,0,0,597,Special Commercial,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,67,
772,0.1,0,"Two-or-three-story building, containing part or all retail and/or commercial space",0,0,0,592,Commercial(2-3),Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,72,not used
774,0.1,0.1,Office building,0,0,0,774,Office,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,74,
790,0.1,0.1,Other minor commercial improvement,1,0,0,,Com. Improvement,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,90,
791,0.1,0.1,"Office building (One story, low, rise, mid rise, high rise)",0,0,0,774,Office,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,91,
792,0.1,0.1,Two-or-three-story building containing part or all retail and/or commercial space,0,0,0,592,Commercial(2-3),Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,92,
797,0.1,0.1,Special commercial structure,0,0,0,597,Special Commercial,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,97,
798,0.1,0,Commercial/Industrial-condominium units/garage,0,0,0,,Garage,Commercial,Incentive,big  project,NonRes,7,7B,Commercial Incentive,,98,
799,0.1,0.2,Commercial/Industrial-Condominium unit/garage,0,0,0,,Condo Grage,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,99,
800,0.1,0.2,Commercial incentive land,0,0,1,500,Commercial,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,0,
801,0.1,0.1,Garage used in conjunction with commercial incentive improvement,1,0,0,501,Garage,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,1,
816,0.1,0.1,Non-fireproof hotel or rooming house (apartment hotel),0,0,0,516,Hotel,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,16,not used
817,0.1,0.1,One-story commercial building,0,0,0,517,Commercial(1floor),Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,17,
822,0.1,0.1,"Garage, service station",0,0,0,523,Gas station,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,22,not used
823,0.1,0.1,"Gasoline station with/without bay, store",0,0,0,523,Gas station,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,23,
826,0.1,0.1,Commercial greenhouse,0,0,0,526,Greenhouse,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,26,
827,0.1,0.1,Theatre,0,0,0,527,Theatre,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,27,
828,0.1,0.1,Bank building,0,0,0,528,Bank,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,28,
829,0.1,0.2,Motel,0,0,0,529,Motel,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,29,
830,0.1,0.1,Supermarket,0,0,0,530,Supermarket,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,30,
831,0.1,0.1,"Shopping center (Regional, community, neighborhood, promotional, specialty)",0,0,0,531,Shopping Center,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,31,
832,0.1,0.1,Bowling alley,0,0,0,532,Bowling,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,32,not used
