class_code,class_desc,Alea_cat,Option2,Res_nonRes,class_1dig,major_class_code,major_class_type,assessment_level,incent_nonincent,groups_5,hybrid_groups
219,A residential building licensed as a Bed & Breakfast by the municipality,Owner Occupied,Other,Res,2,2,Residential,10%,non-incentive,Residential,Residential
224,Farm building,Owner Occupied,Other,Res,2,2,Residential,10%,non-incentive,Residential,Residential
225,Single-room occupancy rental building,Rental,Other,Res,2,2,Residential,10%,non-incentive,Residential,Residential
234,"Spllit level residence, with a lower level below grade, all ages, all sizes",Owner Occupied,Single-Family,Res,2,2,Residential,10%,non-incentive,Residential,Residential
236,Any residence located on a parcel used primarily for commercial or industrial purposes,Owner Occupied,Multi-Family,Res,2,2,Residential,10%,non-incentive,Residential,Residential
239,"Non-equalized land under agricultural use, valued at farm pricing",Owner Occupied,Other,Res,2,2,Residential,10%,non-incentive,Residential,Residential
240,First-time agricultural use of land valued at market price,Owner Occupied,Other,Res,2,2,Residential,10%,non-incentive,Residential,Residential
241,Vacant land under common ownership with adjacent residence,Owner Occupied,Vacant,Res,2,2,Residential,10%,non-incentive,Residential,Residential
278,"Two or more story residence, up to 62 years, 2,001 to 3,800 sq. ft.",Owner Occupied,Single-Family,Res,2,2,Residential,10%,non-incentive,Residential,Residential
288,Home improvement,Owner Occupied,Other,Res,2,2,Residential,10%,non-incentive,Residential,Residential
290,Minor improvement,Other Residential,Other,Res,2,2,Residential,10%,non-incentive,Residential,Residential
295,"Individually owned row houses or townhouses, up to 62 years",Owner Occupied,Multi-Family,Res,2,2,Residential,10%,non-incentive,Residential,Residential
297,Special residential improvements (May apply to condo building in first year of construction before division into individual units.),Owner Occupied,Multi-Family,Res,2,2,Residential,10%,non-incentive,Residential,Residential
299,Condominium,Owner Occupied,Multi-Family,Res,2,2,Residential,10%,non-incentive,Residential,Residential
300,Land used in conjunction with rental apartments,Rental,,Res,3,3,Multi-Family,10%,non-incentive,Other,Other
301,Garage used in conjunction with rental apartments,Rental,,Res,3,3,Multi-Family,10%,non-incentive,Other,Other
313,"Two-or-three-story, building, seven or more units",Rental,,Res,3,3,Multi-Family,10%,non-incentive,Other,Other
