year,clean_name,incentive,cur_munilevel_rate,av,eav,pins_in_muni,incent_pins,final_tax_to_dist,current_taxable_eav,new_av,new_taxable_eav,munilevy,cur_muni_taxable_eav,new_muni_taxable_eav,new_comp_rate,group_taxes_hyp,group_taxes_cur,pct_eav,rate_change,pct_taxburden_current,pct_taxburden_no_incent,burden_shift,av_change_perPIN
2021,Alsip,Incentive,12.923631779382797,18869551,56659602,100,1,7387650.1,56608480.33,47173877.5,141521200.825,82505440.33,640392525.5220001,725305246.017,11.375271416148864,1609842070.5236855,731587155.3753539,0.08847636370180201,1.5483603632339324,8.867138366260434,19.511950534228312,-10.64,283043.265
2021,Alsip,Non-Incentive,12.923631779382797,218473953,656008098,7515,7,75117790.23,583784045.192,218473953,583784045.192,82505440.33,640392525.5220001,725305246.017,11.375271416148864,6640701962.476315,7544610038.739974,1.0243843765435445,1.5483603632339324,91.44378853762278,80.4880494657717,10.96,NA
2021,Arlington Heights,Incentive,10.179163829995751,10261561,30812391,34,2,3173780.99,29701844.999,25653902.5,74254612.4975,319606289.91,3133985147.1478,3178537914.6463,10.055135363882078,746640180.0549724,302339946.297961,0.009831696563093786,0.12402846611367302,0.9459762083627917,2.3361247998755705,-1.39,452715.92647058825
2021,Arlington Heights,Non-Incentive,10.179163829995751,1153844618,3464649101,30577,8,316432508.92,3104283302.1488,1153844618,3104283302.1488,319606289.91,3133985147.1478,3178537914.6463,10.055135363882078,31213988810.945034,31599008307.292835,1.1055091004988116,0.12402846611367302,98.86854328239598,97.66387520012444,1.2,NA
2021,Barrington,Non-Incentive,8.228960881934565,126052198,378496935,2812,8,28298165.78,343574936.2876,126052198,343574936.2876,28298165.78,343574936.2876,343574936.2876,8.236388278425569,2829816578,2827264710.7238207,1.1016430333648304,-0.007427396491003435,99.90982216670795,100,-0.09,NA
2021,Barrington Hills,Non-Incentive,9.015275065963062,70117588,210269989,1516,4,18247263.55,202314697.493,70117588,202314697.493,18247263.55,202314697.493,202314697.493,9.019247625660686,1824726355.0000002,1823922647.7865024,1.039321372127575,-0.003972559697624334,99.95595464430623,100.00000000000001,-0.04,NA
2021,Bartlett,Incentive,12.460399732396722,2464012,7398689,4,1,426576.34,3472334.88,6160030,8680837.2,48906288.830000006,385825978.481,391034480.801,12.506899322489348,108570356.89532031,43266680.6095438,0.019176233360772385,-0.046499590092626164,0.8846854186777556,2.2199671962989203,-1.34,924004.5
2021,Bartlett,Non-Incentive,12.460399732396722,144300600,433226157,5975,7,48479712.49,382353643.601,144300600,382353643.601,48906288.830000006,385825978.481,391034480.801,12.506899322489348,4782058526.104681,4764279238.406812,1.1228537764761588,-0.046499590092626164,97.4164949413278,97.78003280370109,-0.36,NA
2021,Bedford Park,Incentive,12.986591757387249,52963179,159032532,154,3,19685384.380000003,155302984.4347,132407947.5,388257461.08675003,61689669.730000004,489198435.2677,722152911.91975,8.542466382362983,3316676309.0351663,2016856457.5573153,0.3250879817572882,4.4441253750242655,32.69358494517126,53.763884999731964,-21.07,515875.12012987013
2021,Bedford Park,Non-Incentive,12.986591757387249,131407561,394577465,1132,5,42004285.35,333895450.833,131407561,333895450.833,61689669.730000004,489198435.2677,722152911.91975,8.542466382362983,2852290663.9648347,4336163909.616938,0.8065795729376743,4.4441253750242655,70.28995176332154,46.23611500026804,24.05,NA
2021,Bellwood,Incentive,17.31437171286425,3241879,9734393,45,2,1343040.74,7760134.313,8104697.5,19400335.7825,43823561.59,253182688.7922,264822890.2617,16.548252889579608,321041662.67157024,134361850.03703445,0.03844809866913735,0.7661188232846428,3.06597285026907,7.325777527512232,-4.26,108062.63333333333
2021,Bellwood,Non-Incentive,17.31437171286425,121473416,364748222,6990,7,42480520.85,245422554.4792,121473416,245422554.4792,43823561.59,253182688.7922,264822890.2617,16.548252889579608,4061314496.32843,4249337334.973546,1.4406522963320274,0.7661188232846428,96.9646733583423,92.67422247248777,4.29,NA
2021,Bensenville,Incentive,11.619753246753248,1170488,3514625,7,1,414590.12,3500465.389,2926220,8751163.4725,3051321.88,26075152.747799996,31325850.831299998,9.74058740313989,85241472.68305144,40674544.06898012,0.13478828039833957,1.8791658436133591,13.33013876234523,27.93591631278554,-14.61,250818.85714285713
2021,Bensenville,Non-Incentive,11.619753246753248,7493854,22501797,70,4,2636731.76,22574687.358799998,7493854,22574687.358799998,3051321.88,26075152.747799996,31325850.831299998,9.74058740313989,219890715.31694856,262312296.73185578,0.8629593551239508,1.8791658436133591,85.96677343389803,72.06408368721446,13.9,NA
2021,Berkeley,Incentive,14.363460259394746,1434500,4307373,4,1,558041.62,3802798.187,3586250,9506995.4675,15594888.899999999,107095297.8815,112799495.162,13.825317992428054,131437235.4907597,54621340.63347289,0.04022000111308407,0.5381422669666911,3.5025155346552608,8.428225191829338,-4.93,537937.5
2021,Berkeley,Non-Incentive,14.363460259394746,43922851,131887136,3003,6,15036847.28,103292499.6945,43922851,103292499.6945,15594888.899999999,107095297.8815,112799495.162,13.825317992428054,1428051654.5092402,1483637714.4554946,1.231493245818616,0.5381422669666911,95.13615159230116,91.57177480817066,3.56,NA
2021,Berwyn,Incentive,13.933389337843764,153423,460683,9,1,67632.86,460682.9235,383557.5,1151707.3087499999,111162471.85000001,797894332.402,798585356.78725,13.919923638120832,16031677.79126565,6418874.534421594,5.773734456956838e-4,0.0134656997229321,0.057743179218640174,0.1442184356326514,-0.09,25570.5
2021,Berwyn,Non-Incentive,13.933389337843764,332266450,997696395,15954,8,111094838.99000001,797433649.4785,332266450,797433649.4785,111162471.85000001,797894332.402,798585356.78725,13.919923638120832,11100215507.208735,11110953509.281572,1.250411682956202,0.0134656997229321,99.95237893121366,99.85578156436735,0.1,NA
2021,Blue Island,Incentive,15.328818787322003,2225697,6683100,37,2,808823.73,4988877.634,5564242.5,12472194.084999999,37498994.62,243894075.59910002,251377392.05010003,14.917409363737203,186052824.82992676,76473601.20370974,0.02740164960376209,0.41140942358480004,2.039350707363304,4.961541681725406,-2.92,90230.95945945945
2021,Blue Island,Non-Incentive,15.328818787322003,103112675,309616403,8671,8,36690170.89,238905197.96510002,103112675,238905197.96510002,37498994.62,243894075.59910002,251377392.05010003,14.917409363737203,3563846637.170073,3662134486.9563074,1.2694707825085954,0.41140942358480004,97.65953791740104,95.03845831827459,2.62,NA
2021,Bridgeview,Incentive,13.021548515568428,13234719,39739891,33,2,4384559.16,33338410.608799998,33086797.5,83346026.522,65534363.03,502077608.32479995,552085224.2379999,11.87033453402995,989345216.8982728,434117731.1744304,0.07915089289202436,1.1512139815384774,6.624276350648317,15.09658705991199,-8.47,601578.1363636364
2021,Bridgeview,Non-Incentive,13.021548515568428,183447823,550838793,5491,6,61149803.870000005,468739197.71599996,183447823,468739197.71599996,65534363.03,502077608.32479995,552085224.2379999,11.87033453402995,5564091086.1017275,6103710204.207515,1.09711881961415,1.1512139815384774,93.13755291118628,84.90341294008802,8.23,NA
2021,Broadview,Incentive,12.19921534008683,2085871,6263244,15,1,776668.54,6092346.201,5214677.5,15230865.502500001,35666753.81,294949152.125,304087671.4265,11.729102216700978,178644378.3276472,74321843.23235893,0.021234995777664162,0.4701131233858522,2.0837849059176525,5.008708650058311,-2.92,208587.1
2021,Broadview,Non-Incentive,12.19921534008683,109674383,329319272,3440,8,34890085.27,288856805.924,109674383,288856805.924,35666753.81,294949152.125,304087671.4265,11.729102216700978,3388031002.672353,3523826377.9165454,1.1165289665265214,0.4701131233858522,98.7986290170472,94.99129134994168,3.81,NA
2021,Brookfield,Non-Incentive,12.451880514908131,169727701,509641323,9089,6,53101216.84,427420014.6565,169727701,427420014.6565,53101216.84,427420014.6565,427420014.6565,12.423661742343835,5310121684,5322182952.18302,1.192366537654017,0.028218772564295946,100.2271373219066,100,0.23,NA
2021,Buffalo Grove,Non-Incentive,11.771467088197149,140786211,422738600,6168,5,41682124.78,354301552.20460004,140786211,354301552.20460004,41682124.78,354301552.20460004,354301552.20460004,11.764589943407769,4168212478,4170649061.073613,1.193160451512443,0.006877144789379841,100.05845630678554,100,0.06,NA
2021,Burbank,Incentive,12.28893426117856,394119,1183421,1,1,46932.08,381903.1654,985297.5,954757.9135,61709566.74999999,502156861.2979,502729716.046,12.274899370450889,11719557.311354155,4693182.893736603,0.0023566759536875993,0.014034890727671723,0.07605276038883554,0.18991475598642338,-0.11,591178.5
2021,Burbank,Non-Incentive,12.28893426117856,208121791,624927272,10130,7,61662634.669999994,501774958.1325,208121791,501774958.1325,61709566.74999999,502156861.2979,502729716.046,12.274899370450889,6159237117.688645,6166279474.395917,1.244486175863019,0.014034890727671723,99.92420623170098,99.81008524401358,0.11,NA
2021,Burnham,Incentive,24.054519756838907,407729,1224289,14,1,288373.34,1207044.763,1019322.5,3017611.9075,11077166.81,46037834.6477,47848401.7922,23.150547134482856,69859366.69815548,29034882.098972436,0.026593105635153155,0.9039726223560507,2.6211469590546352,6.306609613849037,-3.69,43685.25
2021,Burnham,Non-Incentive,24.054519756838907,18736835,56261067,2289,7,10788793.47,44830789.8847,18736835,44830789.8847,11077166.81,46037834.6477,47848401.7922,23.150547134482856,1037857314.3018446,1078383120.99621,1.2220615376577175,0.9039726223560507,97.35188965672081,93.69339038615097,3.66,NA
2021,Burr Ridge,Incentive,7.217679492785308,1004519,3016270,4,1,218106.44,3016269.396,2511297.5,7540673.49,31665218.470000003,438514893.861,443039297.955,7.147270821383496,53895235.608657055,21770465.76422513,0.006878375266670176,0.07040867140181195,0.6875198345734049,1.70203264694725,-1.01,376694.625
2021,Burr Ridge,Non-Incentive,7.217679492785308,151150119,453850659,2283,5,31447112.03,435498624.465,151150119,435498624.465,31665218.470000003,438514893.861,443039297.955,7.147270821383496,3112626611.391343,3143289490.9372406,1.0349720507870848,0.07040867140181195,99.26631309729412,98.29796735305274,0.97,NA
2021,Calumet City,Incentive,25.770212494273935,7281112,21862995,141,2,5702874.96,22222405.355,18202780,55556013.3875,92759713.83999999,359745056.80251,393078664.83501,23.59825707633732,1311025086.0546627,572676108.132241,0.060773580030043815,2.1719554179366156,6.1737588919263215,14.133561131031868,-7.96,77458.63829787234
2021,Calumet City,Non-Incentive,25.770212494273935,148493184,445880497,17323,8,87056838.88,337522651.44751,148493184,337522651.44751,92759713.83999999,359745056.80251,393078664.83501,23.59825707633732,7964946297.945337,8698030449.433088,1.2394346734409083,2.1719554179366156,93.76948342505892,85.86643886896815,7.9,NA
2021,Calumet Park,Incentive,20.62638097982709,1426526,4283427,48,2,871480.55,4225155.3864,3566315,10562888.466,15016289.420000002,72802721.91239999,79140454.992,18.974226799072536,200422641.4071914,87149664.69885494,0.05883608315021575,1.652154180754554,5.8036750798623675,13.347015084848529,-7.54,44578.9375
2021,Calumet Park,Non-Incentive,20.62638097982709,31839316,95603869,3422,6,14144808.870000001,68577566.526,31839316,68577566.526,15016289.420000002,72802721.91239999,79140454.992,18.974226799072536,1301206300.5928087,1414507013.8347132,1.3131908600208042,1.652154180754554,94.19817201650027,86.65298491515146,7.55,NA
2021,Chicago,Incentive,6.7305353348858254,403267039,1210889931,640,5,45924091.6,674978892.218,1008167597.5,1687447230.545,6536952734.820001,96397769453.4938,97410237791.8208,6.710745074650548,11324028191.112568,4542969284.37534,0.012561389520368336,0.0197902602352773,0.6949674364595867,1.7323099386650809,-1.04,945157.12265625
2021,Chicago,Non-Incentive,6.7305353348858254,40115624578,120455187803,934201,9,6491028643.22,95722790561.2758,40115624578,95722790561.2758,6536952734.820001,96397769453.4938,97410237791.8208,6.710745074650548,642371245290.8876,644265624226.5421,1.249564056159126,0.0197902602352773,98.5574854771047,98.26769006133493,0.29,NA
2021,Chicago Heights,Incentive,20.88720060551014,9164617,27518594,113,2,5808978.59,26012266.200999998,22911542.5,65030665.5025,74443698.7,354769945.6929,393788344.9944,18.904495180287434,1229371902.5628955,543323422.3442181,0.07756743301987863,1.9827054252227079,7.298447441921879,16.514116359493777,-9.22,121654.20796460177
2021,Chicago Heights,Non-Incentive,20.88720060551014,137797916,413658628,16402,8,68634720.11,328757679.4919,137797916,328757679.4919,74443698.7,354769945.6929,393788344.9944,18.904495180287434,6214997967.437105,6866827602.149323,1.165991181107759,1.9827054252227079,92.24189181977498,83.48588364050623,8.76,NA
