clean_name,C2_EAV_pct,burden_C2_neg10,burden_C2_nochange,burden_C2_plus10,burden_C2_plus20,burden_C2_plus30,burden_C2_plus40,C2_av,C2_eav_original,C2_DistrictRev,C2_current_nonTIF_EAV_post_exemps,C2_current_TIF_increment_EAV,C2_current_Exempt_EAV,C2_current_GHE,C2_Total_EAV,C2_exe_neg10,C2_exe_0,C2_exe_plus10,C2_exe_plus20,C2_exe_plus30,C2_exe_plus40,C2_PC_permuni,agency_num,MuniLevy,current_nonTIF_EAV_post_exemps,current_TIF_increment_EAV,current_Exempt_EAV,Total_EAV,cur_muni_comp_rate,tr_neg10,tr_nochange,tr_plus10,tr_plus20,tr_plus30,tr_plus40,tax_rate_current,taxrate_noexemps,taxrate_noTIFs,taxrate_noTIFs_orExemps,C2_neg10_taxableEAV,C2_nochange,C2_plus10_taxableEAV,C2_plus20_taxableEAV,C2_plus30_taxableEAV,C2_plus40_taxableEAV,burden_C2_noexemps
Burnham,0.5517790442501717,0.5294172835452199,0.43745558340398366,0.3152346020061138,0.19745210056065993,0.17502880718750616,0.17208644075426374,10593946,31810414,4845224.48,20094326.905087683,0,11716084.603677705,8976572,31810411.50876539,0,9334270,17175243,22713388,23588545,23699864,1389,030170000,11116023.19,45934553.512215376,0,11716084.603677705,57650638.11589308,0.2419969791813458,0.20243662985066951,0.2419969791813458,0.2945743533731234,0.3452423694609826,0.3548884864599487,0.35615424213627,0.2419969791813458,0.19281700174166058,0.2419969791813458,0.19281700174166058,29070898.905087683,20094326.905087683,11895655.905087683,6357510.905087683,5482353.905087683,5371034.905087683,0.5517790010375604
Burr Ridge,0.733682907803293,0.7288728905457343,0.7205120641088862,0.7123900718708618,0.7033735633800255,0.693782849852667,0.683672468601457,111631375,335195474,22865897.35,313685534.21233046,0,21502230.624984127,13425470,335187764.8373146,0,12860000,25720000,38580000,51427773,64128171,2007,030180000,31665218.47,435364721.6168268,0,21502230.624984127,456866952.24181086,0.0727326237008914,0.07055684161884603,0.0727326237008914,0.07484625269624073,0.07719266638693893,0.07968850849112258,0.08231958647548068,0.0727326237008914,0.06930949659331062,0.07273262370089141,0.06930949659331062,327111004.21233046,313685534.21233046,301391004.21233046,288531004.21233046,275683231.21233046,262982833.21233046,0.733666033825765
Calumet City,0.6238207497911993,0.6124741949297472,0.5294792985970153,0.40954158859487483,0.31606941068929223,0.26670244519948927,0.2556547689351805,97175238,291788081,48335132.25,188439208.82438973,997043.1965209126,102351810.12921476,76220720,291788062.1501254,0,78712617,148512468,187272314,203755653,207145010,11456,030190000,92759713.84,355895328.3418359,9193251.683557285,102654888.1065424,467743468.1319356,0.2606376270016804,0.21466389456246293,0.2606376270016804,0.3270752566952573,0.3788527163635502,0.40619877935115095,0.4123184678512029,0.2606376270016804,0.20228910708723327,0.2540745422208173,0.19831322115616468,264659928.8243897,188439208.8243897,116147460.8243897,77387614.8243897,60904275.824389696,57514918.824389696,0.6341530513405406
Calumet Park,0.5523383514854324,0.5371470944567294,0.43168073341516616,0.2658905128086511,0.17064465565912112,0.15994825430028983,0.15766225282452082,18373997,55171568,6482242.83,31427532.386308543,226839.47444972364,23517174.13019404,16588938,55171545.990952305,0,17006425,33030599,39503286,40138516,40272183,2405,030200000,15016289.42,72802721.90439251,3567370.260835838,23517174.13019404,99887266.29542239,0.20626,0.1679831142643558,0.20626,0.2664302122607792,0.30099777252266513,0.30487981537074654,0.3057094734381662,0.20626,0.15590018301730674,0.1966252625112974,0.15033236944925946,48016470.38630854,31427532.386308543,14985871.386308543,8513184.386308543,7877954.386308543,7744287.386308543,0.5704398445028744
Chicago,0.5268407596899017,0.556311029995623,0.5380460726831929,0.5188961516184996,0.4991036312928291,0.4791223485036392,0.459671345977411,21348848397,64104190395,3507345976.9499993,52261936653.14451,5003818013.100883,6838594534.054864,3999077904,64104349200.30025,0,3996612882,7865883434,11551625390,14988357133,18089707915,732978,030210000,6537491409.419998,97132828035.55908,17704424134.74995,6839344061.029853,121676596231.33885,0.06730465427225805,0.06464296117283819,0.06730465427225805,0.07009546321829704,0.07297987654872697,0.07589184784528329,0.07872660749228738,0.06730465427225805,0.06287731878244063,0.056928316255117226,0.05372842117468939,56261014557.1445,52261936653.1445,48395131123.1445,44709389167.1445,41272657424.1445,38171306642.1445,0.5684264356071708
Chicago Heights,0.5190074904032076,0.5132290147994082,0.435395553224733,0.3388275980692107,0.2523741462283634,0.21057644379756849,0.19915363292366686,76290725,229078213,31783806.59,153007474.48409867,54562.83483640882,75908863.69835615,56202004,228970901.01729125,0,57993340,107534258,142238025,156291044,159877968,9118,030220000,74483456.52,351421766.6001807,14028839.653733373,75926863.69749892,441377469.951413,0.211948899012682,0.1827215061459066,0.211948899012682,0.24821240168848216,0.2806822574313046,0.29638936882090494,0.3006932245354904,0.211948899012682,0.174292021172776,0.20381265004182014,0.16875228481462629,209209478.48409867,153007474.48409867,101675220.48409867,66971453.48409867,52918434.48409867,49331510.48409867,0.5356664838799128
Chicago Ridge,0.44547581558803284,0.44477320054339764,0.3974933960613007,0.34051671837881914,0.28751653499302265,0.2378845671879655,0.19271603129278428,56234056,168853911,15951389.5,127804678.66018644,382512.2317147877,40666727.52054073,27379284,168853918.41244197,0,28018306,55157872,77009180,94716164,108938390,4062,030230000,40095738.88,321526545.9164425,16848427.799055845,40666727.52054073,379041701.2360391,0.1247042876839786,0.11491851222320448,0.1247042876839786,0.13649708125428178,0.14746683672756528,0.1577394530790261,0.16708824703035327,0.1247042876839786,0.11070260499185147,0.11849498927102102,0.1057818671382317,155183962.66018647,127804678.66018645,100026090.66018647,78174782.66018647,60467798.66018647,46245572.66018647,0.46514228324021856
Cicero,0.6317740302574646,0.7049862043352633,0.6614408233700465,0.6020794960313759,0.521386186273642,0.4148986256542424,0.30228080458582296,227688958,683681595,71071771.89,494377934.6828047,18887776.919866443,170415862.75826567,110371248,683681574.3609368,0,111238172,221901638,329130718,425354088,495153045,14520,020060000,107449932.6,747425797.1619365,164291939.4129104,170443862.75740442,1082161599.3322513,0.14376,0.12525973132151494,0.14376,0.16897953811356642,0.20326254497552557,0.24850640114327577,0.29636128394437483,0.14376,0.11706447798856573,0.11785438441032123,0.09929194740074132,604749182.6828046,494377934.68280464,382847544.6828046,275618464.6828046,179395094.68280458,109596137.68280458,0.7242790850059146
Country Club Hills,0.6290947198680921,0.7411415437775081,0.685176241171729,0.6061961041358278,0.500215569777873,0.41466387737759103,0.36605963147370557,64945021,195010368,33227509.77,134229128.30941063,30236.97229551451,60648611.26141695,42354638,194907976.5431231,0,42548524,81644667,114855162,132891673,140970205,5964,030240000,48239067.65,195904528.27124244,53432561.89063275,60648611.26141695,309985701.42329216,0.246237634605413,0.202464687528886,0.246237634605413,0.30801150515734943,0.39090358481375,0.45781736048157173,0.4958328984056995,0.246237634605413,0.18802758655720575,0.19346928135995378,0.15561707339568062,176583766.30941063,134229128.30941063,94939099.30941063,61728604.30941063,43692093.30941063,35613561.30941063,0.7595999017038709
Countryside,0.4446849422181287,0.4399721378243981,0.41507881285294806,0.38703119861817703,0.35978090819764424,0.33500434659043715,0.31010696270369986,55339400,166167597,10991440.32,141363763.8646012,0,24803813.63770316,15138429,166167577.50230438,0,15441556,30721932,44554698,56147769,66958574,2225,030250000,26921653.27,340570897.59164083,8300179.067460317,24803813.63770316,373674890.2968043,0.07904860180472678,0.07568441774625276,0.07904860180472678,0.08283906920090883,0.08652178304997019,0.08987018723777407,0.0932349198343851,0.07904860180472678,0.07368231145340927,0.07716791408393667,0.07204565778721855,156502192.86460122,141363763.86460122,125780260.86460122,111947494.86460122,100354423.86460122,89543618.86460122,0.45478675013718106
Crestwood,0.46409745446726247,0.4565154920647061,0.3989678631714011,0.32873158776197625,0.26022208685617193,0.2015858258548555,0.1458190046821774,64913362,194915361,15171534.24,138504102.44325274,0,56407173.99489376,36759110,194911276.4381465,0,36809705,73082802,101868426,122582193,139643809,5474,030260000,37957431.69,347156037.4369046,16424787.045252886,56407173.99489376,419987998.47705126,0.109338244468523,0.09886932553563334,0.109338244468523,0.12211544984691727,0.13457852477994953,0.1452454849094216,0.15539044381092795,0.109338244468523,0.0940557281109226,0.10439888226795838,0.09037741989685462,175263212.44325274,138504102.44325274,102180410.44325274,73394786.44325274,52681019.44325274,35619403.44325274,0.48297582861089466
Deer Park,0.9245327486688801,0.9245324522925967,0.9137960427283774,0.8994981172187505,0.879514140932313,0.8496104008168782,0.8032794727921777,197774,593855,55424.38,513854.8117930651,0,79999.9976589199,80000,593854.8094519849,0,80000,160000,240000,320000,395914,10,030270000,60652.9,562329.8720563693,0,79999.9976589199,642329.8697152892,0.10786000000000001,0.09442640399990186,0.10786000000000001,0.12574983121284175,0.15075415526566244,0.18817027293515312,0.24614039466631937,0.10786000000000001,0.0944264043440549,0.10786000000000001,0.0944264043440549,593854.811793065,513854.81179306505,433854.81179306505,353854.81179306505,273854.81179306505,197940.81179306505,0.9245324520175425
