major_class_code,major_class_type,tax_code,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share
1,Vacant,12064,185033.08,0,0,185033.08,185033.08,0,0,0,0
1,Vacant,12072,137547.53,0,0,137547.53,137547.53,0,0,0,0
1,Vacant,12075,12970.95,0,0,12970.95,12970.95,0,0,0,0
1,Vacant,12093,8845.68,0,0,8845.68,8845.68,0,0,0,0
1,Vacant,12119,2790.38,0,0,2790.38,2790.38,0,0,0,0
1,Vacant,12126,921.39,110758.87,0,111680.26,111680.26,0,0,0,0.991749173752
1,Vacant,12127,15995.15,9310.5,0,25305.65,25305.65,0,0,0,0.36792249816899997
1,Vacant,12128,156.8,0,0,156.8,156.8,0,0,0,0
1,Vacant,12136,4055.94,0,0,4055.94,4055.94,0,0,0,0
1,Vacant,12137,25648.76,0,0,25648.76,25648.76,0,0,0,0
1,Vacant,12141,14164.69,0,0,14164.69,14164.69,0,0,0,0
1,Vacant,12144,13932.93,18791.28,0,32724.21,32724.21,0,0,0,0.57423035957
1,Vacant,12146,37987.15,0,0,37987.15,37987.15,0,0,0,0
1,Vacant,12147,144961.73,0,0,144961.73,144961.73,0,0,0,0
1,Vacant,12152,881.12,151498.8,0,152379.92,152379.92,0,0,0,0.9942178918919999
1,Vacant,12153,81.32,1008.85,0,1090.17,1090.17,0,0,0,0.925405840526
1,Vacant,12154,62.38,23886.89,0,23949.27,23949.27,0,0,0,0.99739590885
1,Vacant,12155,3158.98,123512.2,0,126671.18,126671.18,0,0,0,0.9750617651029999
1,Vacant,12162,0.43,0,0,0.43,0.43,0,0,0,0
1,Vacant,12163,92426.42,0,0,92426.42,92426.42,0,0,0,0
1,Vacant,12164,528.73,0,0,528.73,528.73,0,0,0,0
1,Vacant,12167,9642.68,6481.45,0,16124.130000000001,16124.130000000001,0,0,0,0.40197649012200004
1,Vacant,12171,20.82,4346.17,0,4366.99,4366.99,0,0,0,0.995236482106
1,Vacant,12172,5275.740000000001,1720.72,0,6996.46,6996.46,0,0,0,0.24593898262500002
1,Vacant,12173,27480.73,12263.47,0,39744.2,39744.2,0,0,0,0.308561421096
1,Vacant,12174,0.45,0,0,0.45,0.45,0,0,0,0
1,Vacant,12179,114799.81999999999,0,0,114799.81999999999,114799.81999999999,0,0,0,0
1,Vacant,12183,867.44,334.27,0,1201.71,1201.71,0,0,0,0.278144063467
1,Vacant,12187,7799.3,0,0,7799.3,7799.3,0,0,0,0
1,Vacant,12197,1111.38,604.05,0,1715.4299999999998,1715.4299999999998,0,0,0,0.35212484475399997
1,Vacant,12198,219871.07,13924.32,0,233795.38999999998,233795.38999999998,0,0,0,0.059557976137
1,Vacant,12199,8350,1510.27,0,9860.27,9860.27,0,0,0,0.153166401552
1,Vacant,12200,270.31,232.35,0,502.65999999999997,502.65999999999997,0,0,0,0.46220668263500003
1,Vacant,12202,4930.5599999999995,36099.25,0,41029.81,41029.81,0,0,0,0.879830040271
1,Vacant,12208,19969.3,0,0,19969.3,19969.3,0,0,0,0
1,Vacant,12210,10558.69,98565.68000000001,0,109124.37,109124.37,0,0,0,0.903241936572
1,Vacant,12211,2372.71,17561.06,0,19933.77,19933.77,0,0,0,0.880969858411
1,Vacant,12214,846.75,3386.13,0,4232.88,4232.88,0,0,0,0.7999590918389999
1,Vacant,12217,10165.470000000001,0,0,10165.470000000001,10165.470000000001,0,0,0,0
1,Vacant,12221,55628.869999999995,23354.87,0,78983.74,78983.74,0,0,0,0.295692171206
1,Vacant,12222,121234.43,54623.59,0,175858.02,175858.02,0,0,0,0.31061582482100003
1,Vacant,12223,62404.9,35112.97,0,97517.87,97517.87,0,0,0,0.360067075666
1,Vacant,12225,17685.89,2173.14,0,19859.03,19859.03,0,0,0,0.109431871993
1,Vacant,12227,28277.43,0,0,28277.43,28277.43,0,0,0,0
1,Vacant,12228,133499.75,0,0,133499.75,133499.75,0,0,0,0
1,Vacant,12229,8477.58,0,0,8477.58,8477.58,0,0,0,0
1,Vacant,12231,7990.64,1637.09,0,9627.73,9627.73,0,0,0,0.170040331479
1,Vacant,12232,12732.52,3574.6400000000003,0,16307.16,16307.16,0,0,0,0.21920663388800002
1,Vacant,12234,10354.58,0,0,10354.58,10354.58,0,0,0,0
1,Vacant,12235,8244.619999999999,0,0,8244.619999999999,8244.619999999999,0,0,0,0
1,Vacant,12238,1844.96,0,0,1844.96,1844.96,0,0,0,0
1,Vacant,12239,10483.78,0,0,10483.78,10483.78,0,0,0,0
1,Vacant,12243,38076.75,14923.08,0,52999.83,52999.83,0,0,0,0.281568552958
1,Vacant,12244,67190.52,0,0,67190.52,67190.52,0,0,0,0
1,Vacant,12245,73128.18000000001,3929.14,0,77057.32,77057.32,0,0,0,0.050989560233000004
1,Vacant,12246,160404.07,42382.52,0,202786.59,202786.59,0,0,0,0.209000542281
1,Vacant,12248,11275.97,2814.06,0,14090.029999999999,14090.029999999999,0,0,0,0.19972136413299998
1,Vacant,12249,343.06,352.43,0,695.49,695.49,0,0,0,0.506721536351
1,Vacant,12251,22435.39,36790.46,0,59225.85,59225.85,0,0,0,0.621189214729
1,Vacant,13013,9852.56,0,0,9852.56,9852.56,0,0,0,0
1,Vacant,13019,3061.24,0,0,3061.24,3061.24,0,0,0,0
1,Vacant,13022,2355.05,0,0,2355.05,2355.05,0,0,0,0
1,Vacant,13025,3004.68,0,0,3004.68,3004.68,0,0,0,0
1,Vacant,13027,43141.94,0,0,43141.94,43141.94,0,0,0,0
1,Vacant,13028,4855.81,0,0,4855.81,4855.81,0,0,0,0
1,Vacant,13029,362183.34,0,0,362183.34,362183.34,0,0,0,0
1,Vacant,13030,56654.14,0,0,56654.14,56654.14,0,0,0,0
1,Vacant,13031,25058.78,0,0,25058.78,25058.78,0,0,0,0
1,Vacant,13032,2889.87,0,0,2889.87,2889.87,0,0,0,0
1,Vacant,13033,28001.67,0,0,28001.67,28001.67,0,0,0,0
1,Vacant,13034,106780.8,0,0,106780.8,106780.8,0,0,0,0
1,Vacant,13035,10887.19,0,0,10887.19,10887.19,0,0,0,0
1,Vacant,13036,99123.72,0,0,99123.72,99123.72,0,0,0,0
1,Vacant,13037,20777.95,0,0,20777.95,20777.95,0,0,0,0
1,Vacant,13038,165575.5,0,0,165575.5,165575.5,0,0,0,0
1,Vacant,13039,136537.18,0,0,136537.18,136537.18,0,0,0,0
1,Vacant,13041,7497.59,0,0,7497.59,7497.59,0,0,0,0
1,Vacant,13042,283843.21,0,0,283843.21,283843.21,0,0,0,0
1,Vacant,13043,577941.66,0,0,577941.66,577941.66,0,0,0,0
1,Vacant,13044,0.43,0,0,0.43,0.43,0,0,0,0
1,Vacant,13049,59116.8,0,0,59116.8,59116.8,0,0,0,0
1,Vacant,13050,100244.54,0,0,100244.54,100244.54,0,0,0,0
1,Vacant,13051,10136.34,0,0,10136.34,10136.34,0,0,0,0
1,Vacant,13052,19198.89,0,0,19198.89,19198.89,0,0,0,0
1,Vacant,13055,18383.12,0,0,18383.12,18383.12,0,0,0,0
1,Vacant,13056,132560.4,0,0,132560.4,132560.4,0,0,0,0
1,Vacant,13058,36475.88,0,0,36475.88,36475.88,0,0,0,0
1,Vacant,13059,1133.71,0,0,1133.71,1133.71,0,0,0,0
1,Vacant,13062,194258.05,0,0,194258.05,194258.05,0,0,0,0
1,Vacant,13063,690464.67,0,0,690464.67,690464.67,0,0,0,0
1,Vacant,13064,3317.64,0,0,3317.64,3317.64,0,0,0,0
1,Vacant,13067,74445.91,0,0,74445.91,74445.91,0,0,0,0
1,Vacant,13068,58935.04,0,0,58935.04,58935.04,0,0,0,0
1,Vacant,13069,442.77,0,0,442.77,442.77,0,0,0,0
1,Vacant,13070,49432.65,0,0,49432.65,49432.65,0,0,0,0
1,Vacant,13072,30054.94,0,0,30054.94,30054.94,0,0,0,0
1,Vacant,13081,120394.28,0,0,120394.28,120394.28,0,0,0,0
1,Vacant,13089,15.66,0,0,15.66,15.66,0,0,0,0
1,Vacant,13094,585.58,0,0,585.58,585.58,0,0,0,0
1,Vacant,13097,1060.19,0,0,1060.19,1060.19,0,0,0,0
1,Vacant,13098,1386.04,0,0,1386.04,1386.04,0,0,0,0
1,Vacant,13099,130076.26,0,0,130076.26,130076.26,0,0,0,0
1,Vacant,13101,56928.11,0,0,56928.11,56928.11,0,0,0,0
1,Vacant,13106,1083.46,0,0,1083.46,1083.46,0,0,0,0
1,Vacant,13122,4735.64,39227.28,0,43962.92,43962.92,0,0,0,0.892280449327
1,Vacant,13132,4298.73,0,0,4298.73,4298.73,0,0,0,0
1,Vacant,13134,467.24,3293.17,0,3760.41,3760.41,0,0,0,0.8757350931969999
1,Vacant,13136,9630.76,0,0,9630.76,9630.76,0,0,0,0
1,Vacant,13141,53584.82,131756.5,0,185341.32,185341.32,0,0,0,0.7108879970930001
1,Vacant,13144,52770.99,103103.44,0,155874.43,155874.43,0,0,0,0.6614489584909999
1,Vacant,13145,1540.48,7359.19,0,8899.67,8899.67,0,0,0,0.8269045182729999
1,Vacant,13146,2490.43,28408.98,0,30899.41,30899.41,0,0,0,0.919409308055
1,Vacant,13150,9521.38,0,0,9521.38,9521.38,0,0,0,0
1,Vacant,13151,0.88,0,0,0.88,0.88,0,0,0,0
1,Vacant,13154,21015.83,3958.0099999999998,0,24973.84,24973.84,0,0,0,0.158485742405
1,Vacant,13155,26971.989999999998,15068.9,0,42040.89,42040.89,0,0,0,0.358433893584
1,Vacant,13157,9.75,0,0,9.75,9.75,0,0,0,0
1,Vacant,13159,0.43,0,0,0.43,0.43,0,0,0,0
1,Vacant,13160,2161.35,0,0,2161.35,2161.35,0,0,0,0
1,Vacant,13163,6103.38,177623.47,0,183726.85,183726.85,0,0,0,0.9667800343419999
1,Vacant,13164,1952.95,4502.42,0,6455.37,6455.37,0,0,0,0.697469553926
1,Vacant,13176,12960.92,1862.07,0,14822.99,14822.99,0,0,0,0.125619709604
1,Vacant,13179,5956.7300000000005,452.18,0,6408.91,6408.91,0,0,0,0.070555235582
1,Vacant,13182,3471.46,0,0,3471.46,3471.46,0,0,0,0
1,Vacant,13185,2484.43,8865.42,0,11349.85,11349.85,0,0,0,0.78110232385
1,Vacant,13186,837.72,332.82,0,1170.54,1170.54,0,0,0,0.284323395049
1,Vacant,13188,49284.75,0,0,49284.75,49284.75,0,0,0,0
1,Vacant,13189,7486.7,2983.52,0,10470.22,10470.22,0,0,0,0.284951809279
1,Vacant,13191,7532.860000000001,1999.81,0,9532.67,9532.67,0,0,0,0.20978463067300002
1,Vacant,13193,12872.01,1988.8799999999999,0,14860.89,14860.89,0,0,0,0.133834428053
1,Vacant,13195,4481.6,2219.93,0,6701.53,6701.53,0,0,0,0.331257353239
1,Vacant,13197,1528.16,443.03999999999996,0,1971.2,1971.2,0,0,0,0.224752074479
1,Vacant,13198,1573.48,975.87,0,2549.35,2549.35,0,0,0,0.382795082102
1,Vacant,13202,2503.44,10998.5,0,13501.94,13501.94,0,0,0,0.8145827790129999
1,Vacant,13204,35098.49,9820.81,0,44919.3,44919.3,0,0,0,0.218632799182
