major_class_code,major_class_type,tax_code,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,agency_tax_rate,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,rev_perTC
1,Vacant,10136,1.8900000000000001,0,0,1.8900000000000001,1.8900000000000001,0.005330587810951528,0,0,0,0,1.9030198485096954
1,Vacant,10139,91943.01,0,0,91943.01,91943.01,0.005098234978272307,0,0,0,0,91942.91043396207
1,Vacant,10141,9138.41,0,0,9138.41,9138.41,0.006317142518133295,0,0,0,0,9138.416269586734
1,Vacant,10142,10724.93,29590.44,0,40315.37,40315.37,0.006885319226478604,0,0,0,0.733973969707,40315.368680627245
1,Vacant,10152,220082.27,0,0,220082.27,220082.27,0.008648461406794433,0,0,0,0,220082.28379939278
1,Vacant,11001,14100.68,0,0,14100.68,14100.68,0.009079999659606411,0,0,0,0,14100.658351390543
1,Vacant,11002,44826.55,0,0,44826.55,44826.55,0.010486428195180825,0,0,0,0,44826.523361646985
1,Vacant,11014,2866.48,112.69,0,2979.17,2979.17,0.009079999659606411,0,0,0,0.037817634658000004,2979.184208315502
1,Vacant,11015,2327.95,0,0,2327.95,2327.95,0.010486428195180825,0,0,0,0,2327.966086473753
1,Vacant,11029,4793.18,1683.3700000000001,0,6476.55,6476.55,0.010486428195180825,0,0,0,0.259910798372,6476.52291762563
1,Vacant,12005,3.3699999999999997,3664.44,0,3667.81,3667.81,0.012252497928745295,0,0,0,0.999078338427,3667.8097599657617
1,Vacant,12016,155404.55,0,0,155404.55,155404.55,0.01365153749381607,0,0,0,0,155404.61147376668
1,Vacant,12017,221315.66,0,0,221315.66,221315.66,0.010138460814490794,0,0,0,0,221315.77639620588
1,Vacant,12018,0.49,0,0,0.49,0.49,0.011639285404439202,0,0,0,0,0.48884998698644655
1,Vacant,12019,181800.57,0,0,181800.57,181800.57,0.011476428235177893,0,0,0,0,181800.5097233824
1,Vacant,12020,47008.11,0,0,47008.11,47008.11,0.012782856693070237,0,0,0,0,47008.13738593744
1,Vacant,12022,1910.34,0,0,1910.34,1910.34,0.012053844937914681,0,0,0,0,1910.3295072955325
1,Vacant,12023,257781.45,0,0,257781.45,257781.45,0.010289229749833323,0,0,0,0,257781.5776604904
1,Vacant,12024,26762.56,0,0,26762.56,26762.56,0.011159999075292899,0,0,0,0,26762.760302462677
1,Vacant,12026,80273.24,0,0,80273.24,80273.24,0.009690767860905359,0,0,0,0,80273.56279272029
1,Vacant,12027,181705.93,0,0,181705.93,181705.93,0.014077142157253204,0,0,0,0,181706.17432590277
1,Vacant,12028,1513116.43,0,0,1513116.43,1513116.43,0.014437856455269887,0,0,0,0,1513116.809739453
1,Vacant,12030,152951.57,0,0,152951.57,152951.57,0.013461427737260506,0,0,0,0,152951.48808201228
1,Vacant,12033,100.88,0,0,100.88,100.88,0.015123075975303641,0,0,0,0,100.85579367929998
1,Vacant,12034,532073.72,0,0,532073.72,532073.72,0.01997070782194512,0,0,0,0,532074.6956473753
1,Vacant,12035,37632.11,0,0,37632.11,37632.11,0.033764613504755236,0,0,0,0,37632.07986481691
1,Vacant,12037,171470.59,0,0,171470.59,171470.59,0.023661427963056772,0,0,0,0,171470.77191122205
1,Vacant,12040,151076.15,0,0,151076.15,151076.15,0.012115383733230234,0,0,0,0,151076.19399972717
1,Vacant,12041,611200.61,0,0,611200.61,611200.61,0.009000767996393462,0,0,0,0,611201.3001491444
1,Vacant,12053,13999.09,0,0,13999.09,13999.09,0.013643332837020298,0,0,0,0,13999.082740745602
1,Vacant,12054,136803.6,0,0,136803.6,136803.6,0.014344999468397478,0,0,0,0,136803.58346028006
1,Vacant,12055,95.72,0,0,95.72,95.72,0.010587141089826469,0,0,0,0,95.7501040163906
1,Vacant,12059,176887.71,0,0,176887.71,176887.71,0.010361537585683447,0,0,0,0,176887.89034776491
1,Vacant,12064,216439.37,0,0,216439.37,216439.37,0.013319997629334026,0,0,0,0,216439.39871855787
1,Vacant,12072,137597.32,0,0,137597.32,137597.32,0.015159999246272683,0,0,0,0,137597.3075589146
1,Vacant,12075,13323.2,0,0,13323.2,13323.2,0.015711428058350223,0,0,0,0,13323.196724912641
1,Vacant,12093,8846.619999999999,0,0,8846.619999999999,8846.619999999999,0.015548460797982956,0,0,0,0,8846.62328868916
1,Vacant,12119,2790.38,0,0,2790.38,2790.38,0.015660832540316742,0,0,0,0,2790.384498703476
1,Vacant,12126,928.12,111580.46,0,112508.58,112508.58,0.013319997629334026,0,0,0,0.991749173752,112508.43889597783
1,Vacant,12127,15995.15,9310.5,0,25305.65,25305.65,0.014437856455269887,0,0,0,0.36792249816899997,25305.66414484519
1,Vacant,12128,157.04,0,0,157.04,157.04,0.015711428058350223,0,0,0,0,157.05143487126884
1,Vacant,12136,4076.74,0,0,4076.74,4076.74,0.009690767860905359,0,0,0,0,4076.7122237256663
1,Vacant,12137,25668.86,0,0,25668.86,25668.86,0.011700767402166804,0,0,0,0,25668.862708455883
1,Vacant,12141,14174.1,0,0,14174.1,14174.1,0.010277498880885395,0,0,0,0,14174.19202657533
1,Vacant,12144,13932.93,18791.28,0,32724.21,32724.21,0.01365153749381607,0,0,0,0.57423035957,32724.223390263945
1,Vacant,12146,37987.15,0,0,37987.15,37987.15,0.013948331896532145,0,0,0,0,37987.22184698116
1,Vacant,12147,145022.96,0,0,145022.96,145022.96,0.012779223558027752,0,0,0,0,145022.93553483798
1,Vacant,12152,881.12,151498.8,0,152379.92,152379.92,0.012089165726643893,0,0,0,0.9942178918919999,152379.92038132504
1,Vacant,12153,81.32,1008.85,0,1090.17,1090.17,0.013948331896532145,0,0,0,0.925405840526,1090.1458277053664
1,Vacant,12154,62.38,23886.89,0,23949.27,23949.27,0.011603844241744871,0,0,0,0.99739590885,23949.24375360269
1,Vacant,12155,3158.98,123512.2,0,126671.18,126671.18,0.013319997629334026,0,0,0,0.9750617651029999,126671.19277531983
1,Vacant,12162,0.43,0,0,0.43,0.43,0.012089165726643893,0,0,0,0,0.4352099661591801
1,Vacant,12163,92426.42,0,0,92426.42,92426.42,0.01023356463703061,0,0,0,0,92426.42433088152
1,Vacant,12164,529.28,0,0,529.28,529.28,0.011363075718528588,0,0,0,0,529.280703893343
1,Vacant,12167,9644.65,6482.7699999999995,0,16127.42,16127.42,0.011159999075292899,0,0,0,0.40197649012200004,16127.381623700221
1,Vacant,12171,20.82,4346.17,0,4366.99,4366.99,0.012115383733230234,0,0,0,0.995236482106,4367.002182026571
1,Vacant,12172,5275.740000000001,1720.72,0,6996.46,6996.46,0.010361537585683447,0,0,0,0.24593898262500002,6996.45210859379
1,Vacant,12173,27503.94,12273.869999999999,0,39777.81,39777.81,0.01365153749381607,0,0,0,0.308561421096,39777.7680402563
1,Vacant,12174,0.45,0,0,0.45,0.45,0.011603844241744871,0,0,0,0,0.45254992542804995
1,Vacant,12179,114799.81999999999,0,0,114799.81999999999,114799.81999999999,0.021603075847019742,0,0,0,0,114799.80360177942
1,Vacant,12183,867.83,334.4,0,1202.23,1202.23,0.009690767860905359,0,0,0,0.278144063467,1202.2269700560578
1,Vacant,12187,7799.3,0,0,7799.3,7799.3,0.013319997629334026,0,0,0,0,7799.29817189684
1,Vacant,12197,1111.38,604.05,0,1715.4299999999998,1715.4299999999998,0.015660832540316742,0,0,0,0.35212484475399997,1715.4249531361345
1,Vacant,12198,219941.52,13928.71,0,233870.23,233870.23,0.014437856455269887,0,0,0,0.059557976137,233870.26063218247
1,Vacant,12199,8350,1510.27,0,9860.27,9860.27,0.010289229749833323,0,0,0,0.153166401552,9860.251183103272
1,Vacant,12200,270.33,232.35999999999999,0,502.69,502.69,0.011159999075292899,0,0,0,0.46220668263500003,502.70215834656864
1,Vacant,12202,4930.5599999999995,36099.25,0,41029.81,41029.81,0.01365153749381607,0,0,0,0.879830040271,41029.81880150164
1,Vacant,12208,19969.3,0,0,19969.3,19969.3,0.011372306428330646,0,0,0,0,19969.337940504338
1,Vacant,12210,10558.69,98565.68000000001,0,109124.37,109124.37,0.013948331896532145,0,0,0,0.903241936572,109124.38403922613
1,Vacant,12211,2372.71,17561.06,0,19933.77,19933.77,0.011603844241744871,0,0,0,0.880969858411,19933.768265279603
1,Vacant,12214,846.75,3386.13,0,4232.88,4232.88,0.013319997629334026,0,0,0,0.7999590918389999,4232.895446637914
1,Vacant,12217,10165.470000000001,0,0,10165.470000000001,10165.470000000001,0.011639285404439202,0,0,0,0,10165.472529387493
