clean_name,MuniLevy,tr_neg10,tr_nochange,tr_plus10,tr_plus20,tr_plus30,tr_plus40,tax_rate_current,taxrate_noexemps,taxrate_noTIFs,taxrate_noTIFs_orExemps,current_nonTIF_EAV_post_exemps,current_TIF_increment_EAV,current_Exempt_EAV,current_GHE,Total_EAV,exe_neg10,exe_0,exe_plus10,exe_plus20,exe_plus30,exe_plus40,neg10_taxable_eav,plus10_taxable_eav,plus20_taxable_eav,plus30_taxable_eav,plus40_taxable_eav,scenario_noexemptions_taxable_eav
Crestwood,37957431.69,0.09886932553563334,0.109338244468523,0.12211544984691727,0.13457852477994953,0.1452454849094216,0.15539044381092795,0.109338244468523,0.0940557281109226,0.10439888226795838,0.09037741989685462,347156037.4369046,16424787.045252886,56407173.99489376,36759110,419987998.47705126,0,36809705,73082802,101868426,122582193,139643809,383915147.43690467,310832345.43690467,282046721.43690467,261332954.43690467,244271338.43690467,403563211.4317984
Deer Park,60652.9,0.09442640399990186,0.10786000000000001,0.12574983121284175,0.15075415526566244,0.18817027293515312,0.24614039466631937,0.10786000000000001,0.0944264043440549,0.10786000000000001,0.0944264043440549,562329.8720563693,0,79999.9976589199,80000,642329.8697152892,0,80000,160000,240000,320000,395914,642329.8720563693,482329.8720563693,402329.8720563693,322329.8720563693,246415.87205636932,642329.8697152892
Deerfield,15897800.65,0.08803601550637065,0.08803601550637065,0.08803601550637065,0.08803601550637065,0.08803601550637065,0.08803601550637065,0.08803601550637065,0.08803601550637065,0.08803601550637065,0.08803601550637065,180582918.91742384,0,0,0,180582918.91742384,0,0,0,0,0,0,180582918.91742384,180582918.91742384,180582918.91742384,180582918.91742384,180582918.91742384,180582918.91742384
Des Plaines,221086974.34,0.09371629461446292,0.10087307344622175,0.10905886070488559,0.11853827973821741,0.12912615490345986,0.1403726057157194,0.10087307344622175,0.09017666034639449,0.09884174292947015,0.08854981323093782,2191734293.2736917,45043082.230093144,259975201.07596958,167374923,2496752576.5797544,0,166117387,331883066,493998850,646931118,784108359,2359109216.2736917,2027226150.2736917,1865110366.2736917,1712178098.2736917,1575000857.2736917,2451709494.3496614
Dixmoor,5814239.16,0.15654290200427468,0.17747,0.19712520035310438,0.19919936137467487,0.199972042446043,0.20012539597742862,0.17747,0.1519292281773319,0.14334938446150572,0.126211316330171,32761814.165774498,7798103.003324506,5507577.640873898,4379692,46067494.809972905,0,5607678,7646347,7953465,8066246,8088526,37141506.165774494,29495159.165774494,29188041.165774494,29075260.165774494,29052980.165774494,38269391.806648396
Dolton,55052531.75,0.1997455248156086,0.2485629101903599,0.3236609215910518,0.4130059916407066,0.4641888371942904,0.46966978716419605,0.2485629101903599,0.18439784010965388,0.24007019866719326,0.17968228433991085,221483292.53080624,7835182.047201364,77069725.86280668,54130050,306388200.4408143,0,55842309,105520112,142316168,157013912,158397943,275613342.5308063,170093230.5308063,133297174.5308063,118599430.5308063,117215399.5308063,298553018.393613
East Dundee,115283.10999999999,0.08950999999999998,0.08951,0.08950999999999998,0.08950999999999998,0.08950999999999998,0.08950999999999998,0.08951,0.08950999999999998,0.02381198575354834,0.02381198575354834,1287935.5379287228,3553454.474360407,0,0,4841390.01228913,0,0,0,0,0,0,1287935.5379287233,1287935.5379287233,1287935.5379287233,1287935.5379287233,1287935.5379287233,1287935.5379287233
East Hazelcrest,4368216.03,0.1852302213141576,0.21274,0.24543583475525727,0.26637189522280785,0.28112876906290446,0.28724588218148955,0.21274,0.17567637959655716,0.2007254976992576,0.16740213324077405,20533120.381686565,1229017.8621791857,4332009.6946029095,3049511,26094147.93846866,0,3076879,5784839,7183694,8044499,8375395,23582631.381686565,17797792.381686565,16398937.381686565,15538132.381686565,15207236.381686565,24865130.076289475
Elgin,51284180.59,0.10298357553115872,0.11514311112430417,0.12995942728806845,0.14889099968809885,0.1710334478881523,0.19119805677247306,0.11514311112430417,0.09977785331528417,0.11303165038024368,0.0981884304486742,445395126.892442,8320097.272450373,68588476.54257192,52588948,522303700.7074643,0,51788425,103367219,153542969,198135237,229758647,497984074.892442,394616855.892442,344441105.892442,299848837.892442,268225427.892442,513983603.4350139
Elk Grove Village,195805552.93,0.09073104470240789,0.09485087579566803,0.09936347706587244,0.10421665314049024,0.1092968489808323,0.1144146968961373,0.09485087579566803,0.08869026499048373,0.08060434953685693,0.07611156486599625,2064351554.874549,364866645.57090586,143394165.03066853,93736160,2572612365.4761233,0,93780000,187488872,279256002,366585446,446720572,2158087714.874549,1970598842.874549,1878831712.874549,1791502268.874549,1711367142.874549,2207745719.9052176
Elmwood Park,60171959.6,0.1116157767101285,0.12509,0.1423368590946401,0.16323397764267164,0.18955138661609147,0.22421450401242843,0.12509,0.10521479317388294,0.12392585713592869,0.1043899766312513,481029335.6783116,4518724.998001439,90867046.80620256,58069718,576415107.4825156,0,58636673,116355711,170475067,221655005,270731225,539099053.6783116,422743342.6783116,368623986.6783116,317444048.6783116,268367828.6783116,571896382.4845141
Evanston,286739428.05,0.08494938543786092,0.08897342735537898,0.0929528077760921,0.09746068313209062,0.1022508743638126,0.10720932221449192,0.08897342735537898,0.08310825381997633,0.08770170966419938,0.0819976279646133,3222753540.8375483,46731502.81661894,227438406.05519077,152661438,3496923449.7093577,0,145641082,290629969,433311365,571141374,700839465,3375414978.8375483,3084785009.8375483,2942103613.8375483,2804273604.8375483,2674575513.8375483,3450191946.892739
Evergreen Park,57980172.83,0.11485945091734585,0.1291951696551487,0.15344496872300545,0.18123757689110745,0.21523197508736738,0.25375330611462543,0.1291951696551487,0.10954742598949635,0.12491653751963579,0.10645563887775523,448779725.93528277,15371570.452403395,80490335.01128164,56012630,544641631.3989679,0,63976209,126935895,184879820,235407787,276302041,504792355.9352828,377856460.9352828,319912535.9352828,269384568.9352828,228490314.93528283,529270060.9465645
Flossmoor,41964925.75,0.1591968286926184,0.17917194223378768,0.2055836922055369,0.2385202310197352,0.2817928504555293,0.3339676072345391,0.17917194223378768,0.1522122074861003,0.17917194223378766,0.1522122074861003,234215944.9008104,0,41484187.45442236,29388086,275700132.3552328,0,30066416,59478279,87665388,114682844,137948354,263604030.90081042,204125751.90081042,175938642.90081042,148921186.90081042,125655676.90081042,275700132.3552328
Ford Heights,3698656.65,0.21563645140087023,0.24406413876414854,0.25014778047890257,0.2515085840359015,0.25288427411424214,0.25423197828176153,0.24406413876414854,0.2112089640748518,0.22173863230235868,0.19428121757190933,15154445.338543562,1525808.3980113738,2357390.2324561984,1997834,19037643.969011135,0,2195434,2366393,2446393,2526393,2603926,17152279.338543564,14785886.338543564,14705886.338543564,14625886.338543564,14548353.338543564,17511835.57099976
Forest Park,45152753.08,0.10459199621854832,0.11255257478962506,0.1218975058414645,0.13163837005145432,0.14162433835811297,0.15179748183774025,0.11255257478962506,0.10102747775052405,0.10684153056799418,0.09640211234051858,401170325.640228,21443922.208502382,45765043.68077617,30533387,468379291.52950656,0,30717096,61287987,88697695,112883137,134249812,431703712.640228,370415725.640228,343006017.640228,318820575.640228,297453900.640228,446935369.32100415
Forestview,9139937.28,0.12063399714993672,0.12434299221886301,0.12828729443641415,0.1324900300303286,0.13697709295895333,0.14146566088084184,0.12434299221886301,0.11861258854422134,0.12434299221886301,0.11861258854422134,73505849.5609651,0,3551209.8302683346,2260000,77057059.39123344,0,2260000,4520000,6780000,9039822,11156974,75765849.5609651,71245849.5609651,68985849.5609651,66726027.560965106,64608875.560965106,77057059.39123344
Frankfort,2647.31,0.08410999999999999,0.08410999999999999,0.08410999999999999,0.08410999999999999,0.08410999999999999,0.08410999999999999,0.08410999999999999,0.08410999999999999,0.08410999999999999,0.08410999999999999,31474.378789680184,0,0,0,31474.378789680184,0,0,0,0,0,0,31474.378789680184,31474.378789680184,31474.378789680184,31474.378789680184,31474.378789680184,31474.378789680184
Franklin Park,105413878,0.12273652524313673,0.1291677299768492,0.13769574766022616,0.14587837630062556,0.15407634468215667,0.1617711261551937,0.1291677299768492,0.1199561761311285,0.12239610317923263,0.1140940262766675,816100724.3751469,45151188.56880974,62669184.76874102,42762420,923921097.7126976,0,46902619,93306620,136248315,174696615,207239579,858863144.3751469,765556524.3751469,722614829.3751469,684166529.3751469,651623565.3751469,878769909.1438879
Glencoe,85958759.89,0.09282380406244566,0.09527494274862586,0.09803442444451115,0.10086343776238448,0.10385669751815177,0.10700540205241395,0.09527494274862586,0.09194360390428422,0.09527494274862586,0.09194360390428422,902217911.7629517,0,32689534.10446716,23824290,934907445.8674189,0,24610000,49220000,73813071,98375215,122729862,926042201.7629517,876822201.7629517,852229130.7629517,827666986.7629517,803312339.7629517,934907445.8674189
Glenview,256929623.13,0.08011834765974803,0.08366254600306676,0.0872397398355108,0.09129064597912365,0.0956929575697045,0.10037135874492359,0.08366254600306676,0.07830654046433545,0.08288526092396277,0.07762518672984663,3071023240.4424067,28799578.064516123,210051643.0408963,135852970,3309874461.547819,0,130900000,261777754,392462747,521938576,647085984,3206876210.4424067,2945098456.4424067,2814413463.4424067,2684937634.4424067,2559790226.4424067,3281074883.483303
Glenwood,18917354.58,0.1501580296323053,0.18592212617762238,0.2397080813994924,0.31963280645487024,0.41672227725818023,0.4590702945133367,0.18592212617762238,0.13829676167915822,0.1562115365746881,0.12115621058261088,101748807.25023085,19352072.97160352,35039316.71096027,24234163,156140196.93279463,0,24373704,47064669,66798324,80587378,84775001,125982970.25023085,78918301.25023085,59184646.25023085,45395592.25023085,41207969.25023085,136788123.96119112
Golf,3844800.88,0.09084201852751679,0.09401,0.09757378308080772,0.10132819978475387,0.1053831012464045,0.10977606518043233,0.09401,0.08991861357721818,0.09401,0.08991861357721818,40897786.1929582,0,1860889.9814498117,1426250,42758676.17440801,0,1460000,2920000,4380000,5840000,7300000,42324036.1929582,39404036.1929582,37944036.1929582,36484036.1929582,35024036.1929582,42758676.17440801
Hanover Park,33846815.99,0.10745680167302468,0.12185165304260685,0.14093193169211807,0.16663625767664592,0.20109668825614868,0.24380478486337806,0.12185165304260685,0.10271944563158807,0.11465308992372257,0.09755604887362913,277770675.6113113,17439998.71519758,51736710.0826736,37210000,346947384.4091825,0,37424618,74816395,111862720,146669520,176153146,314980675.6113113,240164280.61131132,203117955.61131132,168311155.61131132,138827529.61131132,329507385.6939849
Harvey,54832588.97,0.2284361792747711,0.2726254057398995,0.30169279562487894,0.30728032461112836,0.30935148443097743,0.31018364049466496,0.2726254057398995,0.22201528106047766,0.2606175568295049,0.21398623542166037,201127949.98391852,9266889.247389624,45848693.732166134,38906659,256243532.9634743,0,41565154,58284863,61589767,62784485,63260009,240034608.98391855,181749745.98391855,178444841.98391855,177250123.98391855,176774599.98391855,246976643.7160847
Harwood Heights,24535395.08,0.08380145065473676,0.08986992513948236,0.09708106142225553,0.10541069834121004,0.1150573825840598,0.12608703205176539,0.08986992513948236,0.07932386192171187,0.08986992513948236,0.07932386192171187,273010075.8615289,0,36296537.376931906,19770000,309306613.2384608,0,20029062,40049062,60020067,79535219,98189128,292780075.8615289,252731013.86152887,232760008.86152887,213244856.86152887,194590947.86152887,309306613.2384608
Hazelcrest,33129544.96,0.1936377798663875,0.24247485000957708,0.30703315709796725,0.38785430152759026,0.44301682662113334,0.46919620525848577,0.24247485000957708,0.1779429342096011,0.23909011928958643,0.17611328154655767,136630850.4106363,1934244.0334106418,49549877.17574997,34459445,188114971.61979693,0,34522493,63188122,85672795,96308610,100481146,171090295.4106363,107902173.4106363,85417500.4106363,74781685.4106363,70609149.4106363,186180727.5863863
Hickory Hills,36842047.48,0.10799519418877462,0.12058198693940644,0.13659464990793316,0.15672370049475223,0.1816261874819564,0.2125419500937492,0.12058198693940644,0.10207666488690555,0.12003634183225623,0.10168537372470382,305535249.62657535,1388861.1688419653,55390016.895588554,35610000,362314127.6910059,0,35790000,71427164,106068823,138299790,167805128,341145249.62657535,269718085.62657535,235076426.62657535,202845459.62657535,173340121.62657535,360925266.5221639
Hillside,32604671.36,0.12389003859010486,0.13358429159485133,0.1461236108887633,0.15963351108521046,0.17432569879403062,0.19128621980076188,0.13358429159485133,0.11854494486805132,0.11821988926052168,0.10628661393049785,244075639.21427917,31721196.36005423,30964948.946533952,19098638,306761784.52086735,0,20203338,40043524,58927242,76141203,92724616,263174277.21427915,223130753.21427915,204247035.21427915,187033074.21427915,170449661.21427915,275040588.1608131
Hinsdale,15644671.81,0.07341480063554329,0.07518234682135505,0.07713586007753608,0.07914108038945875,0.0812495824040162,0.083469298213586,0.07518234682135505,0.07283110001941111,0.07518234682135505,0.07283110001941111,208089697.5346377,0,6717875.134597691,5010000,214807572.66923538,0,5140000,10280000,15418901,20548901,25669443,213099697.5346377,202819697.5346377,197680796.5346377,192550796.5346377,187430254.5346377,214807572.66923538
Hodgkins,22775069.01,0.09952541790261472,0.1000940428261528,0.10068700467110865,0.10126235872731987,0.10179233475881608,0.10228645161800771,0.1000940428261528,0.09921100290404357,0.09398595675654797,0.09320698147298899,227536708.14912155,14787462.354290083,2025218.8886279194,1300000,244349389.39203954,0,1320000,2640000,3925208,5096197,6177024,228836708.14912155,226196708.14912155,224911500.14912155,223740511.14912155,222659684.14912155,229561927.03774947
Hoffman Estates,177316159.13,0.10014291181283926,0.10811657528830156,0.11716572074444317,0.1275446465052964,0.13923184032330904,0.1524243320697534,0.10811657528830156,0.097276627519731,0.10655196249394219,0.0960081875444004,1640046021.2245178,24082493.912695106,182757293.92982674,130585129,1846885809.0670395,0,128876752,257251998,380402991,497099473,607325025,1770631150.2245176,1513379152.2245176,1390228159.2245176,1273531677.2245176,1163306125.2245176,1822803315.1543443
Homer Glen,16656.620000000003,0.08717000000000003,0.08717000000000003,0.08717000000000003,0.08717000000000003,0.08717000000000003,0.08717000000000003,0.08717000000000003,0.08717000000000003,0.08717000000000003,0.08717000000000003,191082.02363198347,0,0,0,191082.02363198347,0,0,0,0,0,0,191082.02363198347,191082.02363198347,191082.02363198347,191082.02363198347,191082.02363198347,191082.02363198347
Hometown,5811465.68,0.09903274385993348,0.12561999999999998,0.1752433299949459,0.27945306938422315,0.38074152817591117,0.4067762212013811,0.12561999999999998,0.08995401015893943,0.12561999999999998,0.08995401015893943,46262264.607546575,0,18342589.247570515,12420000,64604853.85511709,0,12760000,25520000,37886409,43418719,44395624,58682264.607546575,33162264.607546575,20795855.607546575,15263545.607546575,14286640.607546575,64604853.85511709
Homewood,62854932.64,0.14269368035536822,0.164184487733661,0.19249227988614565,0.2271271327551152,0.2683383600398666,0.30386162608933664,0.164184487733661,0.13575263515629182,0.16085028318701877,0.13346516993546206,382831128.0049968,7935561.332561265,80179645.72794187,57657424,470946335.0654999,0,58341837,113956326,163749565,206250955,233634750,440488552.0049968,326532226.0049968,276738987.0049968,234237597.00499678,206853802.00499678,463010773.73293865
Indian Head Park,12849067.31,0.07640110709750132,0.08357123404659841,0.09231447336196137,0.10290869832549228,0.11548382852826561,0.13050921973161475,0.08357123404659841,0.07173189451879966,0.08357123404659841,0.07173189451879966,153749881.24305427,0,25376397.18853642,14429191,179126278.43159068,0,14501068,28991068,43320168,56916158,69725742,168179072.24305427,139188004.24305427,124858904.24305427,111262914.24305427,98453330.24305427,179126278.43159068
Inverness,42636144.8,0.09087514331124537,0.09573886801293874,0.10121725058335036,0.10731595171500305,0.11419005838477442,0.12199582908265101,0.09573886801293874,0.08899507588584193,0.09573886801293872,0.08899507588584193,445337882.98225844,0,33746430.11716892,23834910,479084313.0994274,0,23970000,47938818,71877292,95794012,119684248,469172792.9822585,421233974.9822585,397295500.9822585,373378780.9822585,349488544.9822585,479084313.0994274
Justice,20218646.12,0.10118188387351323,0.11397665051290494,0.1307741615999043,0.15234751434936653,0.17995661085629638,0.2122858333417403,0.11397665051290494,0.0948169990147642,0.10733385525470344,0.09017433350765619,177392878.53270224,10978684.866573034,35845742.496125154,22431886,224217305.8954004,0,22703240,45217418,67110777,87471870,104582205,199824764.5327022,154607346.5327022,132713987.53270221,112352894.53270221,95242559.53270221,213238621.02882737
