tax_code_num,major_class_code,major_class_type,eav,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis,exe_abate,pin_count
37097,2,Residential,11557672,3649140,1038744,631071,0,30647,0,0,0,445
37097,3,Multi-Family,359471,0,0,0,0,0,0,0,0,1
37098,1,Vacant,361396,0,0,0,0,0,0,0,0,2
37098,2,Residential,5291,0,0,0,0,0,0,0,0,1
37098,5A,Commercial,2884872,0,0,0,0,0,0,0,0,7
37098,5B,Industrial,4763538,0,0,0,0,0,0,0,0,14
37098,8,Commercial/Industrial Incentive,361411,0,0,0,0,0,0,0,0,1
37098,NA,NA,0,0,0,0,0,0,0,0,0,6
37102,1,Vacant,65640,0,0,0,0,0,0,0,0,20
37102,2,Residential,392353,90000,32000,30438,0,0,0,0,0,11
