tax_code_num,major_class_code,major_class_type,eav,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis,exe_abate,pin_count
36116,6B,Industrial Incentive,4553733,0,0,0,0,0,0,0,0,7
36118,1,Vacant,46133,0,0,0,0,0,0,0,0,2
36118,2,Residential,1934728,112750,19600,7152,0,0,0,0,0,31
36118,3,Multi-Family,431230,0,0,0,0,0,0,0,0,2
36118,5A,Commercial,16260595,0,0,0,0,0,0,0,0,53
36118,NA,NA,0,0,0,0,0,0,0,0,0,1
36121,1,Vacant,60402,0,0,0,0,0,0,0,0,4
36121,2,Residential,110001,5000,8000,9039,0,0,0,0,0,2
36122,5A,Commercial,9787565,0,0,0,0,0,0,0,0,3
36123,5A,Commercial,306275,0,0,0,0,0,0,0,0,1
36123,5B,Industrial,1140556,0,0,0,0,0,0,0,0,9
36124,NA,NA,0,0,0,0,0,0,0,0,0,23
36125,1,Vacant,182732,0,0,0,0,0,0,0,0,1
36125,2,Residential,136693,30000,8000,0,0,0,0,0,0,3
36125,5A,Commercial,507856,0,0,0,0,0,0,0,0,2
36125,7A,Commercial Incentive,1183421,0,0,0,0,0,0,0,0,1
36125,NA,NA,0,0,0,0,0,0,0,0,0,1
36126,5A,Commercial,12154668,0,0,0,0,0,0,0,0,3
36127,1,Vacant,3,0,0,0,0,0,0,0,0,1
36127,5A,Commercial,75358,0,0,0,0,0,0,0,0,4
36127,5B,Industrial,17234618,0,0,0,0,0,0,0,0,10
36127,NA,NA,0,0,0,0,0,0,0,0,0,12
36128,5A,Commercial,12674015,0,0,0,0,0,0,0,0,4
36128,5B,Industrial,8973093,0,0,0,0,0,0,0,0,13
36128,NA,NA,0,0,0,0,0,0,0,0,0,2
36129,5A,Commercial,6913369,0,0,0,0,0,0,0,0,2
37003,5A,Commercial,1731195,0,0,0,0,0,0,0,0,1
37003,NA,NA,0,0,0,0,0,0,0,0,0,1
37007,1,Vacant,596768,0,0,0,0,0,0,0,0,5
37007,5A,Commercial,11820712,0,0,0,0,0,0,0,0,15
37007,5B,Industrial,1283393,0,0,0,0,0,0,0,0,3
37007,6B,Industrial Incentive,318373,0,0,0,0,0,0,0,0,1
37007,8,Commercial/Industrial Incentive,2963704,0,0,0,0,0,0,0,0,21
37007,NA,NA,0,0,0,0,0,0,0,0,0,9
37008,1,Vacant,396705,0,0,0,0,0,0,0,0,3
37008,5A,Commercial,448984,0,0,0,0,0,0,0,0,5
37008,6B,Industrial Incentive,500660,0,0,0,0,0,0,0,0,6
37008,NA,NA,0,0,0,0,0,0,0,0,0,7
37021,1,Vacant,45523,0,0,0,0,0,0,0,0,4
37021,2,Residential,7854013,4260934,582405,263088,0,18112,0,6123,0,656
37021,5A,Commercial,1628262,0,0,0,0,0,0,0,0,2
37021,NA,NA,0,0,0,0,0,0,0,0,0,5
37023,1,Vacant,344285,0,0,0,0,0,0,0,0,71
37023,2,Residential,10433634,2970000,650386,380308,0,35854,0,10000,0,395
37023,3,Multi-Family,987123,0,0,0,0,0,0,0,0,10
37023,5A,Commercial,3002936,0,0,0,0,0,0,0,0,57
37023,5B,Industrial,688667,0,0,0,0,0,0,0,0,9
37023,8,Commercial/Industrial Incentive,105876,0,0,0,0,0,0,0,0,10
37023,9,Multi-Family Incentive,225214,0,0,0,0,0,0,0,0,3
37023,NA,NA,0,0,0,0,0,0,0,0,0,69
37024,1,Vacant,1252131,0,0,0,0,0,0,0,0,108
37024,2,Residential,12304220,3376723,593093,314710,0,24000,0,0,0,573
37024,3,Multi-Family,180162,0,0,0,0,0,0,0,0,3
37024,5A,Commercial,3387875,0,0,0,0,0,0,0,0,38
37024,5B,Industrial,3407782,0,0,0,0,0,0,0,0,69
37024,8,Commercial/Industrial Incentive,1118413,0,0,0,0,0,0,0,0,4
37024,NA,NA,0,0,0,0,0,0,0,0,0,117
37025,1,Vacant,462403,0,0,0,0,0,0,0,0,57
37025,2,Residential,9072560,2629849,457771,249892,0,16000,0,7500,0,421
37025,3,Multi-Family,294938,0,0,0,0,0,0,0,0,6
37025,5A,Commercial,7078741,0,0,0,0,0,0,0,0,32
37025,5B,Industrial,3138396,0,0,0,0,0,0,0,0,11
37025,NA,NA,0,0,0,0,0,0,0,0,0,27
37026,1,Vacant,945014,0,0,0,0,0,0,0,0,129
37026,2,Residential,90593509,18433460,5042567,3352567,0,279515,0,18719,0,2583
37026,3,Multi-Family,7439262,0,0,0,0,0,0,0,0,63
37026,5A,Commercial,4493664,0,0,0,0,0,0,0,0,65
37026,5B,Industrial,2365371,0,0,0,0,0,0,0,0,6
37026,6B,Industrial Incentive,545329,0,0,0,0,0,0,0,0,4
37026,8,Commercial/Industrial Incentive,752145,0,0,0,0,0,0,0,0,26
37026,9,Multi-Family Incentive,3041298,0,0,0,0,0,0,0,0,7
37026,NA,NA,0,0,0,0,0,0,0,0,0,126
37027,1,Vacant,30841,0,0,0,0,0,0,0,0,1
37027,4,Not For Profit,483188,0,0,0,0,0,0,0,0,4
37027,5A,Commercial,85592,0,0,0,0,0,0,0,0,1
37027,NA,NA,0,0,0,0,0,0,0,0,0,2
37029,1,Vacant,1489271,0,0,0,0,0,0,0,0,262
37029,2,Residential,86711394,22482451,5243746,3004620,0,270438,0,45420,0,3164
37029,3,Multi-Family,1823369,0,0,0,0,0,0,0,0,15
37029,4,Not For Profit,13665,0,0,0,0,0,0,0,0,2
37029,5A,Commercial,10991054,0,0,0,0,0,0,0,0,225
37029,5B,Industrial,2412350,0,0,0,0,0,0,0,0,37
37029,8,Commercial/Industrial Incentive,673994,0,0,0,0,0,0,0,0,16
37029,NA,NA,0,0,0,0,0,0,0,0,0,826
37030,1,Vacant,718063,0,0,0,0,0,0,0,0,153
37030,2,Residential,51002792,14474482,2466033,902887,0,126434,0,15750,0,2509
37030,3,Multi-Family,1025870,0,0,0,0,0,0,0,0,7
37030,4,Not For Profit,79568,0,0,0,0,0,0,0,0,2
37030,5A,Commercial,9038743,0,0,0,0,0,0,0,0,118
37030,5B,Industrial,679084,0,0,0,0,0,0,0,0,6
37030,8,Commercial/Industrial Incentive,134089,0,0,0,0,0,0,0,0,2
37030,NA,NA,0,0,0,0,0,0,0,0,0,683
37031,1,Vacant,712694,0,0,0,0,0,0,0,0,59
37031,2,Residential,50853802,15580550,2774176,1182907,0,111829,0,7500,0,2351
37031,3,Multi-Family,3564585,0,0,0,0,0,0,0,0,33
37031,5A,Commercial,11066574,0,0,0,0,0,0,0,0,75
37031,5B,Industrial,49638,0,0,0,0,0,0,0,0,1
37031,8,Commercial/Industrial Incentive,1016358,0,0,0,0,0,0,0,0,12
37031,NA,NA,0,0,0,0,0,0,0,0,0,84
37033,1,Vacant,31454,0,0,0,0,0,0,0,0,5
37033,2,Residential,16670792,2690000,1168000,405596,0,40000,0,2500,0,318
37033,NA,NA,0,0,0,0,0,0,0,0,0,13
37034,1,Vacant,936615,0,0,0,0,0,0,0,0,74
37034,2,Residential,125825388,29168730,7538571,5545131,0,397897,0,83082,0,4227
37034,3,Multi-Family,410579,0,0,0,0,0,0,0,0,29
37034,5A,Commercial,24063585,0,0,0,0,0,0,0,611476,116
37034,5B,Industrial,3223516,0,0,0,0,0,0,0,121822,14
37034,8,Commercial/Industrial Incentive,1549911,0,0,0,0,0,0,0,0,13
37034,9,Multi-Family Incentive,804518,0,0,0,0,0,0,0,0,13
37034,NA,NA,0,0,0,0,0,0,0,0,0,155
37035,1,Vacant,1361278,0,0,0,0,0,0,0,0,126
37035,2,Residential,83946229,22621320,4305052,2507697,0,226489,0,27500,0,3717
37035,3,Multi-Family,1084281,0,0,0,0,0,0,0,0,6
37035,4,Not For Profit,157642,0,0,0,0,0,0,0,0,1
37035,5A,Commercial,12567106,0,0,0,0,0,0,0,1462,139
37035,5B,Industrial,10393839,0,0,0,0,0,0,0,170914,40
37035,8,Commercial/Industrial Incentive,556091,0,0,0,0,0,0,0,0,9
37035,NA,NA,0,0,0,0,0,0,0,0,0,185
37036,1,Vacant,36830,0,0,0,0,0,0,0,0,6
37036,2,Residential,2199059,450000,120000,60294,0,8000,0,5000,0,68
37036,3,Multi-Family,205226,0,0,0,0,0,0,0,0,2
37036,5A,Commercial,100978,0,0,0,0,0,0,0,0,5
37036,8,Commercial/Industrial Incentive,419156,0,0,0,0,0,0,0,0,2
37036,NA,NA,0,0,0,0,0,0,0,0,0,3
37037,1,Vacant,278090,0,0,0,0,0,0,0,0,3
37037,2,Residential,1161049,30000,8000,2000,0,2000,0,0,0,21
37037,3,Multi-Family,370460,0,0,0,0,0,0,0,0,6
37037,5A,Commercial,185000,0,0,0,0,0,0,0,0,6
37038,1,Vacant,82724,0,0,0,0,0,0,0,0,1
