year,actual_keypin,incent_pins,project_pins,fmv,tax_code,in_tif,pin_classes,land_use,incent_prop,triad,exe_abate,clean_name,landuse_change,incent_change,tif_change,pin_classes_2011,pin_classes_2022,base_year_fmv_2011,end_year_fmv_2022,fmv_growth_2011,fmv_2022_2011_diff,landuse_change2,land_use2,tif_change2,incent_change2,in_tif2
2022,1500798 - LOUISE MORENO,0,7,0,15002,0,0,Exempt,Non-Incentive,South,0,Cicero,Changes Land Use,Never Incentive,Never TIF,"532, 590",0,843984,0,0,-843984,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,3900448 - CHRISTIAN LIFE CENTER,0,7,0,39044,0,0,Exempt,Non-Incentive,South,0,Blue Island,Changes Land Use,Never Incentive,Never TIF,"517, 590",0,803744,0,0,-803744,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,7004625 - JOEL JOHNSON,0,7,0,70062.71428571429,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,"530, 590",0,1149204,0,0,-1149204,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,7117776 - MONASTERO'S RISTORANTE,0,7,0,71136,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,"517, 590",0,1770856,0,0,-1770856,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,7124401 - CHICAGO LAND LABORERS,0,7,0,71056.57142857143,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,"100, 590, 597",0,14803700,0,0,-14803700,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,7220042 - CONCEPT SCHOOLS,0,7,0,72001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,"580, 593",0,1060404,0,0,-1060404,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,113333 - RUBENSTEIN LUMBER CO,0,6,0,71054,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,593,0,1018736,0,0,-1018736,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,214219 - UNILEVER ILL MFG LLC,0,6,0,20026,0,0,Exempt,Non-Incentive,North,0,Franklin Park,Changes Land Use,Never Incentive,Never TIF,"580, 593",0,4932108,0,0,-4932108,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,237596 - BENEDICT E CZASZWICZ,0,6,0,12028,0,0,Exempt,Non-Incentive,South,0,Chicago Heights,Changes Land Use,Never Incentive,Never TIF,"522, 590",0,324000,0,0,-324000,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,"2420918 - JMJ BUILDING, LLC",0,6,0,24027,0,0,Exempt,Non-Incentive,North,0,Skokie,Changes Land Use,Never Incentive,Never TIF,0,0,0,0,NA,0,Changes,Multi Land Uses,Never TIF,Never Incentive,0
