year,actual_keypin,incent_pins,project_pins,fmv,tax_code,in_tif,pin_classes,land_use,incent_prop,triad,exe_abate,clean_name,landuse_change,incent_change,tif_change,pin_classes_2011,pin_classes_2022,base_year_fmv_2011,end_year_fmv_2022,fmv_growth_2011,fmv_2022_2011_diff,landuse_change2,land_use2,tif_change2,incent_change2,in_tif2
2011,7014394 - THE UNIVERSITY OF CHIC,0,9,0,70001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,597,0,665800,NA,665800,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,"7014563 - NARROW BRIDGE, LLC",0,1,0,70063,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,597,0,506328,NA,506328,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7015324 - HHCD STRAND LLC,0,1,0,70018,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,991,0,1313410,NA,1313410,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7015351 - MAGNIFICENT INSTITUTE,0,1,0,70002,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,597,0,503224,NA,503224,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7110697 - PETER IATRIDES,0,2,0,71116,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,0,517,0,1026188,NA,1026188,Changes,Multi Land Uses,Changes,Never Incentive,1
2011,7115558 - CHEXAPAD LLC,0,1,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,212,0,487260,NA,487260,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7115831 - 3800 N CALIFORNIA RLTY,0,1,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,597,0,8218152,NA,8218152,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7116204 - THAI TOWN CNTR INC/W S,0,4,0,71042.25,0.5,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,"Always TIF, Never TIF",0,"590, 592",0,801380,NA,801380,Changes,Multi Land Uses,Changes,Never Incentive,Partly in TIF
2011,7117388 - LINCOLN SQUARE DEVELOP,0,1,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,592,0,2417056,NA,2417056,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7117547 - KDP CHICAGO CORTLAND L,0,1,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,591,0,1825000,NA,1825000,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7118395 - 5026 32 W DIVERSEY LLC,0,3,0,71022.33333333333,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,0,"517, 590",0,260172,NA,260172,Changes,Multi Land Uses,Changes,Never Incentive,0
2011,7118408 - MARIA GALINDO,0,2,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,517,0,575156,NA,575156,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,"7119104 - 4227 WEST BELMONT, LLC",0,1,0,71049,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,593,0,707384,NA,707384,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7120421 - 3801 W LAWRENCE LLC,0,1,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,517,0,554916,NA,554916,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7120701 - HAIRPIN LOFTS LLC,0,1,0,71058,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,997,0,624340,NA,624340,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7121224 - IRISH AMERICAN CENTER,0,1,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,597,0,752228,NA,752228,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7121942 - OUR LADY OF THE RESURR,0,2,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,0,517,0,534812,NA,534812,Changes,Multi Land Uses,Changes,Never Incentive,0
2011,7122470 - AGENCY HOUSE LLC,0,1,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,212,0,354130,NA,354130,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7122644 - AVONDALE INVESTORS LLC,0,5,0,71045,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,"590, 597",0,1361148,NA,1361148,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7122647 - AVONDALE INVESTORS LLC,0,2,0,71045,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,"590, 597",0,1634100,NA,1634100,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7122696 - 4240 W IRVING PARK LLC,0,2,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,"590, 592",0,2000000,NA,2000000,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,"7123465 - ITF, LLC",0,1,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,597,0,1318500,NA,1318500,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7123638 - 4841 LIPPS LLC,0,1,0,71045,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,592,0,863596,NA,863596,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7123701 - LVD LLC,0,1,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,517,0,1242588,NA,1242588,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7126423 - LSCD OF JEFFERSON PARK,0,1,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,580,0,187084,NA,187084,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7127455 - NP NATCHEZ LLC,0,1,0,71051,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,590,0,2921016,NA,2921016,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7128450 - 6136 BELMONT LLC,0,1,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,517,0,200000,NA,200000,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7129295 - MEDITATION CTR OF CHGO,0,1,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,0,0,0,NA,0,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7129984 - COLOR CLUB LLC,0,1,0,71116,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,0,318,0,1298070,NA,1298070,Changes,Multi Land Uses,Changes,Never Incentive,1
