year,clean_name,muni_PC_total,muni_PC_residential,muni_PC_industrial,muni_PC_commercial,muni_PC_inTIF,muni_PC_withincents,muni_PC_incents_inTIFs,muni_PC_claimed_exe,muni_fmv_incentive,muni_fmv_taxed,muni_fmv_inTIF,muni_fmv_exempt,muni_fmv_abated,muni_fmv_tif_increment,muni_fmv_abates_inTIF,muni_fmv_incents_inTIF,muni_fmv_untaxable_value,muni_fmv,muni_fmv_residential,muni_fmv_industrial,muni_fmv_commercial,muni_zero_bill,muni_levy,muni_current_rate_avg,muni_eav_taxed,muni_min_TC_rate,muni_max_TC_rate,muni_avg_C2_bill_noexe,muni_avg_C2_bill_withexe,muni_eav,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,muni_range_TC_rate,muni_effective_rate,muni_pct_eav_taxed,pct_fmv_taxed,pct_fmv_w_incentclass,pct_fmv_inTIF,pct_fmv_in_tif_increment,pct_fmv_untaxable_value,pct_fmv_incents_inTIFs
2016,Burbank,9966,9346,3,371,0,0,0,7715,0,1295650910,0,251082178,0,0,0,0,25108218,1546732768,1389644670,1348968,150045020,110,53849059.82,12.632,426855002.7025012,12.53,15.716,4810.753,4137.854,497238235,110,7709,2139,1325,6,202,1,18,0,3.186,3.481,0.126,0.838,0,0,0,0.016,0
2016,Burnham,2155,1408,135,146,0,8,0,958,3284700,110282035,0,28279170,0,0,0,0,2827917,138561064,105186910,12389248,14490196,236,8898732.35,21.714,40835384.72548278,21.135,22.277,3793.593,2950.188,48762600,236,958,208,147,0,23,0,2,0,1.142,6.422,0.218,0.796,0.024,0,0,0.02,0
2016,Burr Ridge,2159,1967,23,45,0,3,0,1243,5620630,1077411122,0,44776320,0,0,0,0,4480120,1122212436,967331090,23536878,116536768,50,28422247.79,7.885,358554682.7549932,7.812,8.117,7404.296,12126.767,371106456,50,1242,452,80,1,18,0,0,0,0.305,2.533,0.079,0.96,0.005,0,0,0.004,0
2016,Calumet City,15490,11604,223,931,724,144,46,8143,60424410,1004535070,33353458,243807388,0,10973423,0,8730260,26291262,1259315590,957334090,39463910,222419460,2080,87174106.72,23.679,364021220.97591305,22.218,25.791,4797.104,3419.666,437720851,2080,8142,1815,1201,1,330,0,18,0,3.573,6.922,0.239,0.798,0.048,0.026,0.009,0.021,0.007
2016,Calumet Park,3234,2494,118,210,277,36,13,1682,12299130,202087785,34531588,54955240,522504,18050216,0,10317700,8692953,275615644,223692560,12561502,33738152,190,12790110.23,19.036,67189064.0365623,19.036,19.75,4192.126,2969.565,91557151,190,1682,516,323,0,65,0,8,12,0.714,4.641,0.19,0.733,0.045,0.125,0.065,0.032,0.037
2016,Chicago,882575,744670,11698,39259,231215,507,384,412539,2096766400,204917291330,59816223788,16144866951,0,17972143587,0,1032322860,4386984610,239033811408,187891450840,4259763984,43562084414,57251,5308882775.660001,7.179,73935287141.87196,7.145,9.524,4079.345,4451.225,86232743684,57251,409665,95818,57903,2851,5214,9,370,0,2.379,2.221,0.072,0.857,0.009,0.25,0.075,0.018,0.004
2016,Chicago Heights,14137,9259,357,690,538,96,27,5994,65275215,870171817,64389775,190035110,0,14624569,0,11069845,22349413,1075155303,748107250,122177096,146838067,2194,66293348.68,19.871,324430974.8765415,18.095,34.182,3580.96,3174.273,386990098,2194,5990,1595,1004,4,149,0,13,0,16.087,6.166,0.204,0.809,0.061,0.06,0.014,0.021,0.01
2016,Chicago Ridge,4684,4181,108,174,109,19,2,2972,7645180,662972000,29139322,93691410,0,3639592,0,1538090,9984612,760303226,522691750,44147138,187018358,123,38069850.92,14.01,279289404.34959507,12.663,15.72,4356.721,3357.738,307278281,123,2972,735,447,0,64,0,6,0,3.057,5.007,0.136,0.872,0.01,0.038,0.005,0.013,0.002
2016,Cicero,17303,14747,492,919,2108,29,18,11175,65372110,1539818206,366341868,334756393,0,159253740,0,56182630,61854091,2033828594,1615961250,141108174,243163200,853,91116740.04,17.164,530824117.81320584,17.119,17.357,4821.749,3768.378,704213550,853,11175,2012,1422,0,244,1,6,0,0.238,4.48,0.172,0.757,0.032,0.18,0.078,0.03,0.028
2016,Country Club Hills,6391,5984,10,79,10,9,0,4527,8481810,558145830,931630,140693058,0,0,0,0,14105479,699200718,611700850,3432042,65888916,230,44823739.8,24.673,182041083.18455887,22.792,25.254,6231.89,5195.587,221480170,230,4527,1143,605,0,178,0,23,0,2.462,6.411,0.246,0.798,0.012,0.001,0,0.02,0
