tax_code,class,av,eav,pins_in_class,parcel_count_in_class,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,total_bill
10021,590,3367691,10112164,19,19,830511.9199999999,0,0,830511.9199999999,830511.9199999999,0,0,0,0,830511.9199999999
10021,592,5572762,16733333,18,18,1374308.62,0,0,1374308.62,1374308.62,0,0,0,0,1374308.62
10021,593,2470101,7416973,5,5,609155.97,0,0,609155.97,609155.97,0,0,0,0,609155.97
10021,597,8638135,25937728,8,8,2130265.44,0,0,2130265.44,2130265.44,0,0,0,0,2130265.44
10021,599,1541000,4627162,20,2,380028.7,0,0,380028.7,380028.7,0,0,0,0,380028.7
10021,991,232843,699158,1,1,57421.83,0,0,57421.83,57421.83,0,0,0,0,57421.83
10030,100,326,979,1,1,90.64,0,0,90.64,90.64,0,0,0,0,90.64
10030,204,98576,295994,2,2,24810.87,0,2592.2398972184365,27403.11,24810.87,0,0,0,0,24810.87
10030,278,53296,160032,1,1,13149.34,0,1666.4399339261377,14815.78,13149.34,0,0,0,0,13149.34
10035,0,0,0,139,139,0,0,0,0,0,0,0,0,0,0
10035,100,1771611,5319621,91,91,474297.23,0,0,474297.23,474297.23,0,0,0,0,474297.23
10035,190,50267,150937,5,5,13457.58,0,0,13457.58,13457.58,0,0,0,0,13457.58
10035,201,129007,387370,7,7,34537.89,0,0,34537.89,34537.89,0,0,0,0,34537.89
10035,202,435080,1306414,4,4,114696.68000000001,0,1783.1998685886947,116479.88,114696.68000000001,0,0,0,0,114696.68000000001
10035,203,494883,1485985,13,13,124287.73999999999,0,8202.719395507997,132490.46,124287.73999999999,0,0,0,0,124287.73999999999
10035,204,15751031,47295621,219,219,4050210.46,0,166666.77571764236,4216877.15,4050210.46,0,0,0,0,4050210.46
10035,205,387605,1163862,9,9,92628.57,0,11141.343618948735,103769.92,92628.57,0,0,0,0,92628.57
10035,206,2294995,6891182,36,36,591887,0,22530.730339618156,614417.74,591887,0,0,0,0,591887
10035,207,43952,131975,1,1,10875.300000000001,0,891.5999342943473,11766.9,10875.300000000001,0,0,0,0,10875.300000000001
10035,208,3958424,11885961,53,53,1010714.0599999999,0,49037.9963861891,1059752.06,1010714.0599999999,0,0,0,0,1010714.0599999999
10035,209,23647246,71005581,197,197,6193755.83,0,137101.3218964418,6330857.17,6193755.83,0,0,0,0,6193755.83
10035,224,122496,367819,10,10,32794.76,0,0,32794.76,32794.76,0,0,0,0,32794.76
10035,234,519469,1559808,11,11,129889.83,0,9182.587723297484,139072.41999999998,129889.83,0,0,0,0,129889.83
10035,239,102922,102922,38,38,9176.38,0,0,9176.38,9176.38,0,0,0,0,9176.38
10035,241,1277524,3836019,110,110,342019.29,0,0,342019.29,342019.29,0,0,0,0,342019.29
10035,278,3943661,11841633,82,82,979820.12,0,75979.73908074168,1055799.87,979820.12,0,0,0,0,979820.12
10035,290,135325,406339,6,6,36229.19,0,0,36229.19,36229.19,0,0,0,0,36229.19
10038,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
10038,100,85141,255653,4,4,21725.35,0,0,21725.35,21725.35,0,0,0,0,21725.35
10038,190,53387,160305,3,3,13622.699999999999,0,0,13622.699999999999,13622.699999999999,0,0,0,0,13622.699999999999
10038,517,429999,1291158,1,1,109722.52,0,0,109722.52,109722.52,0,0,0,0,109722.52
10038,527,1188159,3567685,1,1,303181.69,0,0,303181.69,303181.69,0,0,0,0,303181.69
10038,528,371471,1115416,1,1,94787.98,0,0,94787.98,94787.98,0,0,0,0,94787.98
10038,590,69341,208210,2,2,17693.64,0,0,17693.64,17693.64,0,0,0,0,17693.64
10038,592,1390346,4174792,2,2,354773.58,0,0,354773.58,354773.58,0,0,0,0,354773.58
10038,597,164027,492524,1,1,41854.67,0,0,41854.67,41854.67,0,0,0,0,41854.67
10039,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
10039,100,58527,175739,6,6,17057.23,0,0,17057.23,17057.23,0,0,0,0,17057.23
10039,202,34737,104305,1,1,10123.85,0,0,10123.85,10123.85,0,0,0,0,10123.85
10039,203,116693,350394,3,3,31097.41,0,2911.7997553383457,34009.21,31097.41,0,0,0,0,31097.41
10039,204,1304241,3916245,23,23,357141.77,0,22968.955890051784,380110.74,357141.77,0,0,0,0,357141.77
10039,205,45557,136794,1,1,13277.23,0,0,13277.23,13277.23,0,0,0,0,13277.23
10039,206,282779,849100,6,6,78210.95,0,4202.697646871678,82413.63,78210.95,0,0,0,0,78210.95
10039,207,131174,393876,3,3,34541.31,0,3688.279690095238,38229.59,34541.31,0,0,0,0,34541.31
10039,208,1006880,3023359,15,15,278888.19,0,14558.998776691727,293447.19,278888.19,0,0,0,0,278888.19
10039,209,823660,2473204,7,7,234225.53,0,5823.599510676691,240049.13,234225.53,0,0,0,0,234225.53
10039,224,26616,79920,1,1,7757.009999999999,0,0,7757.009999999999,7757.009999999999,0,0,0,0,7757.009999999999
10039,234,286911,861508,6,6,77017.89,0,6600.079445433584,83617.97,77017.89,0,0,0,0,77017.89
10039,241,68458,205559,17,17,19951.55,0,0,19951.55,19951.55,0,0,0,0,19951.55
10039,278,799625,2401033,17,17,218873.46,0,14170.758809313282,233044.22,218873.46,0,0,0,0,218873.46
10040,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
10041,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0
10041,100,1252110,3759703,227,227,311490.15,0,0,311490.15,311490.15,0,0,0,0,311490.15
10041,190,87751,263490,2,2,21830.12,0,0,21830.12,21830.12,0,0,0,0,21830.12
10041,202,20891,62729,1,1,4368.5999999999995,0,828.4999463288945,5197.1,4368.5999999999995,0,0,0,0,4368.5999999999995
10041,203,237304,712552,6,6,52506.37,0,6528.579577071688,59034.950000000004,52506.37,0,0,0,0,52506.37
10041,204,12224247,36705747,196,196,2841729.6,0,199341.47813644752,3041071.01,2841729.6,0,0,0,0,2841729.6
10041,206,813785,2443553,10,10,199134.41,0,3313.999785315578,202448.41,199134.41,0,0,0,0,199134.41
10041,207,228983,687567,6,6,52822.42,0,4142.499731644472,56964.92,52822.42,0,0,0,0,52822.42
10041,208,20779104,62393419,311,311,4907076.77,0,262217.91321324534,5169294.67,4907076.77,0,0,0,0,4907076.77
10041,209,47179707,141666514,457,457,11348425.83,0,388643.93957323325,11737069.77,11348425.83,0,0,0,0,11348425.83
10041,224,25657,77040,1,1,6382.75,0,0,6382.75,6382.75,0,0,0,0,6382.75
10041,234,141387,424543,3,3,33516.39,0,1656.999892657789,35173.39,33516.39,0,0,0,0,33516.39
10041,239,30657,30657,9,9,2539.89,0,0,2539.89,2539.89,0,0,0,0,2539.89
10041,241,268756,806991,43,43,66859.11,0,0,66859.11,66859.11,0,0,0,0,66859.11
10041,278,12216466,36682376,243,243,2789766.74,0,249367.96189567883,3039134.74,2789766.74,0,0,0,0,2789766.74
10041,290,35409,106322,5,5,8808.71,0,0,8808.71,8808.71,0,0,0,0,8808.71
10041,297,2,6,1,1,0.51,0,0,0.51,0.51,0,0,0,0,0.51
10041,517,1850692,5557073,4,4,460403.45,0,0,460403.45,460403.45,0,0,0,0,460403.45
10041,528,780520,2343667,1,1,194172.81,0,0,194172.81,194172.81,0,0,0,0,194172.81
10041,583,405005,1216109,1,1,100754.63,0,0,100754.63,100754.63,0,0,0,0,100754.63
10041,599,4205222,12627018,35,9,1046148.3999999999,0,0,1046148.3999999999,1046148.3999999999,0,0,0,0,1046148.3999999999
10042,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0
10043,100,42802,128521,7,7,11204.380000000001,0,0,11204.380000000001,11204.380000000001,0,0,0,0,11204.380000000001
10043,204,111106,333618,1,1,28213.02,0,871.7999424183,29084.82,28213.02,0,0,0,0,28213.02
10043,208,564692,1695600,8,8,139627.46,0,8194.91945873202,147822.38,139627.46,0,0,0,0,139627.46
10043,209,1173962,3525054,13,13,290578.85,0,16735.33323464441,307314.18,290578.85,0,0,0,0,290578.85
10043,239,1,1,1,1,0.07,0,0,0.07,0.07,0,0,0,0,0.07
10043,241,49669,149141,4,4,13002.11,0,0,13002.11,13002.11,0,0,0,0,13002.11
10043,278,213371,640689,4,4,53414.229999999996,0,2441.0398387712403,55855.27,53414.229999999996,0,0,0,0,53414.229999999996
10043,297,2,6,1,1,0.53,0,0,0.53,0.53,0,0,0,0,0.53
10044,100,7409,22247,1,1,1699.6599999999999,0,0,1699.6599999999999,1699.6599999999999,0,0,0,0,1699.6599999999999
10048,100,63151,189623,3,3,18482.530000000002,0,0,18482.530000000002,18482.530000000002,0,0,0,0,18482.530000000002
10048,239,7890,7890,4,4,769.03,0,0,769.03,769.03,0,0,0,0,769.03
10048,517,11429688,34319925,7,7,3345162.98,0,0,3345162.98,3345162.98,0,0,0,0,3345162.98
10048,528,819503,2460721,2,2,239846.47000000003,0,0,239846.47000000003,239846.47000000003,0,0,0,0,239846.47000000003
10053,206,123793,371713,1,1,31216.45,0,0,31216.45,31216.45,0,0,0,0,31216.45
10053,239,5624,5624,2,2,472.3,0,0,472.3,472.3,0,0,0,0,472.3
10054,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0
