clean_name,rank,has_HO_exemp,median_AV,median_EAV,mean_bill_cur,mean_bill_new,mean_change,perceived_savings,cur_comp_TC_rate,new_comp_TC_rate,pincount,rate_change
Stickney,q25,1,14401,43242,4084,4600,515,1279.6999167125932,12.8,11.03,60,-1.7700000000000014
Stone Park,q25,1,14397,43230,4793,5789,996,1622.9998913329546,16.36,14.71,29,-1.6499999999999986
Streamwood,q25,1,14549,43686,3735,4351,616,1217.499965314399,12.17,10.7,300,-1.4700000000000006
Summit,q25,1,14429,43326,4024,4821,797,1398.2998979803883,13.98,12.45,223,-1.5300000000000011
Thornton,q25,1,14128,42422,6125,6929,804,2032.7995556506096,20.33,17.4,9,-2.9299999999999997
Tinley Park,q25,1,14509,43566,4177,4853,676,1403.9999752009076,13.95,12.16,153,-1.7899999999999991
Westchester,q25,1,14530,43629,3267,3473,206,983.4999543064648,9.84,8.52,59,-1.3200000000000003
Western Springs,q25,1,14643,43969,2929,3021,92,753.8399563038524,8.38,7.56,1,-0.8200000000000012
Wheeling,q25,1,14338,43053,3858,4628,771,1233.8999805703934,12.34,11.23,97,-1.1099999999999994
Willow Springs,q25,1,14259,42816,3816,4431,615,1329.4998453492778,13.16,11.61,40,-1.5500000000000007
Wilmette,q25,1,14001,42041,3208,3399,190,291.37499184993726,8.43,8.09,3,-0.33999999999999986
Worth,q25,1,14246,42778,3864,4475,610,1351.79992293961,13.25,11.49,144,-1.7599999999999998
Alsip,q50,1,21064,63249,5934,6686,752,1272.3999631240144,12.5,11.63,192,-0.8699999999999992
Arlington Heights,q50,1,21172,63574,4999,5496,497,1003.4999887969329,10.02,9.26,132,-0.7599999999999998
Barrington,q50,1,21080,63297,3792,4437,645,821.2999438350652,8.21,7.9,3,-0.3100000000000005
Bedford Park,q50,1,20708,62180,7001,8226,1226,2034.1998926058473,14.53,14.14,2,-0.3899999999999988
Bellwood,q50,1,21027,63138,4742,5280,538,7649.700974862986,17.26,14.04,10,-3.2200000000000024
Berkeley,q50,1,20920,62816,7328,7467,139,1458.4998896855664,14.49,12.33,35,-2.16
