clean_name,rank,has_HO_exemp,median_AV,median_EAV,mean_bill_cur,mean_bill_new,mean_change,perceived_savings,cur_comp_TC_rate,new_comp_TC_rate,pincount,rate_change
Skokie,q75,1,31556,94753,7372,7779,407,1195.9999792532328,9.38,8.81,299,-0.5700000000000003
South Barrington,q75,1,31580,94825,7237,7697,460,1288.8694765458633,9,8.5,2,-0.5
South Chicago Heights,q75,1,31373,94204,11263,11163,-101,1337.599867478332,13.38,11.85,1,-1.5300000000000011
South Holland,q75,1,31642,95012,20744,20398,-346,2440.099972689301,24.4,21.47,2,-2.9299999999999997
Stickney,q75,1,31705,95201,10903,10504,-399,1279.6999167125932,12.8,11.03,1,-1.7700000000000014
Streamwood,q75,1,31804,95498,10290,10493,203,1226.799095950743,12.28,11.19,68,-1.0899999999999999
Summit,q75,1,31997,96077,12036,11953,-83,1398.2998979803883,13.98,12.44,1,-1.540000000000001
Tinley Park,q75,1,31563,94774,9430,9317,-113,1149.0999755089606,11.61,10.21,224,-1.3999999999999986
Westchester,q75,1,31580,94825,7367,7503,136,1770.2999177516367,9.62,8.65,70,-0.9699999999999989
Western Springs,q75,1,31722,95254,6270,6723,454,1195.9499419470546,8.02,7.62,26,-0.39999999999999947
Wheeling,q75,1,31294,93965,8978,9158,180,1242.6999780914937,11.44,10.35,150,-1.0899999999999999
Willow Springs,q75,1,31653,95044,6575,6798,223,1437.2998683834503,8.65,7.91,24,-0.7400000000000002
Wilmette,q75,1,31534,94688,6655,7168,513,865.1999845343618,8.46,8.13,94,-0.33000000000000007
Worth,q75,1,31320,94044,10585,10319,-266,2433.239861291298,13.52,11.69,4,-1.83
