year,clean_name,muni_PC_total,muni_PC_residential,muni_PC_industrial,muni_PC_commercial,muni_PC_inTIF,muni_PC_withincents,muni_PC_incents_inTIFs,muni_PC_claimed_exe,muni_fmv_incentive,muni_fmv_taxed,muni_fmv_inTIF,muni_fmv_exempt,muni_fmv_abated,muni_fmv_tif_increment,muni_fmv_abates_inTIF,muni_fmv_incents_inTIF,muni_fmv_untaxable_value,muni_fmv,muni_fmv_residential,muni_fmv_industrial,muni_fmv_commercial,muni_zero_bill,muni_levy,muni_current_rate_avg,muni_eav_taxed,muni_min_TC_rate,muni_max_TC_rate,muni_avg_C2_bill_noexe,muni_avg_C2_bill_withexe,muni_eav,muni_range_TC_rate,muni_effective_rate,muni_pct_eav_taxed,pct_fmv_taxed,pct_fmv_w_incentclass,pct_fmv_inTIF,pct_fmv_in_tif_increment,pct_fmv_untaxable_value,pct_fmv_incents_inTIFs
2006,Calumet City,15529,11759,191,986,759,99,58,8008,34883938,945763745,41320614,204497893,38872262,11039233,9371356,13160844,262318913,1200144771.5051835,872899498,44454296,242648463,1486,66220672.06,11.906,549398260.8063859,11.546,12.798,3517.255,2508.223,680402132,1.252,5.518,0.121,0.788,0.029,0.034,0.009,0.219,0.011
2006,Calumet Park,3230,2482,94,233,478,9,9,1699,5997606,151375545,39633511,37666702,2324392,20993077,397944,5997606,61087108,212359651.9105529,167160662,11569665,27754083,172,9244433.78,11.531,80170269.53429884,11.531,11.531,2961.261,2186.048,115499200,0,4.353,0.115,0.713,0.028,0.187,0.099,0.288,0.028
2006,Chicago,810211,672568,12746,36326,124685,358,279,385586,797640228,119920515862,25389134901,26713761964,0,13134094206,0,664707996,39847856170,159767276981.25925,123530055225,3973376743,29685482966,54767,3705331058.33,5.319,69650574574.79642,5.263,7.988,3505.124,2795.817,90611406508,2.725,2.319,0.053,0.751,0.005,0.159,0.082,0.249,0.004
2006,Chicago Heights,14182,9300,368,768,80,59,6,5943,Inf,Inf,21582325,144831378,29503020,7608091,0,2082644,192781007,Inf,579983033,124546545,Inf,2028,51272091.43,12.505,402873385.4317763,10.669,19.005,2773.098,2356.827,496404270,8.336,0,0.127,NA,NA,0,0,0,0
2006,Chicago Ridge,4443,3961,115,197,154,10,6,2909,4632253,535519940,38152509,94526719,0,30567723,0,4231406,125094442,660614425.0697768,430679688,48233403,173792436,104,31071262.91,8.871,357549539.7330822,8.209,9.368,3732.302,2689.74,423289452,1.159,4.703,0.087,0.811,0.007,0.058,0.046,0.189,0.006
2006,Cicero,17305,14740,582,930,2102,34,26,10504,26910469,1467629352,312657952,490222249,0,152870428,0,17689769,643092677,2110721746.8640351,1778693856,134761273,177309011,806,78363434.36,10.328,758800293.7255605,10.307,10.418,5013.313,3357.9,1090524148,0.111,3.713,0.103,0.695,0.013,0.148,0.072,0.305,0.008
2006,Country Club Hills,6384,5914,10,61,32,4,1,4425,1828594,503798970,9750843,105803216,0,6472636,0,366012,112612416,616411425.3621744,530495394,2203051,55644900,165,31625294.99,12.612,250608193.83622643,12.141,13.292,4577.016,3692.775,302972895,1.151,5.131,0.126,0.817,0.003,0.016,0.011,0.183,0.001
2006,Countryside,2658,2190,49,278,0,4,0,1552,5488400,481429992,0,69594373,0,0,0,0,69594373,551024181.680622,352930515,45155183,147251456,73,18926277.66,5.866,322355879.3338194,5.423,6.652,2585.718,3302.707,352505186,1.229,3.435,0.059,0.874,0.01,0,0,0.126,0
2006,Crestwood,6104,5384,165,205,4,6,0,3958,3843038,556934968,11385328,109490552,0,5943364,0,0,115447651,672382616.423445,457201077,54614288,142568589,131,27570622.59,7.841,353422121.6050445,6.429,8.265,1610.499,2365.369,406941599,1.836,4.1,0.078,0.828,0.006,0.017,0.009,0.172,0
2006,Deer Park,16,11,0,0,0,0,0,7,0,1469773,0,174915,0,0,0,0,174915,1644690.3409090908,1597431,0,0,4,50031.74,7.764,644406.7490984029,7.764,7.764,4019.708,4538.181,720182,0,3.042,0.078,0.894,0,0,0,0.106,0
