year,cty_PC,cty_PC_residential,cty_PC_industrial,cty_PC_commercial,cty_PC_inTIF,cty_PC_withincents,cty_PC_incents_inTIFs,cty_PC_claimed_exe,cty_fmv_incentive,cty_fmv_taxed,cty_fmv_incents_inTIFs,cty_fmv_inTIF,cty_fmv_tif_increment,cty_fmv_untaxable_value,cty_fmv,cty_fmv_exemptions,cty_fmv_abatements,cty_zero_bill,cty_fmv_residential,cty_fmv_industrial,cty_fmv_commercial,cty_levy,cty_current_rate_avg,cty_avg_C2_bill_noexe,cty_avg_C2_bill_withexe,cty_av_taxed,cty_untaxable_value_av,cty_av,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,cty_pct_fmv_untaxable,cty_pct_fmv_taxed,cty_pct_av_taxed,cty_pct_av_untaxable
2016,1863996,1603965,26070,72056,274235,2941,1020,1048517,6236047465,410061809308.0101,2167760220,71238778628,23330754491.39746,7514223439.5442295,471744698149,38319782591.324425,23090904.680365298,103691,383847031190,15482097010,67065382409,12912759504.9,10.296306599906874,4568.982832253695,5495.781671536154,51109493152.92315,7514223439.5442295,58622009369,1045279,270840,136689,3140,17254,28,1447,47,0.01592858058400663,0.8692451890121562,0.8718481966595714,0.12818092590865435
2017,1864621,1606005,25879,71748,275351,3096,1066,1031505,6713619596.666667,407554310910.53394,2262197793.3333335,72585120803.33333,25706130700.721123,9178026463.974651,484460562168.6667,51156430390.5219,34721315.01670773,119135,396255139160,15954126858,67944280630.666664,13454881808.550001,10.062595040493484,4944.574655191207,5578.18165382762,50852421064.950966,9178026463.974651,60028265478,1028746,281949,157168,2541,17702,28,1618,69,0.018944837166702724,0.8412538454856567,0.8471412702002538,0.15289508019082015
2018,1864590,1606318,25686,71743,272557,3308,1175,1019856,7934546566.666667,435878197348.2254,2919532416.6666665,82082327690.66667,33424830250.706593,10414015841.779953,521698706457.6667,52353481947.164566,32675237.898931604,120377,424077349450,16848262796,75923377471.66667,13827844823.140001,10.077546806000248,5143.956044152276,5723.894818661538,54471164735.48618,10414015841.779953,64883173152,1017001,288749,160958,2763,18601,26,1849,69,0.01996174365179301,0.8354979453712615,0.8395268309069611,0.16050410816658625
2019,1864102,1605823,25507,71887,269808,3444,1208,1037637,9271597186.666666,455679903672.13196,3436093236.6666665,85444772864.66667,36579837623.402695,11177377030.232248,546304425962.6667,53992292396.43303,43584212.62002743,119152,439868295620,19409358183,81784717349.66667,14310649286.02,9.99429276134031,5173.71884803136,5808.121399120195,57237919792.30983,11177377030.232248,68412382710,1035723,322420,144911,1810,17595,36,1795,76,0.02045997890376983,0.8341135125697704,0.8366602291129268,0.16338236716024254
2020,1864035,1605833,25292,71592,267879,3505,1159,1026518,9528122105,429354376410.691,3060943930,81064294006,36621564733.51167,10681443696.468632,514478696563,48439735018.923775,51591018.80002482,116988,411400449790,20166561675,77380180558,14709061372.32,9.516446741611611,5264.719532096613,5884.412995581623,53952751898.81443,10681443696.468632,64631584955,1025686,316577,143124,723,20889,54,2188,90,0.02076168317138598,0.8345425753855579,0.8347737710034382,0.16526662163562336
2021,1864594,1606693,25082,71118,264685,3652,1214,1029765,10861564025,466904302217.4705,4294012280,91482762913,43509816678.61979,12228737387.086666,564078586339,53641219992.67359,13382918.04043028,127784,451969304570,22375945384,84128815755,15223894110.190008,10.077716231522784,5521.771192847767,6040.4311558647405,58505700238.105804,12228737387.086666,70733758749,1028964,335482,155951,713,23633,14,2409,35,0.021679137771305926,0.8277291737801766,0.8271255659651048,0.17288403166132538
2022,1865016,1606920,25526,70749,300222,4383,1924,1011696,12764675273.333334,508153693587.66766,5300523816.666667,111514487732.66667,45705635411.59524,12488476414.267426,605862898192.3334,51986864226.15187,6676957.280158702,121683,487149021750,24721820655,88748261442.33333,15997210406.620005,10.197921603353542,5785.7419344768905,6477.904091641056,63186575994.97719,12488476414.267426,75674322433,1010623,341916,109895,840,25923,23,1604,38,0.020612710320318892,0.8387272023155846,0.8349803997375844,0.16502924654957282
