nbhd_code,nbh_current_rate,major_class_code,nbhd_3,triad_name,nbh_final_tax_to_dist,nbh_tif_rev,nbh_nonTIF_EAV_post_exemps,nbh_TIF_increment_EAV,nbh_exe_and_abates_frombills,Total_EAV,TC_MC_PC,TC_MC_AV,TC_MC_EAV,TC_MC_res_exe,nbh_mc_exe_homeowner,nbh_mc_exe_senior,nbh_mc_exe_freeze,nbh_mc_exe_longtime_homeowner,nbh_mc_exe_disabled,nbh_mc_exe_vet_returning,nbh_mc_exe_vet_dis_lt50,nbh_mc_exe_vet_dis_50_69,nbh_mc_exe_vet_dis_ge70,nbh_mc_exe_abate,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp
99999,0.06697,1,999,City,3318.72,395.01,49555.323279080185,5898.312677318202,0,55453.635956398386,2,18468,55454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999,0.09634999999999999,1,999,South,584.0699999999999,0,6061.961598339388,0,0,6061.961598339388,1,2019,6062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999,0.06697,3,999,City,46993.92,77077.52,701715.9922353292,1150926.0863073017,0,1852642.0785426311,2,616992,1852642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999,0.06697,5B,999,City,13840.91,25140.32,206673.28654621472,375396.74481110944,0,582070.0313573241,2,193849,582070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77999,0.06716039994074176,1,999,City,252986.94,30635.99,3766906.3945899704,456422.64101417724,0,4223329.035604148,22,1406511,4223329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77999,0.06712630968811657,5A,999,City,42513.4,0,633334.3840518941,0,0,633334.3840518941,7,210922,633334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77999,0.06701210832019226,5B,999,City,97589.67,1184.7,1456299.0546977615,17632.088108349457,0,1473931.1428061111,15,490868,1473931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77999,0.06697,6B,999,City,2905.16,932.2900000000001,43380.02090488278,13921.009407197253,0,57301.03031208003,1,19083,57301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77999,0.06719,6C,999,City,6709.67,0,99861.14005060277,0,0,99861.14005060277,1,33257,99861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77170,0.06707430411422229,1,170,City,737081.42,703793.46,10989028.208847431,10508989.968051972,0,21498018.176899403,125,7159565,21498020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
