clean_name,agency_num,exemption_level,total_billed,av,eav,nonTIF_EAV_post_exemps,TIF_increment_EAV,Exempt_EAV,Total_EAV,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,pin_count,tax_rate_current,nonTIF_EAV_pre_exemps,taxrate_new,taxrate_change
Alsip,030010000,40000,65615063.37,237343504,712667700,504699999.9031557,3181789.9019257952,219702834.1703213,727584623.9754027,65206611.5,408451.87,28289125.12089314,91980952.1,65615063.37,7228,0.12919875473055709,724402834.073477,0.09001429651141593,0.039184458219141155
Arlington Heights,030020000,40000,242614203.47,1164106179,3495461492,2341224605.3862653,33421615.500432935,1142581763.687433,3517227984.574131,239347178.08,3267025.39,116607182.01130739,356970987.39,242614203.47,30015,0.10223161738918744,3483806369.073698,0.06870277872063238,0.033528838668555064
Barrington,030030000,40000,24896024.97,126052198,378496935,287610913.94512224,14795286.843338631,76766200.415495,379172401.2039558,23669352.44,1226672.53,6321496.632201398,31162064.1,24896024.97,2663,0.08229643345355192,364377114.3606172,0.0649583947705752,0.017338038682976717
Barrington Hills,030040000,40000,16181442.93,70117588,210269989,180025770.00781828,0,30244307.422271367,210270077.43008965,16181442.93,0,2731956.7449422455,18913398.73,16181442.93,1336,0.08988403676483239,210270077.43008965,0.07695551895813606,0.012928517806696335
Bartlett,030050000,40000,30725694.12,146764612,440624846,234466933.5249125,4296879.8383838385,205103567.58308604,443867380.9463824,30193955.24,531738.88,25558121.13377013,55882461.99,30725694.12,5831,0.12877702960529333,439570501.10799855,0.06868967586289784,0.06008735374239549
Bedford Park,030060000,40000,70580436.67,184370740,553609997,459660187.4144343,85270381.95180146,9263778.335159993,554194347.7013958,60906616.81,9673819.86,1346026.9920987468,71841556.77,70580436.67,1078,0.13250357215532782,468923965.74959433,0.12988591170135283,0.0026176604539749904
Bellwood,030070000,40000,28952498.48,124715295,374482615,135467645.16888303,31961605.50302477,240758985.13790435,408188235.8098121,23448716.45,5503782.03,41758797.3605827,64869835.88,28952498.48,6742,0.17309458963996355,376226630.3067874,0.0623260411706613,0.11076854846930224
Bensenville,030080000,40000,3051321.88,8664342,26016422,26016407.11264659,0,0,26016407.11264659,3051321.88,0,0,3051321.88,3051321.88,72,0.11728452229350111,26016407.11264659,0.11728452229350111,0
Berkeley,030090000,40000,8925947.06,45357351,136194509,55448696.65901889,5702219.448756147,81381786.89730535,142532703.00508037,8091906.92,834040.14,11810449.071975613,19814749.78,8925947.06,2452,0.14593502476281972,136830483.55632424,0.05913818843349396,0.08679683632932576
Berwyn,030100000,40000,64340709.58,332419873,998157078,429631590.5349315,33543315.733119432,569680465.9780349,1032855372.2460858,59658307.09,4682402.49,79696725.89903903,139170159.15,64340709.58,15575,0.1388592189315498,999312056.5129664,0.05969937688750973,0.07915984204404006
Blue Island,030110000,40000,28493274.72,105338372,316299503,164636116.0335107,19446384.855031747,146377731.62386033,330460232.5124028,25504094.34,2989180.38,22249791.27363333,48586415.88,28493274.72,7969,0.15491190483872197,311013847.65737104,0.08200308292412957,0.0729088219145924
Bridgeview,030120000,40000,56210019.55,196682542,590578684,398502266.57023096,29299084.151100047,175311526.97267982,603112877.6940109,52164111.29,4045908.2600000002,22789226.72825446,77373868.92,56210019.55,5302,0.13090041303643812,573813793.5429108,0.0909077332699202,0.03999267976651792
Broadview,030130000,40000,29254848.73,111760254,335582516,233192254.46959752,8380098.9109365335,106753194.9365436,348325548.31707764,28246921.65,1007927.08,13238095.745717153,40931149.4,29254848.73,3306,0.12113147460342726,339945449.4061411,0.08309251292919269,0.03803896167423457
Brookfield,030140000,40000,27676062.56,169727701,509641323,217946189.88260937,5574762.290011306,296230303.9414528,519751256.11407346,27015591.5,660471.06,37282627.49461025,63701496.46,27676062.56,8821,0.1239553282145065,514176493.82406217,0.05254147520256738,0.07141385301193912
Buffalo Grove,030150000,40000,24932561.75,140786211,422738600,211888268.01885137,81630.8009802562,222795870.79444724,434765769.61427885,24922966.64,9595.11,26227826.651599813,49744619.85,24932561.75,6107,0.11762315522718154,434684138.8132986,0.05733580872778217,0.060287346499399375
Burbank,030160000,40000,33436963.72,208515910,626110693,260965575.0422648,11126919.928391244,382998701.404434,655091196.37509,32069576.53,1367387.19,47066710.41559089,76942871.35,33436963.72,9973,0.12288814923120094,643964276.4466988,0.04980024157078287,0.07308790766041806
Burnham,030170000,40000,8184538.12,19144564,57485356,33783876.90070525,0,26439495.555111565,60223372.45581681,8184538.12,0,6380449.105153465,13904460.63,8184538.12,2090,0.24226166061566326,60223372.45581681,0.1359030188155708,0.10635864180009247
Burr Ridge,030180000,40000,28014984.97,152154638,456866929,384935522.16607726,0,72770448.37013921,457705970.53621644,28014984.97,0,5267370.904703823,33223146.43,28014984.97,2234,0.07277838327924739,457705970.5362165,0.06120738372099361,0.011570999558253782
Calumet City,030190000,40000,67790790.62,155774296,467743492,249889605.98472062,8735354.485047914,233964595.92334905,492589556.39311755,65582691.88,2208098.74,60280754.15764503,121667337.51,67790790.62,15453,0.2624466576813524,483854201.90806967,0.1355422596752822,0.1269043980060702
Calumet Park,030200000,40000,12296249.709999999,33265842,99887296,56076963.153301656,3538326.8205177933,47201132.262761645,106816422.23658109,11566434.42,729815.29,9735705.540517217,20603029.07,12296249.709999999,3234,0.20626,103278095.41606331,0.11199310341078404,0.09426689658921596
