year,clean_name,major_class_code,cur_comp_muni_rate,new_comp_muni_rate,current_taxable_eav,new_taxable_eav,av,eav,equalized_av,pins_in_muni,all_exemptions,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis_lt50,exe_vet_dis_50_69,exe_vet_dis_ge70,exe_abate,exe_vet_dis,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,total_bill_current
2006,Alsip,0,8.220580925,8.220580925,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019526882,692,0,0,0,0,0,0,0,0,0
2006,Alsip,1,8.19079,8.19079,13038059.09,13038059.09,4861327,13162531,13162531,200,0,0,0,0,0,0,0,0,0,0,0,0,1067920.04,974.38,0,1068894.42,1068894.42,0,0,0,0.014477788,0,0,0,0,0,0,0,0,0,1068894.42
2006,Alsip,2,8.184281914,6.493741898,196484489.4,247636028.4,99574652,269603208,269608382,5789,63605173,51151539,3070601,9383033,0,0,0,0,0,0,163046,0,16080844.53,689269.21,5162787.579,21932899.04,16770113.74,0,0,0,0.037680429,1,4495,899,507,0,0,0,0,1,16770113.74
2006,Alsip,3,8.267119048,8.267119048,26090939.03,26090939.03,9575792,25927415,25927415,84,0,0,0,0,0,0,0,0,0,0,0,0,2156968.99,0,0,2156968.99,2156968.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2156968.99
2006,Alsip,4,7.887,7.887,3169397.997,3169397.997,1170556,3169398,3169398,5,0,0,0,0,0,0,0,0,0,0,0,0,249970.42,0,0,249970.42,249970.42,0,0,0,0,0,0,0,0,0,0,0,0,0,249970.42
2006,Alsip,5A,8.10883871,8.10883871,131039448.4,131039448.4,49336823,133584385,133584385,279,0,0,0,0,0,0,0,0,0,0,2780841,0,10625777.52,26019.79,219324.9197,10871122.12,10651797.31,0,0,0,0.003790267,0,0,0,0,0,0,0,0,13,10651797.31
2006,Alsip,5B,8.158337731,8.158337731,270568938.4,270568938.4,101035924,273564864,273564864,379,0,0,0,0,0,0,0,0,0,0,4449382,0,22073927.79,112639.19,359608.3419,22546175.29,22186566.98,0,0,0,0.007185976,0,0,0,0,0,0,0,0,26,22186566.98
2006,Alsip,6A,7.554,7.554,304694.996,304694.996,112533,304695,304695,2,0,0,0,0,0,0,0,0,0,0,0,0,23016.66,0,0,23016.66,23016.66,0,0,0,0,0,0,0,0,0,0,0,0,0,23016.66
2006,Alsip,6B,8.174081081,8.174081081,28921470.52,28921470.52,12411370,33605024,33605024,37,0,0,0,0,0,0,0,0,0,0,4922373,0,2364064.45,0,402701.9185,2766766.35,2364064.45,0,0,0,0,0,0,0,0,0,0,0,0,14,2364064.45
2006,Arlington Heights,0,7.95521831,7.95521831,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017487838,1136,0,0,0,0,0,0,0,0,0
