year,clean_name,cur_comp_muni_rate,new_comp_muni_rate,current_taxable_eav,new_taxable_eav,av,eav,equalized_av,pins_in_muni,all_exemptions,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis_lt50,exe_vet_dis_50_69,exe_vet_dis_ge70,exe_vet_dis,exe_abate,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,total_bill_current
2006,Burbank,7.827209539014168,6.463883197290701,514957112.73722476,623569006.7372248,245577659,664926129,664926129,10022,148719958,108611894,6709500,33398564,0,0,0,0,0,0,0,0,40306772.25,0,11639423.41113989,51946182.23,40306772.25,0,0,0,0,207,7634,2007,1211,0,0,0,0,0,40306772.25
2006,Burnham,11.429089378238341,10.063656173295584,56638027.89332783,64322654.89332783,24506080,66352695,66352695,2316,9598636,7684627,518862,1395147,0,0,0,0,0,0,0,0,6473210.83,0,1098853.651740276,7572064.32,6473210.83,0,0,0,0,335,918,157,114,0,0,0,0,0,6473210.83
2006,Burr Ridge,5.624177659574468,5.376883695241184,356801229.346626,373211253.346626,137894523,373354630,373363325,1880,19350636,16410024,1281000,1659612,0,0,0,0,0,0,0,0,20067135.03,0,1089574.3182120784,21156705.49,20067135.03,0,0,0,0,92,1150,313,56,0,0,0,0,0,20067135.03
2006,Calumet City,11.89655156185658,10.633041918176867,556637540.8510866,622782008.8510866,251293456,680402132,680402132,16999,88591759,66144468,6230936,16204105,0,0,0,0,0,12250,12250,35000971,66220672.06,871377.13,14817919.952316243,81908538.4,67092049.19,0,0,0,0.022003332949337255,2956,8006,1803,1191,0,0,0,1,169,67092049.190000005
2006,Calumet Park,11.531,9.945795940024508,80170269.53429884,92948154.53429884,42657401,115499200,115499200,3400,16317818,12777885,1084197,2455736,0,0,0,0,0,0,0,2301937,9244433.78,1926735.84,2147043.5145638236,13318211.86,11171169.62,0,0,0,0.06679010040095706,342,1699,323,217,0,0,0,0,5,11171169.62
2006,Chicago,5.319182501582795,4.711474573571227,69659784322.63657,78644827653.63657,33465581171,90611406508,90611406508,862398,11575385051,8985043331,302715599,2287160609,0,0,0,0,0,465512,465512,0,3705331058.33,502395300.02,614878742.7584133,4822580073.4800005,4207726358.35,0,0,0,0.10835106495809743,106954,385512,86821,50352,0,0,0,23,0,4207726358.35
2006,Chicago Heights,12.469838352414136,11.227413199996441,411168853.8454376,456668784.8454376,183384368,496404270,496531489,16072,62746165,45499931,5329867,11916367,0,0,0,0,0,0,0,23098049,51272091.43,936250.85,10964934.452821225,63173273.67,52208342.28,0,0,0,0.0013323542694313089,3918,5943,1607,1006,0,0,0,0,84,52208342.28
2006,Chicago Ridge,8.872639762480755,8.151862229145717,350191867.8293392,381155397.8293392,156333826,423289452,423289452,4547,40950487,30963530,2426375,7560582,0,0,0,0,0,0,0,0,31071262.91,2191883.41,3647305.3666057,36910450.8,33263146.32,0,0,0,0.027620085912519025,208,2909,713,423,0,0,0,0,0,33263146.32
2006,Cicero,10.328150737121087,8.421346111860863,758736354.2085886,930533353.2085886,402764124,1090524148,1090524148,18111,212389634,171796999,6187650,34404985,0,0,0,0,0,0,0,0,78363434.36,12345255.26,21933689.643645193,112642373.61,90708689.62,0,0,0,0.06565857027193386,1612,10504,1786,1184,0,0,0,0,0,90708689.62
2006,Country Club Hills,12.610657758094074,10.901686369418343,250782279.53416225,290095439.5341623,111951050,302972895,303118700,6548,45835646,39313160,2239734,4282752,0,0,0,0,0,0,0,0,31625294.99,821099.9,5782035.25438421,38228430.21,32446394.89,0,0,0,0.006295777441029322,329,4425,644,295,0,0,0,0,0,32446394.889999997
2006,Countryside,5.863767032967033,5.4897589251986085,322766534.7820514,344756079.7820514,130191020,352505186,352505186,2730,30149396,21989545,1458000,6701851,0,0,0,0,0,0,0,0,18926277.66,0,1758712.3937858818,20684984.61,18926277.66,0,0,0,0,145,1551,422,206,0,0,0,0,0,18926277.66
2006,Crestwood,7.832653123494459,7.130761868467317,351995960.44028115,386643434.44028115,150298262,406941599,406947549,6227,47433059,34647474,4029827,8755758,0,0,0,0,0,0,0,0,27570622.59,487341.63,3742101.7109694513,31800062.05,28057964.22,0,0,0,3.3532656108174085e-4,254,3958,1155,673,0,0,0,0,0,28057964.22
2006,Deer Park,7.764,6.981016365043061,644406.7490984028,716682.7490984028,265986,720182,720182,20,75776,72276,3500,0,0,0,0,0,0,0,0,0,50031.74,0,5883.248402590711,55914.95,50031.74,0,0,0,0,8,7,1,0,0,0,0,0,0,50031.74
2006,Deerfield,6.2440625,6.2440625,195358237.20534506,195358237.20534506,72574257,196502058,196502058,80,0,0,0,0,0,0,0,0,0,0,0,0,12198290.43,0,0,12198290.43,12198290.43,0,0,0,0,14,0,0,0,0,0,0,0,0,12198290.43
2006,Des Plaines,7.101537484758021,6.495495213267503,2110562650.4357896,2307482229.4357896,910358165,2464885762,2464885762,23783,272556275,196919579,17341275,58210488,0,0,0,0,0,84933,84933,0,149882397.76,5984422.6,19382697.305520583,175243543.68,155866820.36,0,0,0,0.035456318510404664,1524,16239,4630,2037,0,0,0,3,0,155866820.35999998
2006,Dixmoor,11.500595005852517,10.295099425720785,27983950.642225336,31260706.642225336,16463967,44577881,44577881,2563,4475466,3276756,472205,726505,0,0,0,0,0,0,0,440713,3218320.83,1727091.96,559408.9789172722,5504821.33,4945412.79,0,0,0,0.20158873294273702,726,566,173,112,0,0,0,0,4,4945412.79
2006,Dolton,13.399781326781326,11.234526009641797,259264003.06671914,309232534.0667192,123290886,333822328,333822328,9768,60022927,49968531,2961157,7059765,0,0,0,0,0,33474,33474,3691817,34740809.47,1295071.12,8501756.254858328,44533082.66,36035880.59,0,0,0,0.0018921434440533377,885,6007,876,555,0,0,0,6,29,36035880.589999996
2006,East Dundee,7.049,7.0489999999999995,1342921.9747481914,1342921.9747481914,495987,1342934,1342934,2,0,0,0,0,0,0,0,0,0,0,0,0,94662.57,0,0,94662.57,94662.57,0,0,0,0,0,0,0,0,0,0,0,0,0,94662.57
2006,East Hazelcrest,11.959,10.764475017671325,27797014.96780667,30881626.96780667,12156032,32913680,32913680,765,3975806,3084612,268762,622432,0,0,0,0,0,0,0,0,3324245.02,136434.66,475466.4645833003,3936145.88,3460679.68,0,0,0,0.0015478727193803923,183,325,78,46,0,0,0,0,0,3460679.68
2006,Elgin,8.489466751108298,7.622931184815029,441170105.5912672,491320051.5912672,184079158,498367174,498412850,7895,58382399,50149946,2492000,5721195,0,0,0,0,0,19258,19258,0,37452989.43,0,4954308.749204057,42405661.78,37452989.43,0,0,0,0,455,4879,724,327,0,0,0,1,0,37452989.43
2006,Elk Grove Village,6.82373478893741,6.47969789176836,2007916790.9943924,2114526307.9943924,832353490,2253680269,2253680269,13740,137170360,106609517,7707000,22853843,0,0,0,0,0,0,0,0,137014916.6,1690517.2,9393106.567207266,148098530.36,138705433.8,0,0,0,9.998554294918486e-4,559,9560,2202,920,0,0,0,0,0,138705433.79999998
2006,Elmwood Park,8.038402506628103,6.856662746580526,463815243.50463724,543753390.5046372,215300575,582947857,582947857,8298,113638130,79938147,5464664,28167382,0,0,0,0,0,67937,67937,0,37283336.16,449241.05,9134232.372057034,46857349.52,37732577.21,0,0,0,0.0063166571420451905,192,5915,1584,844,0,0,0,2,0,37732577.20999999
2006,Evanston,7.802812567110758,7.152450983111325,2247694819.0355077,2452074320.0355077,987968161,2675022410,2675022410,25145,252045142,204379501,11235037,36389277,0,0,0,0,0,41327,41327,0,175383413.81,14028536.96,19634051.29156396,209042757.17,189411950.77,0,0,0,0.04052974891163031,2230,14683,3075,856,0,0,0,1,0,189411950.77
2006,Evergreen Park,10.241224823848238,8.649063068422311,403784086.6817473,478114632.6817473,187069551,506509529,506509529,9225,97319132,74330546,5179438,17809148,0,0,0,0,0,0,0,0,41352436.12,921347.29,9964505.183736296,52238285.52,42273783.41,0,0,0,0.008303963851823415,408,6659,1692,855,0,0,0,0,0,42273783.41
2006,Flossmoor,12.359772800367562,11.033790782174899,254250287.58672225,284804728.58672225,108954165,295004366,295004366,4353,35686037,30554441,2508800,2595286,0,0,0,0,0,27510,27510,0,31424757.89,611097.0599999999,4412700.517906954,36445156.42,32035854.95,0,0,0,0.007814988225875489,291,3080,732,166,0,0,0,1,0,32035854.95
2006,Ford Heights,21.385396573875802,18.21318862677195,13360140.178509615,15687088.178509615,6255055,16794536,16936189,2335,2788894,2326948,204549,257397,0,0,0,0,0,0,0,0,2857118.96,0,597062.9918309237,3454181.87,2857118.96,0,0,0,0,858,336,102,74,0,0,0,0,0,2857118.96
2006,Forest Park,8.998275201612904,7.977476092522634,351774922.4243131,396788097.4243131,160659107,435000621,435000621,5952,59044549,45013175,2308647,11711994,0,0,0,0,0,10733,10733,0,31653675.61,1982162.96,5315780.306224022,38950648.71,33635838.57,0,0,0,0.009024122806170867,502,3068,663,390,0,0,0,1,0,33635838.57
2006,Forestview,9.215709016393443,8.691393565059705,57690454.099001475,61170678.099001475,24051267,65121216,65121216,488,5300529,3480224,280000,1540305,0,0,0,0,0,0,0,0,5316584.38,0,502967.13262938015,5819551.17,5316584.38,0,0,0,0,96,227,80,52,0,0,0,0,0,5316584.38
2006,Frankfort,6.918,6.918,49914.57068516912,49914.57068516912,49942,49942,135223,1,0,0,0,0,0,0,0,0,0,0,0,0,3453.09,0,0,3453.09,3453.09,0,0,0,0,0,0,0,0,0,0,0,0,0,3453.09
2006,Franklin Park,8.573327496679145,7.995829392032909,818641577.3477206,877767896.3477206,340978776,923234162,923234162,8281,82157971,59126319,3946354,19085298,0,0,0,0,0,0,0,0,70184823.45,2288522.71,6995436.720264551,79468778.41,72473346.16,0,0,0,0.017529667991403455,810,4792,1241,721,0,0,0,0,0,72473346.16
2006,Glencoe,7.316746268656717,6.954482358514487,804231110.9252542,846124078.9252542,315022573,852955121,852955121,4020,47667818,41892968,1861125,3913725,0,0,0,0,0,0,0,0,58843549.8,0,3488756.458264944,62332286.74,58843549.8,0,0,0,0,414,2592,548,46,0,0,0,0,0,58843549.8
2006,Glenview,6.185463658303867,5.7206584660490405,2170412948.910819,2346759642.910819,1030559251,2790341320,2790342326,17817,223819639,176346694,13954850,33483039,0,0,0,0,0,35056,35056,0,134250104.19,24675523.99,13845959.102558037,172769357.74,158925628.18,0,0,0,0.07002357680212522,749,12869,3453,811,0,0,0,1,0,158925628.18
2006,Glenwood,11.428237399561723,9.7893250540122,128481853.82080972,149992069.82080972,66752693,180598969,180739513,4107,27738465,21510216,2157279,4053548,0,0,0,0,0,17422,17422,0,14683211.27,2703440.4699999997,3224665.5792938,20609001.03,17386651.74,0,0,0,0.022658521971491843,484,2588,620,320,0,0,0,1,0,17386651.74
2006,Golf,7.534,7.198224452659688,31039276.34722591,32487165.34722591,12078438,32703577,32703577,218,1664302,1447889,122500,93913,0,0,0,0,0,0,0,0,2338499.08,0,125388.46777336199,2463886.52,2338499.08,0,0,0,0,26,153,35,3,0,0,0,0,0,2338499.08
2006,Hanover Park,8.705373718887262,7.537252797273728,260189914.0855636,300514060.0855636,120680581,326750139,326754662,5464,46765857,40324146,1645000,4775840,0,0,0,0,0,20871,20871,0,22650504.4,1709099.69,4070498.9452624926,28428317.91,24359604.09,0,0,0,0.017990983946809296,187,3687,473,216,0,0,0,1,0,24359604.09
2006,Harvey,13.576044301048583,11.931160085538957,270287289.11238015,307550329.11238015,120818941,327129452,327129452,16117,48259913,37263040,3329152,7660775,0,0,0,0,0,6946,6946,3,36694322.11,1522642.77,6562527.743477364,44778507.97,38216964.88,0,0,0,0.02375412018689713,2625,4659,1127,772,0,0,0,1,1,38216964.88
2006,Harwood Heights,6.587948957584471,5.980065806053987,246323819.3628935,271363025.36289346,106853624,289316870,289316870,2782,42871989,25039206,2527000,15305783,0,0,0,0,0,0,0,0,16227687.49,0,2826143.49175465,19053828.04,16227687.49,0,0,0,0,100,1947,733,428,0,0,0,0,0,16227687.49
2006,Hazelcrest,12.127351550266207,10.33074947288759,179067798.10900518,210209157.10900518,86765638,234892843,234926595,6386,37612011,31141359,2765375,3689223,0,0,0,0,0,16054,16054,0,21716181.39,1735106.44,4444761.676864873,27894022.38,23451287.83,0,0,0,0.028648452088248202,505,3614,598,314,0,0,0,1,0,23451287.830000002
