agency_name,median_av,nochange_av,nochange_ratio,cur_comp_TC_rate,new_comp_TC_rate,current_taxable_eav,new_taxable_eav,muni_median_av,muni_median_eav,muni_mean_av,muni_mean_eav,av,eav,equalized_AV,pins_in_muni,current_exemptions,HO_exemps,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,total_bill_current,median_eav,avg_av,avg_eav,C2_pins_in_muni,C2_current_exemptions,C2_HO_exemps,rate_change,nobillchange_propertyEAV
VILLAGE OF STREAMWOOD,16902,29419,1.7405632469530232,12.15306676793482,10.777283403601007,793176053.5894802,894429623.5894802,16843,50574,21551,64711,312123583,937203415,937213467,14483,137357854,101253570,96395215.38,854212.86,16688998.862158477,113938427.58,97249428.24,0,0,0,4.8228206657274043e-4,97249428.24,50752,17633,52946,13737,137357854,101253570,1.375783364333813,88336
VILLAGE OF SUMMIT,15230,36194,2.376493762311228,13.957160277693934,12.672914016951944,161384831.95610076,177739228.95610076,15079,45278,20428,61338,67676572,203212421,203212421,3313,25200046,16354397,22524739.66,2069493.77,3523722.175090109,28117955.86,24594233.43,0,0,0,0.045392189777819496,24594233.43,45732,14768,44342,2514,25069291,16354397,1.2842462607419893,108680
VILLAGE OF THORNTON,8764,27595,3.148676403468736,20.34607227138643,17.890591426812794,51949058.024651185,59079058.024651185,8705,26139,15391,46214,20869770,62665649,62665649,1356,9897783,7130000,10569592.89,194609.97,2011962.7885513648,12776166.12,10764202.86,0,0,0,0.020259598849991147,10764202.860000001,26316,8838,26539,988,9897783,7130000,2.4554808445736356,82860
VILLAGE OF TINLEY PARK,19166,28978,1.5119482416779715,12.863698720776355,11.385318419370103,1171592915.7030525,1323723916.7030525,18974,56973,23474,70477,478933284,1437947016,1438093012,20403,226070896,152131001,150710182.91,3168299.88,29101893.04356464,182968690.84,153878482.79,0,0,0,0.011076377219542813,153878482.79,57548,19600,58845,18776,226052896,152121001,1.4783803014062524,87012
VILLAGE OF UNIVERSITY PARK,13700,999843,72.9812408759124,20.707250000000002,20.638277082475764,2992229.0985041466,3002229.0985041466,15086.5,31581.5,248804,740224,995216,2960898,2988335,4,10000,10000,619608.36,0,2062.2956233313566,621670.66,619608.36,0,0,0,0,619608.36,13700,10558,22556,3,10000,10000,0.0689729175242384,3002229
VILLAGE OF WESTCHESTER,21674,35730,1.6485189628125865,9.71825048804295,8.81241287450323,556371125.1991866,613561125.1991866,21442,64384,27093,81352,222052947,666758437,666758437,8196,94845027,57190000,54069539.59,411018.32,9247910.493424974,63725663.01,54480557.910000004,0,0,0,0.004541381386302465,54480557.910000004,65081,22109,66386,7330,94845027,57190000,0.9058376135397186,107285
VILLAGE OF WESTERN SPRINGS,47328,71807,1.517220250169033,8.038751041855408,7.665922516262748,782365971.810018,820415971.810018,45694,137205,51097,153429,282003960,846773216,846773216,5519,54141851,38050000,62892452.71,704275.72,4348655.740010762,67945382.73,63596728.43,0,0,0,0.006585117527642326,63596728.43,142112,53332,160141,5014,54141851,38050000,0.37282852559265933,215615
VILLAGE OF WHEELING,16268,46558,2.8619375461027783,12.1618782970503,11.291935076689517,1066149491.4107815,1148286832.4107814,16640,49965,32181,96621,433129158,1300426859,1300557000,13459,121050458,82137341,129663803.61,14680557.86,14669303.676962022,159013665.14,144344361.47,0,0,0,0.07448457521679998,144344361.47,48846,17131,51428,11964,121050458,82137341,0.8699432203607831,139801
VILLAGE OF WILLOW SPRINGS,22110,31534,1.426232473993668,11.126875772558714,9.95175219524304,164053430.92818895,183425200.92818895,20526,61633,23950,71915,77503025,232718339,232718339,3236,29984121,19371770,18254021.46,2172679.69,3145487.696350151,23572188.42,20426701.15,0,0,0,0.10883686366537237,20426701.150000002,66390,23832,71559,2778,29974121,19361770,1.1751235773156736,94687
VILLAGE OF WILMETTE,50245,88134,1.7540849835804557,8.616213371135906,8.290631493844536,1919728120.6395392,1995117876.6395392,49374.5,148256.5,61736,185373,675016197,2026871158,2026871158,10934,108836039,75389756,165407871.02,0,9372470.165242927,174773335.14,165407871.02,0,0,0,0,165407871.02,150871,57725,173331,10298,108836039,75389756,0.3255818772913699,264640
VILLAGE OF WINNETKA,82932,148857,1.7949283750542613,8.663414863209473,8.469591146826234,1362470911.6870327,1393650595.6870327,80438.5,241532.5,95711,287392,468793613,1407646595,1407646595,4898,42125737,31179684,118036507.47,0,3645702.6170851802,121682209.83,118036507.47,0,0,0,0,118036507.47,249018,98302,295172,4478,42125737,31179684,0.19382371638323903,446974
VILLAGE OF WORTH,15896,25446,1.6007800704579769,13.252724022878933,11.518213043128405,173131445.35711578,199203058.35711578,15752,47299,16898,50739,70903537,212902086,212902086,4196,39133347,26071613,22944632.65,81368.5,5194958.064988759,28220959.36,23026001.15,0,0,0,0.0019571599830309817,23026001.15,47731,14606,43856,3680,39079397,26071613,1.734510979750528,76406
NA,19909,38501,1.9338490130091919,9.883405977616174,9.028491563977346,2356967533.333949,2580150498.333949,17364.5,52122.5,24816,74480,962297070,2888180969,2889489568,38778,349182128,223182965,232948670.08,0,33465704.64812963,266400762.61,232948670.08,0,0,0,0,232948670.08,59778,24180,72565,32192,349106577,223162965,0.8549144136388289,115607
