clean_name,taxrate_change,tax_rate_current,taxrate_new,tax_code,agency_name,pins_in_class,MuniLevy,nonTIF_EAV_post_exemps,TIF_increment_EAV,Exempt_EAV,Total_EAV,nonTIF_EAV_pre_exemps
Markham,0.12105353190334259,0.26899999999999996,0.14794646809665737,37054,CITY OF MARKHAM,9,26538.19,98654.98141263942,0,80721.99420168814,179376.97561432756,179376.97561432756
Markham,0.07053846642128184,0.26359,0.19305153357871815,13043,CITY OF MARKHAM,60,258494.94,980670.5110209037,0,358323.9802846876,1338994.4913055913,1338994.4913055913
Harvey,0.10660335030033743,0.26163000000000003,0.1550266496996626,37047,CITY OF HARVEY,441,702712.14,2685900.470129572,0,1846946.8910266145,4532847.361156186,4532847.361156186
Harvey,0,0.26163000000000003,0.26163000000000003,37258,CITY OF HARVEY,1,1912.12,7308.4890876428535,2014.4861063333715,0,9322.975193976225,7308.4890876428535
Harvey,0.1401756316784406,0.26163000000000003,0.12145436832155941,37322,CITY OF HARVEY,9,9299.64,35545.00630661621,0,41023.99757950599,76569.0038861222,76569.0038861222
Country Club Hills,0.07285210983878482,0.25955,0.18669789016121519,32043,CITY OF COUNTRY CLUB HILLS,1,6651.48,25626.969755345788,0,9999.99953850317,35626.96929384896,35626.96929384896
Calumet City,0.08857128679202667,0.25822,0.16964871320797334,37029,CITY OF CALUMET CITY,56,211788.94,820187.9792425064,0,428208.9935088678,1248396.9727513741,1248396.9727513744
Calumet City,0.12872804559392906,0.25822,0.12949195440607095,37163,CITY OF CALUMET CITY,9,25455.73,98581.55836108745,110404.53876539385,97999.99851443814,306986.0956409194,196581.55687552557
Harvey,0.05863018421066146,0.25622,0.19758981578933854,13099,CITY OF HARVEY,1,8634.88,33701.038170322376,0,9999.999585622107,43701.03775594448,43701.03775594448
Burnham,0.08237924766386878,0.25035,0.16797075233613123,37025,VILLAGE OF BURNHAM,1,5104.62,20389.934092270818,0,9999.999446783613,30389.933539054433,30389.93353905443
Hazelcrest,0.11572611680360637,0.25035,0.13462388319639365,13049,VILLAGE OF HAZELCREST,11,39607.48,158208.42820051927,0,135999.9920262197,294208.42022673896,294208.42022673896
Calumet City,0.1113793546228147,0.24831,0.1369306453771853,37026,CITY OF CALUMET CITY,5,20148.1,81140.9125689662,0,65999.99912761283,147140.91169657902,147140.91169657902
Calumet City,0.08865000796336003,0.24603000000000005,0.15737999203664002,37030,CITY OF CALUMET CITY,113,411812.52,1673830.508474576,0,942845.9487470314,2616676.4572216077,2616676.4572216077
Country Club Hills,0.05567509880226282,0.23620999999999998,0.18053490119773716,13062,CITY OF COUNTRY CLUB HILLS,2,15318.93,64853.01215020534,0,19999.99908678206,84853.0112369874,84853.0112369874
Hazelcrest,0.06680337620727395,0.23564,0.16883662379272604,13050,VILLAGE OF HAZELCREST,21,115638.87,490743.8041079613,0,194171.988462999,684915.7925709602,684915.7925709602
Burnham,0.1037481073492153,0.23507999999999998,0.13133189265078468,37024,VILLAGE OF BURNHAM,32,83441.79000000001,354950.6125574273,0,280399.9357048607,635350.548262288,635350.5482622881
Hazelcrest,0.06895666796108654,0.23366,0.16470333203891346,13022,VILLAGE OF HAZELCREST,1,5580.98,23885.046648977142,0,9999.99945732395,33885.046106301095,33885.04610630109
Dolton,0.04074278405387402,0.23009000000000004,0.18934721594612602,37039,VILLAGE OF DOLTON,7,72713.47,316021.86101090873,0,67999.99870678993,384021.8597176987,384021.85971769865
Dolton,0.08100242371950392,0.22937000000000002,0.1483675762804961,37034,VILLAGE OF DOLTON,27,105526.35,460070.4102541745,0,251178.99238146155,711249.4026356359,711249.402635636
Harvey,0.08313914316838039,0.22882999999999998,0.1456908568316196,13038,CITY OF HARVEY,7,41215.94,180115.98129615874,0,102783.99538278148,282899.97667894023,282899.97667894023
Chicago Heights,0.0588521367116043,0.21996,0.1611078632883957,12075,CITY OF CHICAGO HEIGHTS,1,6021.41,27375.022731405712,0,9999.999673436223,37375.02240484193,37375.02240484193
East Hazelcrest,0.03855699622508038,0.21274,0.17418300377491963,37066,VILLAGE OF EAST HAZELCREST,11,57663.76,271052.740434333,0,59999.99577013317,331052.73620446614,331052.73620446614
Lansing,0.06259330124143428,0.21053000000000002,0.14793669875856574,37145,VILLAGE OF LANSING,3,4975.79,23634.58889469434,28763.549137890088,9999.999694581547,62398.13772716598,33634.58858927589
Lansing,0.06773476978716864,0.21053,0.14279523021283136,37072,VILLAGE OF LANSING,175,699248.26,3321371.1110055577,0,1575488.951881659,4896860.062887217,4896860.062887217
Lansing,0.10492107367290092,0.21053,0.10560892632709908,37128,VILLAGE OF LANSING,5,10171.69,48314.681993065125,60203.43893981855,47999.998533991435,156518.1194668751,96314.68052705657
Lansing,0.09404619369161658,0.21053,0.11648380630838341,37262,VILLAGE OF LANSING,1,3259.48,15482.259060466442,4212.8912744026975,12499.999618226935,32195.149953096075,27982.258678693375
Lansing,0.15665532928830336,0.21053,0.053874670711696625,37288,VILLAGE OF LANSING,1,1776.25,8437.039851802594,0,24532.99925071691,32970.039102519506,32970.039102519506
Lansing,0.12410911206797522,0.21053,0.08642088793202478,37290,VILLAGE OF LANSING,1,2638.77,12533.93815608227,0,17999.999450246785,30533.937606329055,30533.937606329055
Calumet Park,0.0793994981251189,0.20626,0.1268605018748811,14003,VILLAGE OF CALUMET PARK,123,392454.27,1902716.3289052653,0,1190872.8040390972,3093589.1329443622,3093589.1329443622
Calumet Park,0,0.20626,0.20626,14021,VILLAGE OF CALUMET PARK,1,5140.37,24921.7977310191,17779.259187433338,0,42701.05691845244,24921.7977310191
Calumet Park,0.10337306307364791,0.20626,0.10288693692635209,14030,VILLAGE OF CALUMET PARK,1,2052.9,9952.971977116262,0,9999.9983544769,19952.970331593162,19952.970331593162
Maywood,0.062292764562843744,0.20534,0.14304723543715625,31025,VILLAGE OF MAYWOOD,5,38377.42,186896.9513976819,0,81387.99575783325,268284.94715551514,268284.94715551514
Chicago Heights,0.04972664623691764,0.20465,0.15492335376308236,12157,CITY OF CHICAGO HEIGHTS,1,6375.87,31154.99633520645,0,9999.999636223038,41154.99597142949,41154.99597142949
Thornton,0.08656462877034121,0.20328,0.11671537122965878,37067,VILLAGE OF THORNTON,45,122841.82,604298.6029122394,0,448191.90202979045,1052490.5049420297,1052490.5049420297
Thornton,0,0.20328,0.20328,37296,VILLAGE OF THORNTON,4,14750.93,72564.590712318,14276.515151515152,0,86841.10586383315,72564.590712318
Chicago Heights,0.07047218169442679,0.20213,0.13165781830557322,12198,CITY OF CHICAGO HEIGHTS,5,8307.73,41100.925147182505,2602.8298619700195,21999.99895227391,65703.75396142644,63100.92409945642
Chicago Heights,0.09345728839689181,0.20213,0.1086727116031082,12244,CITY OF CHICAGO HEIGHTS,1,2350.38,11628.061148765646,0,9999.999523760867,21628.060672526513,21628.060672526513
Chicago Heights,0.0676428817490079,0.20212999999999998,0.13448711825099208,12028,CITY OF CHICAGO HEIGHTS,426,1233919.55,6104583.9311334295,0,3070417.8537746794,9175001.784908108,9175001.784908108
South Holland,0.0738822083398065,0.20195,0.1280677916601935,37064,VILLAGE OF SOUTH HOLLAND,2,12654.36,62660.856647685076,0,36148.99894486103,98809.85559254611,98809.85559254611
Blue Island,0,0.20145,0.20145,37043,CITY OF BLUE ISLAND,2,10531.19,52276.94216927278,0,0,52276.94216927278,52276.94216927278
Blue Island,0.0944791490157228,0.20145,0.1069708509842772,37150,CITY OF BLUE ISLAND,1,2280.85,11322.16430876148,9674.857284686026,9999.999430360722,30997.02102380823,21322.163739122203
Chicago Heights,0.15400276370878568,0.20082999999999995,0.04682723629121428,12054,CITY OF CHICAGO HEIGHTS,2,3373.34,16796.99248120301,0,55240.997952857804,72037.99043406082,72037.99043406082
South Holland,0.05737903745941114,0.19743000000000002,0.14005096254058888,37059,VILLAGE OF SOUTH HOLLAND,25,108203.58,548060.4771311351,0,224540.9961978395,772601.4733289746,772601.4733289746
South Holland,0.06915830192578754,0.19743,0.12827169807421246,37210,VILLAGE OF SOUTH HOLLAND,5,14647.37,74190.19399280759,32129.058400445727,39999.99932267862,146319.25171593192,114190.1933154862
South Holland,0,0.19743,0.19743,37283,VILLAGE OF SOUTH HOLLAND,1,2784.16,14102.010839284809,7628.982424150332,0,21730.993263435143,14102.010839284809
Chicago Heights,0.07245981650999551,0.19707999999999998,0.12462018349000446,12027,CITY OF CHICAGO HEIGHTS,4,15591.63,79113.2027603004,0,45999.997712964614,125113.200473265,125113.20047326501
Richton Park,0.041888760775601525,0.18882000000000002,0.1469312392243985,32016,VILLAGE OF RICHTON PARK,5,26492.6,140306.111640716,0,39999.99712040032,180306.10876111634,180306.10876111634
Richton Park,0.09490356350520068,0.18882000000000002,0.09391643649479933,32176,VILLAGE OF RICHTON PARK,1,1868.56,9895.985594746318,0,9999.999280100083,19895.9848748464,19895.9848748464
Richton Park,0,0.18882000000000002,0.18882000000000002,32192,VILLAGE OF RICHTON PARK,1,8153.63,43182.02520919394,0,0,43182.02520919394,43182.02520919394
South Holland,0.059577692002488664,0.18875,0.12917230799751134,37080,VILLAGE OF SOUTH HOLLAND,20,89691.2,475185.16556291387,0,219167.99255924343,694353.1581221573,694353.1581221573
South Holland,0.0950297597471175,0.18875,0.0937202402528825,37272,VILLAGE OF SOUTH HOLLAND,1,1861.49,9862.19867549669,2252.7682119205297,9999.999660499865,22114.966547917084,19862.198335996552
Posen,0.12399905674755822,0.18864999999999998,0.06465094325244176,37044,VILLAGE OF POSEN,3,4917.94,26069.122714020672,0,49999.99171168814,76069.11442570882,76069.11442570882
Lansing,0.05104906356029315,0.18846,0.13741093643970684,12030,VILLAGE OF LANSING,7,39568.29,209955.90576249603,0,77999.99516655244,287955.9009290485,287955.9009290485
Maywood,0.11553783685715271,0.18826000000000004,0.07272216314284732,31196,VILLAGE OF MAYWOOD,10,25557.39,135755.81642409432,0,215682.98703665956,351438.8034607539,351438.8034607539
Maywood,0.0512783880146791,0.18826,0.1369816119853209,31021,VILLAGE OF MAYWOOD,780,4495749.75,23880536.22649527,0,8939560.462699551,32820096.68919482,32820096.68919482
Maywood,0.05941299173827297,0.18826,0.12884700826172704,31084,VILLAGE OF MAYWOOD,300,1352935.14,7186524.69988314,0,3313797.8008285696,10500322.50071171,10500322.50071171
Maywood,0.06808497452032776,0.18826,0.12017502547967225,31103,VILLAGE OF MAYWOOD,2,13020.23,69160.89450759588,0,39182.997644957795,108343.89215255367,108343.89215255367
Maywood,0.08140181083071155,0.18826,0.10685818916928846,31132,VILLAGE OF MAYWOOD,37,85535.9,454349.83533411234,487862.5836608945,346111.97919739765,1288324.3981924045,800461.81453151
Maywood,0.08131649421697978,0.18826,0.10694350578302023,31133,VILLAGE OF MAYWOOD,31,64815.7,344288.2184213322,472687.2941676405,261785.98426569995,1078761.4968546727,606074.2026870322
Chicago Heights,0,0.18793,0.18793,12119,CITY OF CHICAGO HEIGHTS,1,4425.18,23546.958974086097,0,0,23546.958974086097,23546.958974086097
Olympia Fields,0.04322147494147596,0.18768999999999997,0.144468525058524,32009,VILLAGE OF OLYMPIA FIELDS,16,103170.11,549683.5739783687,0,164451.97878792376,714135.5527662924,714135.5527662924
Matteson,0.054362891047770784,0.18315,0.12878710895222922,32015,VILLAGE OF MATTESON,72,305550.25,1668306.0333060334,0,704215.9720861152,2372522.0053921486,2372522.0053921486
South Holland,0.06688750237846185,0.18259,0.11570249762153816,37057,VILLAGE OF SOUTH HOLLAND,8,18319.04,100328.82414151926,0,57999.996554481775,158328.82069600103,158328.82069600103
Matteson,0.03998955892716599,0.18082,0.14083044107283402,32198,VILLAGE OF MATTESON,2,12735.8,70433.58035615529,13484.293772812738,19999.99283284976,103917.86696181777,90433.57318900505
Matteson,0.0507868744292676,0.17998,0.1291931255707324,32029,VILLAGE OF MATTESON,1,8241.09,45788.920991221246,0,17999.999383555634,63788.920374776884,63788.92037477688
Flossmoor,0.030854785619837066,0.17945,0.14859521438016293,32012,VILLAGE OF FLOSSMOOR,88,753596.26,4199477.626079688,0,871992.9669907921,5071470.59307048,5071470.59307048
Flossmoor,0.03580263489565799,0.17896,0.14315736510434202,12020,VILLAGE OF FLOSSMOOR,93,709415.95,3964103.4309342867,0,991393.9651160898,4955497.396050377,4955497.396050377
Glenwood,0.09361960116975218,0.17747000000000002,0.08385039883024784,12223,VILLAGE OF GLENWOOD,2,3179.02,17912.99938017693,10079.055615033527,19999.998582251526,47992.053577461986,37912.99796242846
Dixmoor,0.08889255031309046,0.17747,0.08857744968690953,37045,VILLAGE OF DIXMOOR,9,13870.87,78158.95644334254,0,78436.99488545163,156595.95132879415,156595.95132879418
Glenwood,0.07116062000737451,0.17747,0.10630937999262548,12016,VILLAGE OF GLENWOOD,16,49463.21,278713.07826674933,0,186562.98677502957,465276.0650417789,465276.0650417789
Glenwood,0,0.17747,0.17747,12173,VILLAGE OF GLENWOOD,2,6959.08,39212.71200766327,17499.182960500366,0,56711.89496816364,39212.71200766327
Bellwood,0.046112559375877216,0.17733000000000002,0.1312174406241228,31036,VILLAGE OF BELLWOOD,64,421833.5,2378805.0527265547,0,835961.9629505586,3214767.0156771136,3214767.015677113
Richton Park,0,0.17729,0.17729,32149,VILLAGE OF RICHTON PARK,1,12369.7,69770.99667211913,0,0,69770.99667211913,69770.99667211913
Sauk Village,0.029619293761365517,0.17315999999999998,0.14354070623863446,12064,VILLAGE OF SAUK VILLAGE,2,8391.66,48461.88496188496,0,9999.998220220741,58461.8831821057,58461.8831821057
Bellwood,0.04967874578173827,0.17212000000000002,0.12244125421826176,31035,VILLAGE OF BELLWOOD,315,1816751.27,10555143.33023472,0,4282594.829172644,14837738.159407364,14837738.159407362
Bellwood,0.09283250196536935,0.17212000000000002,0.07928749803463067,31227,VILLAGE OF BELLWOOD,7,26579.77,154425.80757610968,8169.126191029514,180806.99278783498,343401.9265549742,335232.80036394467
Bellwood,0.06362380025371843,0.17212,0.10849619974628157,31189,VILLAGE OF BELLWOOD,52,254437.85,1478258.4824541018,140348.07111317685,866872.9654215205,2485479.5189887993,2345131.447875622
Bellwood,0.062252512057226164,0.17212,0.10986748794277383,31190,VILLAGE OF BELLWOOD,8,34383.02,199761.9102951429,0,113187.99548507227,312949.90578021517,312949.90578021517
Bellwood,0.04463680211654819,0.17212,0.1274831978834518,31202,VILLAGE OF BELLWOOD,39,153902.8,894159.8884499186,572235.1847548222,313079.9875116305,1779475.0607163713,1207239.875961549
Bellwood,0.06081078942560922,0.17212,0.11130921057439078,31203,VILLAGE OF BELLWOOD,5,18903.1,109825.12200790146,92865.9656053916,59999.99760667507,262691.0852199681,169825.1196145765
Bellwood,0.04019435126631121,0.17212,0.13192564873368878,31204,VILLAGE OF BELLWOOD,8,33895.87,196931.61747617944,103120.32303044388,59999.99760667507,360051.9381132984,256931.61508285452
Bellwood,0.09787025950275868,0.17212,0.07424974049724131,31226,VILLAGE OF BELLWOOD,1,4199.05,24396.060887752734,0,32156.9987172975,56553.059605050235,56553.059605050235
Bellwood,0.042224964157135614,0.17211999999999997,0.12989503584286435,31185,VILLAGE OF BELLWOOD,24,101131.85,587565.9423657914,377887.98512665584,190999.99238124894,1156453.9198736963,778565.9347470404
Stone Park,0.04785589997133767,0.16751000000000002,0.11965410002866235,31061,VILLAGE OF STONE PARK,4,20941.26,125014.98418004892,0,49999.9964598427,175014.98063989164,175014.98063989164
Homewood,0.039112444488545645,0.1666,0.12748755551145435,37069,VILLAGE OF HOMEWOOD,164,974967.75,5852147.358943578,0,1795404.9538184488,7647552.312762026,7647552.312762027
Homewood,0,0.1666,0.1666,37268,VILLAGE OF HOMEWOOD,1,4884.67,29319.747899159665,3854.2617046818727,0,33174.009603841536,29319.747899159665
Homewood,0.020951877233648775,0.1666,0.14564812276635122,37317,VILLAGE OF HOMEWOOD,2,11581.29,69515.5462184874,9066.266506602642,9999.999742779199,88581.81246786924,79515.5459612666
Oak Forest,0.02733126398522734,0.16434000000000001,0.13700873601477268,13070,CITY OF OAK FOREST,1,8238.19,50128.94000243398,0,9999.999506297307,60128.93950873128,60128.93950873129
Homewood,0.03563227048700876,0.16344,0.12780772951299124,32011,VILLAGE OF HOMEWOOD,54,295462.59,1807774.0455212924,0,503999.9850937119,2311774.0306150042,2311774.0306150042
Homewood,0.043779755381714094,0.16295,0.11917024461828592,12018,VILLAGE OF HOMEWOOD,9,50565.43,310312.5498619208,0,113999.99696523453,424312.54682715534,424312.54682715534
Stone Park,0.03980412733093652,0.1623,0.12249587266906348,31019,VILLAGE OF STONE PARK,32,149897.78,923584.5964263709,0,300111.9799061711,1223696.576332542,1223696.576332542
Stone Park,0.1118264925453474,0.1623,0.050473507454652594,31143,VILLAGE OF STONE PARK,1,1611.61,9929.821318545903,6628.157732593962,21999.998527002466,38557.97757814233,31929.81984554837
Homewood,0.030464744813754413,0.1607,0.1302352551862456,13052,VILLAGE OF HOMEWOOD,19,98387.16,612241.19477286865,0,143215.99582655414,755457.1905994228,755457.1905994228
Homewood,0.039882856442709294,0.16067,0.12078714355729071,12019,VILLAGE OF HOMEWOOD,110,567858.45,3534315.366901101,0,1166999.9658077825,4701315.332708884,4701315.332708884
Robbins,0.042851616282148994,0.16049,0.117638383717851,39042,VILLAGE OF ROBBINS,13,28655.65,178551.0000623092,0,65039.98694690502,243590.9870092142,243590.98700921424
Blue Island,0.058243892600868805,0.15932999999999997,0.10108610739913117,14001,CITY OF BLUE ISLAND,30,84978.61,533349.7144291722,0,307305.96206718474,840655.676496357,840655.676496357
Robbins,0.07349201335541065,0.1588,0.08530798664458934,13053,VILLAGE OF ROBBINS,1,3317.97,20894.017632241812,0,17999.996052823182,38894.013685064994,38894.013685064994
Homewood,0.02368636160636542,0.15842,0.13473363839363459,13051,VILLAGE OF HOMEWOOD,21,113542.44,716717.8386567353,0,125999.99598139054,842717.8346381257,842717.8346381258
Hillside,0.03258954505409842,0.15802,0.12543045494590158,31031,VILLAGE OF HILLSIDE,9,56886.72,359996.9624098216,0,93534.99698979448,453531.95939961605,453531.95939961605
Lynwood,0.09646981916506753,0.1575,0.06103018083493248,12040,VILLAGE OF LYNWOOD,1,2192.08,13917.968253968253,0,21999.998398119664,35917.96665208792,35917.96665208792
Blue Island,0.04965444944700238,0.15658,0.10692555055299761,14002,CITY OF BLUE ISLAND,188,600998.01,3838280.8149188915,0,1782433.8495533348,5620714.664472226,5620714.664472226
Blue Island,0,0.15658,0.15658,14027,CITY OF BLUE ISLAND,1,3579.42,22860.007663814027,1672.0526248563035,0,24532.060288670327,22860.007663814027
Blue Island,0.062374975907096356,0.15658,0.09420502409290364,14043,CITY OF BLUE ISLAND,1,2364.83,15103.014433516413,0,9999.999155948184,25103.013589464597,25103.013589464597
Hillside,0.02879448284682873,0.15281,0.12401551715317127,31033,VILLAGE OF HILLSIDE,6,42507.31,278170.9966625221,0,64586.998270477474,342757.99493299954,342757.99493299954
Hillside,0.03394925488620029,0.15187,0.11792074511379971,31030,VILLAGE OF HILLSIDE,78,526012.33,3463569.697767827,0,997157.9671767114,4460727.664944539,4460727.664944539
Oak Forest,0.035510546737315365,0.15131,0.11579945326268463,13056,CITY OF OAK FOREST,34,178794.69,1181644.9011962197,0,362357.9845031986,1544002.8856994184,1544002.8856994184
Oak Forest,0.024871637378876515,0.15131,0.12643836262112348,13195,CITY OF OAK FOREST,2,7692.050000000001,50836.36243473664,25181.746084198003,9999.999572334504,86018.10809126915,60836.36200707115
Oak Forest,0.08225058838234188,0.15131,0.06905941161765812,13198,CITY OF OAK FOREST,2,3557.21,23509.417751635716,14580.66221664133,27999.99880253661,66090.07877081366,51509.41655417233
Midlothian,0.03508894185949245,0.15042999999999998,0.11534105814050753,13013,VILLAGE OF MIDLOTHIAN,10,55037.52,365867.97846174304,0,111303.9921036192,477171.97056536225,477171.97056536225
Midlothian,0.041948305537358746,0.15042999999999998,0.10848169446264123,13036,VILLAGE OF MIDLOTHIAN,87,383555.16,2549725.187794988,0,985941.9300530665,3535667.1178480545,3535667.1178480545
Midlothian,0.047258577816695124,0.15042999999999998,0.10317142218330486,13231,VILLAGE OF MIDLOTHIAN,7,26164.89,173933.98923087152,21089.9421657914,79671.99434772828,274695.9257443912,253605.98357859981
Midlothian,0.03829232180037048,0.15009,0.11179767819962952,13044,VILLAGE OF MIDLOTHIAN,12,59595.26,397063.4952361916,0,135999.99015734927,533063.4853935408,533063.4853935409
Midlothian,0.020202433841566142,0.15009,0.12988756615843386,13068,VILLAGE OF MIDLOTHIAN,3,19299.48,128586.04837097741,0,19999.99855255136,148586.04692352877,148586.04692352877
Blue Island,0.039899467602251826,0.14997,0.11007053239774817,39044,CITY OF BLUE ISLAND,374,1604513,10698893.111955725,0,3878241.7946146484,14577134.906570373,14577134.906570373
Blue Island,0.06764658186759352,0.14997,0.08232341813240647,39186,CITY OF BLUE ISLAND,2,3650.16,24339.267853570713,18963.59271854371,19999.99894083272,63302.85951294715,44339.26679440343
Berkeley,0.03269911218166911,0.14943,0.1167308878183309,31028,VILLAGE OF BERKELEY,53,347480.16,2325370.809074483,0,651391.95264447,2976762.761718953,2976762.761718953
Blue Island,0.016354992831414727,0.14853,0.13217500716858527,39026,CITY OF BLUE ISLAND,7,48014.58,323265.19894970715,0,39999.99791734388,363265.19686705107,363265.196867051
Robbins,0.04233254166614099,0.14739000000000002,0.10505745833385903,13029,VILLAGE OF ROBBINS,31,78199.1,530559.06099464,0,213786.94965691576,744346.0106515557,744346.0106515557
Robbins,0.06745438559688925,0.14715,0.07969561440311075,13030,VILLAGE OF ROBBINS,7,12557.64,85339.04179408767,0,72230.98378450726,157570.0255785949,157570.02557859494
Berwyn,0.02956204700569777,0.14681,0.11724795299430223,11002,CITY OF BERWYN,859,6761240.51,46054359.44417955,0,11611811.583374068,57666171.02755362,57666171.02755362
Berwyn,0.08217381045640282,0.14681,0.06463618954359718,11009,CITY OF BERWYN,2,6360.74,43326.34016756352,42712.62175601117,55081.998023685745,141120.95994726045,98408.33819124926
Berkeley,0.03719980634088481,0.14585,0.1086501936591152,31026,VILLAGE OF BERKELEY,59,371910.83,2549954.2680836474,0,873056.9339658632,3423011.2020495106,3423011.2020495106
Bedford Park,0.029101816408985556,0.14529999999999998,0.11619818359101443,21021,VILLAGE OF BEDFORD PARK,22,123457.79,849675.0860289057,0,212800.9887653215,1062476.0747942273,1062476.0747942273
Bridgeview,0.02348272894715968,0.14517,0.12168727105284032,21026,VILLAGE OF BRIDGEVIEW,14,121192.87,834834.125508025,0,161102.99224831254,995937.1177563376,995937.1177563376
South Chicago Heights,0.04485889941457005,0.14508,0.10022110058542993,12024,VILLAGE OF SOUTH CHICAGO HEIGHTS,23,58459.93,402949.61400606565,0,180359.9850555401,583309.5990616058,583309.5990616058
South Chicago Heights,0,0.14508,0.14508,12235,VILLAGE OF SOUTH CHICAGO HEIGHTS,1,3487.31,24037.151916184175,0,0,24037.151916184175,24037.151916184175
Cicero,0.03769773161362673,0.14376,0.10606226838637327,15001,TOWN CICERO,1049,5353525.54,37239326.23817474,0,13235980.592881247,50475306.831055984,50475306.831055984
Cicero,0.037415728415943816,0.14376,0.10634427158405618,15002,TOWN CICERO,82,351399.75,2444349.958263773,0,860009.9735473931,3304359.931811166,3304359.931811166
Cicero,0.09120724940440031,0.14376,0.05255275059559968,15004,TOWN CICERO,30,28460.06,197969.25431274346,491893.78130217025,343582.9894319066,1033446.0250468203,541552.24374465
Cicero,0.022411395246622473,0.14376,0.12134860475337753,15006,TOWN CICERO,2,7784.02,54145.93767390095,13572.69059543684,9999.999692415126,77718.62796175292,64145.93736631608
Cicero,0.04725091777591073,0.14376,0.09650908222408927,15007,TOWN CICERO,3,8808.81,61274.41569282136,13072.551474680022,29999.99907724538,104346.96624474677,91274.41477006674
Tinley Park,0.026612850921353307,0.1404,0.11378714907864669,13039,VILLAGE OF TINLEY PARK,79,538411.58,3834840.313390313,0,896902.9841578488,4731743.297548162,4731743.297548162
Tinley Park,0.024386877143593846,0.1404,0.11601312285640615,13186,VILLAGE OF TINLEY PARK,10,53432.81,380575.5698005698,151194.72934472936,79999.9985869463,611770.2977322455,460575.5683875161
Tinley Park,0.0279413872365549,0.1404,0.1124586127634451,13208,VILLAGE OF TINLEY PARK,3,20342.97,144892.94871794872,2378.846153846154,35999.99936412583,183271.79423592074,180892.94808207455
Summit,0.03717581144225496,0.13983,0.10265418855774505,21038,VILLAGE OF SUMMIT,84,391289.21,2798320.88965172,0,1013400.9260625211,3811721.815714241,3811721.815714241
Mc Cook,0.02094075510754867,0.13909000000000002,0.11814924489245135,21024,VILLAGE OF MC COOK,3,21973.16,157977.9998562082,0,27999.99788725334,185977.99774346154,185977.9977434615
North Lake,0.03367282344277195,0.13849,0.10481717655722805,20045,CITY OF NORTH LAKE,100,531838.55,3840266.806267601,0,1233696.9033885826,5073963.709656184,5073963.709656184
Alsip,0.05409496862337257,0.13785,0.08375503137662743,39035,VILLAGE OF ALSIP,3,13385.64,97102.93797606093,0,62715.99803278378,159818.9360088447,159818.9360088447
