muni_mc_year,muni_mc_clean_name,muni_mc_major_class_code,muni_mc_mean_fmv_all,muni_mc_median_fmv_all,muni_mc_min_fmv_all,muni_mc_quant25_all_fmv,muni_mc_quant50_all_fmv,muni_mc_quant75_all_fmv,muni_mc_max_fmv_all,muni_mc_PC_major_class,muni_mc_parcels,muni_mc_PC_residential,muni_mc_PC_industrial,muni_mc_PC_commercial,muni_mc_PC_inTIF,muni_mc_PC_withincents,muni_mc_PC_incents_inTIFs,muni_mc_PC_claimed_exe,muni_mc_fmv_incentive,muni_mc_fmv_taxed,muni_mc_fmv_inTIF,muni_mc_fmv_exempt,muni_mc_fmv_abated,muni_mc_fmv_tif_increment,muni_mc_fmv_abates_inTIF,muni_mc_fmv_incents_inTIF,muni_mc_fmv_untaxable_value,muni_mc_fmv_residential,muni_mc_fmv_c2_res,muni_mc_fmv_industrial,muni_mc_fmv_indust_incent,muni_mc_fmv_commercial,muni_mc_fmv_commerc_incent,muni_mc_fmv,muni_mc_zero_bill,muni_mc_levy,muni_mc_current_rate_avg,muni_mc_eav_taxed,muni_mc_eav_c2_taxed,muni_mc_eav_res_taxed,muni_mc_eav_taxed_commerc,muni_mc_eav_taxed_indust,muni_mc_min_TC_rate,muni_mc_max_TC_rate,muni_mc_avg_C2_bill_noexe,muni_mc_avg_C2_bill_withexe,muni_mc_final_tax_to_dist,muni_mc_final_tax_to_tif,muni_mc_zero_bills,muni_mc_exempt_allexemptions_eav,muni_mc_exempt_GHE_eav,muni_mc_exempt_SR_eav,muni_mc_exempt_FR_eav,muni_mc_exempt_LTHO_eav,muni_mc_exempt_DIS_eav,muni_mc_exempt_VET_eav,muni_mc_has_HO_exemp,muni_mc_has_SR_exemp,muni_mc_has_FR_exemp,muni_mc_has_LTHO_exemp,muni_mc_has_DI_exemp,muni_mc_has_VR_exemp,muni_mc_has_DV_exemp,muni_mc_has_AB_exemp,muni_mc_total_billed,muni_mc_range_TC_rate,muni_mc_effective_rate,muni_mc_pct_eav_taxed,muni_mc_pct_fmv_taxed,muni_mc_pct_fmv_w_incentclass,muni_mc_pct_fmv_inTIF,muni_mc_pct_fmv_in_tif_increment,muni_mc_pct_fmv_untaxable_value,muni_mc_pct_fmv_incents_inTIFs
2006,Arlington Heights,1,122721.889103804,55315.90909090909,4.545454545454546,17873,55316,138531,859964,282,275,0,0,0,12,0,0,0,0,34120699,1058932,0,0,486180,0,0,106960,0,0,0,0,0,0,34607572.72727273,21,1585306.2197931842,0.078,20324745.219268173,0,0,0,0,0.068,0.083,NA,NA,1585306.2197931842,19698.95020681567,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605005.17,0.015,4.581,0.078,0.986,0,0.031,0.014,0.003,0
2006,Arlington Heights,2,184130.8228782288,180537.5,0,131306,180538,229566,16849989,27100,19605,27100,0,0,73,0,0,22134,0,4091774740,13582512,888244028,0,9473149,0,0,143634748,4989945300,4989945300,0,0,0,0,4989945300,45,140942150.22363845,0.079,1772622285.7018316,1772622285.7018316,1772622285.7018316,0,0,0.068,0.083,4389.866,5397.582,140942150.22363845,328004.8763615639,45,384801525,303076285,22154126,59502638,0,0,68476,22132,5598,1827,0,0,0,2,0,141270155.1,0.015,2.825,0.08,0.82,0,0.003,0.002,0.029,0
2006,Arlington Heights,3,2515235.95505618,936504.1666666667,17933.333333333336,453308,936504,2194454,4599871,89,89,89,0,0,15,0,0,0,0,201324954,24581608,0,0,22197400,0,0,5327376,223856000,0,0,0,0,0,223856000,0,9950602.999890413,0.079,130825787.02780756,0,130825787.02780756,0,0,0.068,0.083,NA,NA,9950602.999890413,1163328.1201095877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11113931.12,0.015,4.445,0.076,0.899,0,0.11,0.099,0.024,0
2006,Arlington Heights,4,751156.4285714286,253680,1400,20985,253680,1266852,963657,14,14,0,1,13,2,0,0,0,0,10305636,455733,0,0,210554,0,0,63166,0,0,1601263,0,8914927,0,10516190,0,642217.8707063373,0.077,8371062.410579854,0,0,7070388.450231692,1300673.9603481623,0.068,0.083,NA,NA,642217.8707063373,11594.029293662728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653811.9,0.015,6.107,0.077,0.98,0,0.043,0.02,0.006,0
2006,Arlington Heights,5A,898173.9522417154,301859.2105263158,1065.7894736842104,113172,301859,739327,11685838,864,827,0,0,864,45,0,0,1,0,747496825,63152674,935769,0,27560714,0,0,10828664,0,0,0,0,776022295,0,776022294.736842,0,59523075.71323528,0.079,769090512.8118764,0,0,769090512.8118764,0,0.068,0.083,NA,NA,59523075.71323528,2229862.5467647146,0,962802,394406,231000,337396,0,0,0,1,1,1,0,0,0,0,0,61752938.26,0.015,7.67,0.077,0.963,0,0.081,0.036,0.014,0
2006,Arlington Heights,5B,801393.5613359024,562811.1111111111,5625,93014,562811,952775,2849326,173,173,0,173,0,0,0,0,0,0,138641092,0,0,0,0,0,0,0,0,0,138641086,0,0,0,138641086.1111111,0,10315741.67,0.078,135138463.32936826,0,0,0,135138463.32936826,0.068,0.083,NA,NA,10315741.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10315741.67,0.015,7.441,0.076,1,0,0,0,0,0
2006,Arlington Heights,6B,3333530.2083333335,649862.5,12762.5,65031,649862,2002984,5899999,30,30,0,30,0,0,30,0,0,100005906,100005902,0,0,0,0,0,0,9000531,0,0,100005906,100005906,0,0,100005906.25,0,3469189.84,0.08,43324157.007204406,0,0,0,43324157.007204406,0.068,0.083,NA,NA,3469189.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3469189.84,0.015,3.469,0.08,1,1,0,0,0.09,0
2006,Arlington Heights,9,288711.60714285716,249812.5,9875,50881,249812,472800,114229,7,7,0,0,0,0,0,0,0,0,1888833,0,0,0,0,0,0,0,0,0,0,0,0,0,2020981.25,0,65993.68,0.081,818272.5356478611,0,0,0,0,0.081,0.081,NA,NA,65993.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65993.68,0,3.265,0.081,0.935,0,0,0,0,0
2006,Barrington,0,0,0,0,0,0,0,0,134,134,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0.057,0,0,0,0,0,0.052,0.076,NA,NA,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,NA,NA,NA,NA,NA,NA,NA,NA
2006,Barrington,1,78934.49883449884,26518.18181818182,4.545454545454546,4758,26518,83565,230590,78,78,0,0,0,3,0,0,0,0,6085868,199823,0,0,70973,0,0,15614,0,0,0,0,0,0,6156890.909090909,12,207720.23880427517,0.057,3625181.138558736,0,0,0,0,0.052,0.058,NA,NA,207720.23880427517,2419.901195724819,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210140.14,0.007,3.374,0.057,0.988,0,0.032,0.012,0.003,0
