muni_mc_year,muni_mc_clean_name,muni_mc_major_class_code,muni_mc_cur_comp_muni_rate,muni_mc_current_taxable_eav,muni_mc_av,muni_mc_eav,muni_mc_equalized_av,muni_mc_pins_in_muni,muni_mc_all_exemptions,muni_mc_exe_homeowner,muni_mc_exe_senior,muni_mc_exe_freeze,muni_mc_exe_longtime_homeowner,muni_mc_exe_disabled,muni_mc_exe_vet_returning,muni_mc_exe_vet_dis_lt50,muni_mc_exe_vet_dis_50_69,muni_mc_exe_vet_dis_ge70,muni_mc_exe_abate,muni_mc_exe_vet_dis,muni_mc_final_tax_to_dist,muni_mc_final_tax_to_tif,muni_mc_tax_amt_exe,muni_mc_tax_amt_pre_exe,muni_mc_tax_amt_post_exe,muni_mc_rpm_tif_to_cps,muni_mc_rpm_tif_to_rpm,muni_mc_rpm_tif_to_dist,muni_mc_tif_share,muni_mc_zero_bills,muni_mc_has_HO_exemp,muni_mc_has_SF_exemp,muni_mc_has_FR_exemp,muni_mc_has_LTHO_exemp,muni_mc_has_DI_exemp,muni_mc_has_VR_exemp,muni_mc_has_DV_exemp,muni_mc_has_AB_exemp,muni_mc_total_bill_current
2016,Barrington,3,7.3196666666666665,3308702.9919395237,1235610,3463662,3463662,27,0,0,0,0,0,0,0,0,0,0,0,0,242186.03,10575.42,0,252761.44999999998,252761.44999999998,0,0,0,0.10442657453037037,0,0,0,0,0,0,0,0,0,252761.45
2016,Barrington,4,7.283,4905599.890155156,1750000,4905600,4905600,1,0,0,0,0,0,0,0,0,0,0,0,0,357274.84,0,0,357274.84,357274.84,0,0,0,0,0,0,0,0,0,0,0,0,0,357274.84
2016,Barrington,5A,7.318179723502304,76026137.51247604,29345992,82262695,82262695,217,0,0,0,0,0,0,0,0,0,0,0,0,5563729.38,445867.37,0,6009596.75,6009596.75,0,0,0,0.11780170013404609,0,0,0,0,0,0,0,0,0,6009596.75
2016,Barrington,5B,7.283,8043885.62405602,2869537,8043886,8043886,13,0,0,0,0,0,0,0,0,0,0,0,0,585836.19,0,0,585836.19,585836.19,0,0,0,0,0,0,0,0,0,0,0,0,0,585836.19
2016,Barrington Hills,0,7.9171818181818185,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0
2016,Barrington Hills,1,7.781466165413534,5268881.227323455,1893707,5308440,5308440,133,0,0,0,0,0,0,0,0,0,0,0,0,409996.21,0,0,409996.21,409996.21,0,0,0,0,0,0,0,0,0,0,0,0,0,409996.21
2016,Barrington Hills,2,7.7768828125,244432076.55702344,89433047,250414058,250698734,1024,5344565,3934700,710000,688365,7000,2000,0,2500,0,0,0,2500,19009196.15,0,416985.77801925415,19426181.76,19009196.15,0,0,0,0,0,569,142,10,1,1,0,1,0,19009196.15
2016,Barrington Hills,5A,7.9445,71269.80930203285,25149,70498,70498,2,0,0,0,0,0,0,0,0,0,0,0,0,5662.03,0,0,5662.03,5662.03,0,0,0,0,0,0,0,0,0,0,0,0,0,5662.03
2016,Bartlett,0,11.81661971830986,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0
2016,Bartlett,1,12.071924242424243,5312891.608001034,1807824,5067705,5067705,132,0,0,0,0,0,0,0,0,0,0,0,0,641368.25,0,0,641368.25,641368.25,0,0,0,0,0,0,0,0,0,0,0,0,0,641368.25
2016,Bartlett,2,11.764892771307082,323281488.48716146,128391371,359844535,359906726,5409,37105225,29582700,3679202,3656996,22165,126000,0,2500,5000,30662,0,38162,38033720.47,0,4365958.522172676,42396088.95,38033720.47,0,0,0,0,2,4244,740,249,2,63,0,3,0,38033720.47
2016,Bartlett,3,11.707,5293108.482104723,1888238,5293109,5293109,6,0,0,0,0,0,0,0,0,0,0,0,0,619664.21,0,0,619664.21,619664.21,0,0,0,0,0,0,0,0,0,0,0,0,0,619664.21
2016,Bartlett,5A,11.699909090909092,26684491.697682187,9521838,26691609,26691609,77,0,0,0,0,0,0,0,0,0,0,0,0,3122061.27,0,0,3122061.27,3122061.27,0,0,0,0,0,0,0,0,0,0,0,0,0,3122061.27
2016,Bartlett,5B,16.821285714285715,20336539.775284715,7169635,20097921,20097921,14,0,0,0,0,0,0,0,0,0,0,0,0,3420867.46,0,0,3420867.46,3420867.46,0,0,0,0,0,0,0,0,0,0,0,0,0,3420867.46
2016,Bartlett,6B,11.029,633130.9275546287,225860,633131,633131,1,0,0,0,0,0,0,0,0,0,0,0,0,69828.01,0,0,69828.01,69828.01,0,0,0,0,0,0,0,0,0,0,0,0,0,69828.01
2016,Bartlett,9,11.707,1797025.7111130091,641062,1797026,1797026,3,0,0,0,0,0,0,0,0,0,0,0,0,210377.8,0,0,210377.8,210377.8,0,0,0,0,0,0,0,0,0,0,0,0,0,210377.8
2016,Bedford Park,0,14.279985849056605,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004435147948419812,212,0,0,0,0,0,0,0,0,0
2016,Bedford Park,1,14.59040404040404,2907162.192530029,1070293,3000250,3000250,99,0,0,0,0,0,0,0,0,0,0,0,0,424166.71,40004.35,0,464171.06,464171.06,0,0,0,0.040729528189767675,0,0,0,0,0,0,0,0,0,464171.06
2016,Bedford Park,2,17.384,6653645.248504371,3003664,8419868,8419868,233,1766223,1274000,287250,194973,0,10000,0,0,0,0,0,0,1156669.69,0,307040.19555051374,1463709.76,1156669.69,0,0,0,0,0,195,60,26,0,5,0,0,0,1156669.69
2016,Bedford Park,5A,14.093720930232559,68807186.81748429,42030182,117819007,117819007,86,0,0,0,0,0,0,0,0,0,0,0,0,9697492.89,6049077.56,0,15746570.45,15746570.45,0,0,0,0.17622262746013956,0,0,0,0,0,0,0,0,0,15746570.45
2016,Bedford Park,5B,13.57828125,178272951.4458982,59315630,166273571,166273571,320,0,0,0,0,0,0,0,0,0,0,0,0,24206402.74,88323.26,0,24294726,24294726,0,0,0,0.009280587996,0,0,0,0,0,0,0,0,0,24294726
2016,Bedford Park,6B,14.224508620689656,93618970.71530862,33129139,92867598,92867598,116,0,0,0,0,0,0,0,0,0,0,0,0,13316838.56,163150.6,0,13479989.16,13479989.16,0,0,0,0.004577455884749999,0,0,0,0,0,0,0,0,0,13479989.16
2016,Bedford Park,6C,11.999,228157.5964663722,81392,228158,228158,3,0,0,0,0,0,0,0,0,0,0,0,0,27376.63,0,0,27376.63,27376.63,0,0,0,0,0,0,0,0,0,0,0,0,0,27376.63
2016,Bellwood,0,19.634562711864405,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08063507729963729,295,0,0,0,0,0,0,0,0,0
