tax_code_num,class_code,av,eav,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis,exe_abate,pin_count
10030,278,53296,160032,10000,8000,0,0,0,0,0,0,1
10032,0,0,0,0,0,0,0,0,0,0,0,22
10032,190,81763,245509,0,0,0,0,0,0,0,0,4
10035,0,0,0,0,0,0,0,0,0,0,0,139
10035,100,1771611,5319621,0,0,0,0,0,0,0,0,91
10035,190,50267,150937,0,0,0,0,0,0,0,0,5
10035,201,129007,387370,0,0,0,0,0,0,0,0,7
10035,202,435080,1306414,20000,0,0,0,0,0,0,0,4
10035,203,494883,1485985,60000,32000,0,0,0,0,0,0,13
10035,204,15751031,47295621,1433300,424000,10000,0,2000,0,0,0,219
10035,205,387605,1163862,60000,48000,16959,0,0,0,0,0,9
10035,206,2294995,6891182,196700,56000,0,0,0,0,0,0,36
10035,207,43952,131975,10000,0,0,0,0,0,0,0,1
10035,208,3958424,11885961,440000,104000,4000,0,2000,0,0,0,53
10035,209,23647246,71005581,1271700,264000,2000,0,0,0,0,0,197
10035,224,122496,367819,0,0,0,0,0,0,0,0,10
10035,234,519469,1559808,70990,32000,0,0,0,0,0,0,11
10035,239,102922,309043,0,0,0,0,0,0,0,0,38
10035,241,1277524,3836019,0,0,0,0,0,0,0,0,110
10035,278,3943661,11841633,590000,176000,86173,0,0,0,0,0,82
10035,290,135325,406339,0,0,0,0,0,0,0,0,6
10038,0,0,0,0,0,0,0,0,0,0,0,4
10038,100,85141,255653,0,0,0,0,0,0,0,0,4
10038,190,53387,160305,0,0,0,0,0,0,0,0,3
10038,517,429999,1291158,0,0,0,0,0,0,0,0,1
10038,527,1188159,3567685,0,0,0,0,0,0,0,0,1
10038,528,371471,1115416,0,0,0,0,0,0,0,0,1
10038,590,69341,208210,0,0,0,0,0,0,0,0,2
10038,592,1390346,4174792,0,0,0,0,0,0,0,0,2
10038,597,164027,492524,0,0,0,0,0,0,0,0,1
10039,0,0,0,0,0,0,0,0,0,0,0,3
10039,100,58527,175739,0,0,0,0,0,0,0,0,6
10039,202,34737,104305,0,0,0,0,0,0,0,0,1
10039,203,116693,350394,20000,8000,2000,0,0,0,0,0,3
10039,204,1304241,3916245,180000,48000,8647,0,0,0,0,0,23
10039,205,45557,136794,0,0,0,0,0,0,0,0,1
10039,206,282779,849100,43300,0,0,0,0,0,0,0,6
10039,207,131174,393876,30000,8000,0,0,0,0,0,0,3
10039,208,1006880,3023359,110000,40000,0,0,0,0,0,0,15
10039,209,823660,2473204,60000,0,0,0,0,0,0,0,7
10039,224,26616,79920,0,0,0,0,0,0,0,0,1
10039,234,286911,861508,60000,8000,0,0,0,0,0,0,6
10039,241,68458,205559,0,0,0,0,0,0,0,0,17
10039,278,799625,2401033,130000,16000,0,0,0,0,0,0,17
10040,0,0,0,0,0,0,0,0,0,0,0,2
10041,0,0,0,0,0,0,0,0,0,0,0,16
10041,100,1252110,3759703,0,0,0,0,0,0,0,0,227
10041,190,87751,263490,0,0,0,0,0,0,0,0,2
10041,202,20891,62729,10000,0,0,0,0,0,0,0,1
10041,203,237304,712552,50000,24000,4800,0,0,0,0,0,6
10041,204,12224247,36705747,1640000,568000,195553,0,0,0,2500,0,196
10041,206,813785,2443553,40000,0,0,0,0,0,0,0,10
10041,207,228983,687567,50000,0,0,0,0,0,0,0,6
10041,208,20779104,62393419,2540000,584000,38972,0,2000,0,0,0,311
10041,209,47179707,141666514,3550000,808000,328935,0,4000,0,0,0,457
10041,224,25657,77040,0,0,0,0,0,0,0,0,1
10041,234,141387,424543,20000,0,0,0,0,0,0,0,3
10041,239,30657,92053,0,0,0,0,0,0,0,0,9
10041,241,268756,806991,0,0,0,0,0,0,0,0,43
10041,278,12216466,36682376,2120000,704000,178873,0,2000,0,5000,0,243
10041,290,35409,106322,0,0,0,0,0,0,0,0,5
10041,297,2,6,0,0,0,0,0,0,0,0,1
10041,517,1850692,5557073,0,0,0,0,0,0,0,0,4
10041,528,780520,2343667,0,0,0,0,0,0,0,0,1
10041,583,405005,1216109,0,0,0,0,0,0,0,0,1
10041,599,4205222,12627018,0,0,0,0,0,0,0,0,35
10043,100,42802,128521,0,0,0,0,0,0,0,0,7
10043,204,111106,333618,10000,0,0,0,0,0,0,0,1
10043,208,564692,1695600,70000,24000,0,0,0,0,0,0,8
10043,209,1173962,3525054,110000,32000,49963,0,0,0,0,0,13
10043,239,1,3,0,0,0,0,0,0,0,0,1
10043,241,49669,149141,0,0,0,0,0,0,0,0,4
10043,278,213371,640689,20000,8000,0,0,0,0,0,0,4
10043,297,2,6,0,0,0,0,0,0,0,0,1
10044,100,7409,22247,0,0,0,0,0,0,0,0,1
10048,100,63151,189623,0,0,0,0,0,0,0,0,3
10048,239,7890,23692,0,0,0,0,0,0,0,0,4
10048,517,11429688,34319925,0,0,0,0,0,0,0,0,7
10048,528,819503,2460721,0,0,0,0,0,0,0,0,2
10053,206,123793,371713,0,0,0,0,0,0,0,0,1
10053,239,5624,16888,0,0,0,0,0,0,0,0,2
10055,100,65340,196196,0,0,0,0,0,0,0,0,3
10055,203,41740,125333,0,0,0,0,0,0,0,0,1
10055,204,572728,1719730,60000,16000,0,0,0,0,0,0,9
