keypin,pin,pins_per_keypin,needs_keypin
13073100600000,13073100080000,2,0
13073100140000,13073100140000,1,0
13073100150000,13073100150000,1,1
13073100160000,13073100160000,1,1
13073100170000,13073100170000,1,1
13073100180000,13073100180000,1,1
13073100190000,13073100190000,1,1
13073100200000,13073100200000,1,1
13073100210000,13073100210000,1,1
13073100600000,13073100600000,2,0
13073100620000,13073100620000,1,1
13073100630000,13073100630000,1,0
13074230130000,13074230130000,1,0
13074230210000,13074230210000,1,1
13074240400000,13074240400000,2,0
13074240400000,13074240520000,2,0
13081040040000,13081040040000,1,1
13081040050000,13081040050000,1,1
13081040060000,13081040060000,1,1
13081040080000,13081040080000,1,1
13081040090000,13081040090000,1,1
13081040100000,13081040100000,1,1
13081040110000,13081040110000,1,1
13081040120000,13081040120000,1,1
13081040130000,13081040130000,1,1
13081040140000,13081040140000,1,1
13081040150000,13081040150000,1,1
13081040190000,13081040190000,1,1
13081040200000,13081040200000,1,1
13081050010000,13081050010000,1,1
13081050020000,13081050020000,1,1
13081050030000,13081050030000,1,0
13081050040000,13081050040000,1,1
13081050050000,13081050050000,1,0
13081050060000,13081050060000,1,1
13081050070000,13081050070000,1,1
13081050080000,13081050080000,1,1
13081050090000,13081050090000,1,1
13081050100000,13081050100000,1,1
13081050110000,13081050110000,1,1
13081050120000,13081050120000,1,1
13081050130000,13081050130000,1,1
13081050150000,13081050150000,1,1
13081050160000,13081050160000,1,1
13081050170000,13081050170000,1,1
13081060160000,13081060160000,1,1
13081060170000,13081060170000,1,1
13081060290000,13081060290000,1,1
13081060300000,13081060300000,1,1
13081060310000,13081060310000,1,1
13081070490000,13081070490000,1,1
13081070500000,13081070500000,1,1
13081230190000,13081230190000,6,0
13081230190000,13081230200000,6,0
13081230190000,13081230210000,6,0
13081230190000,13081230220000,6,0
13081230190000,13081230230000,6,0
13081230190000,13081230240000,6,0
13081230250000,13081230250000,1,1
13081230270000,13081230260000,2,0
13081230270000,13081230270000,2,0
13081240040000,13081240040000,1,0
13081250270000,13081250270000,2,0
13081250270000,13081250280000,2,0
13081250450000,13081250450000,1,0
13082000560000,13082000560000,1,0
13082000570000,13082000570000,1,0
13082000590000,13082000590000,1,1
13082000600000,13082000600000,1,1
13082000610000,13082000610000,1,1
13082000620000,13082000620000,1,1
13082000660000,13082000660000,1,1
13082020090000,13082020090000,4,0
13082020090000,13082020100000,4,0
13082020090000,13082020110000,4,0
13082020240000,13082020240000,1,1
13082020250000,13082020250000,2,0
13082020250000,13082020260000,2,0
13082020490000,13082020490000,1,0
13082020090000,13082020560000,4,0
13082020590000,13082020590000,1,0
13082020600000,13082020600000,1,1
13082040010000,13082040010000,1,1
13082040030000,13082040020000,2,0
13082040030000,13082040030000,2,0
13082040090000,13082040090000,1,0
13082040100000,13082040100000,1,1
13082040110000,13082040110000,1,1
13082050130000,13082050130000,2,0
13082050170000,13082050170000,1,1
13082050180000,13082050180000,1,0
13082050200000,13082050200000,1,1
13082050360000,13082050360000,1,0
13082050370000,13082050370000,1,0
13082050380000,13082050380000,1,0
13082050130000,13082050390000,2,0
13082080240000,13082080240000,1,0
13082080260000,13082080260000,1,1
13082080270000,13082080270000,1,1
13082080280000,13082080280000,1,1
13082080290000,13082080290000,1,1
13082110220000,13082110220000,1,1
13082110230000,13082110230000,1,0
13082110240000,13082110240000,2,0
13082110240000,13082110250000,2,0
13082110260000,13082110260000,1,0
13082110280000,13082110280000,2,0
13082110290000,13082110290000,1,1
13082110300000,13082110300000,1,1
13082110280000,13082110310000,2,0
13082110320000,13082110320000,1,1
13082110330000,13082110330000,1,1
13082110340000,13082110340000,1,1
13082110350000,13082110350000,1,0
13082110360000,13082110360000,1,0
13082110380000,13082110380000,1,0
13082110390000,13082110390000,1,1
13082110400000,13082110400000,1,1
13082110410000,13082110410000,1,0
13082110420000,13082110420000,1,1
13082110430000,13082110430000,1,1
13082110440000,13082110440000,1,0
13082110470000,13082110470000,1,0
13082110480000,13082110480000,1,0
13082130110000,13082130110000,1,0
13082130250000,13082130250000,1,0
13082130260000,13082130260000,2,0
13082130260000,13082130270000,2,0
13082130290000,13082130290000,1,1
13082130300000,13082130300000,1,1
13082130590000,13082130590000,1,1
13082130600000,13082130600000,1,0
13082130610000,13082130610000,1,1
13082160020000,13082160020000,1,1
13082160030000,13082160030000,1,1
13082160040000,13082160040000,1,1
13082160050000,13082160050000,1,1
13082160060000,13082160060000,1,1
13082160070000,13082160070000,1,1
13082160080000,13082160080000,1,1
13082160090000,13082160090000,1,1
13082160100000,13082160100000,1,1
13082160160000,13082160160000,1,0
13082160370000,13082160370000,1,1
13082160380000,13082160380000,1,1
13082160390000,13082160390000,1,1
13082230140000,13082230140000,2,0
13082230140000,13082230150000,2,0
13082230160000,13082230160000,1,1
13082230170000,13082230170000,1,1
13082240210000,13082240210000,1,0
13082240220000,13082240220000,1,0
13082240230000,13082240230000,1,1
13082240240000,13082240240000,1,1
13082240250000,13082240250000,1,1
13082240260000,13082240260000,1,1
13082240270000,13082240270000,1,1
13082240280000,13082240280000,1,1
13082240290000,13082240290000,2,0
13082240300000,13082240300000,1,1
13082240310000,13082240310000,1,1
13082240290000,13082240320000,2,0
13082240330000,13082240330000,1,0
13082240340000,13082240340000,1,0
13082240350000,13082240350000,2,0
13082240350000,13082240360000,2,0
13082240370000,13082240370000,1,0
13082240430000,13082240430000,2,0
13082240430000,13082240440000,2,0
13082240450000,13082240450000,1,0
13082240460000,13082240460000,1,0
13082250100000,13082250100000,1,1
13082250110000,13082250110000,1,1
13082250120000,13082250120000,1,1
13082250130000,13082250130000,1,1
13082250140000,13082250140000,1,1
13082250150000,13082250150000,1,1
13082250160000,13082250160000,1,1
13082250170000,13082250170000,1,1
13082250180000,13082250180000,1,1
13082250190000,13082250190000,1,1
13082250270000,13082250270000,2,0
13082250280000,13082250280000,1,1
13082250290000,13082250290000,1,1
13082250300000,13082250300000,1,1
13082250550000,13082250550000,1,0
13082250570000,13082250570000,1,1
13082250270000,13082250620000,2,0
13082270070000,13082270070000,1,1
13082270080000,13082270080000,1,1
13082270090000,13082270090000,1,1
13082270100000,13082270100000,1,1
13082270110000,13082270110000,1,1
13082270120000,13082270120000,1,1
13082270130000,13082270130000,1,1
13082270140000,13082270140000,1,1
13082270150000,13082270150000,1,0
13082270290000,13082270290000,1,1
13082270300000,13082270300000,1,1
13082270310000,13082270310000,1,0
13082270320000,13082270320000,1,1
13082280030000,13082280030000,4,0
13082280030000,13082280060000,4,0
13082280070000,13082280070000,1,1
13082280030000,13082280080000,4,0
13082280100000,13082280100000,1,1
13082280110000,13082280110000,1,1
13082280120000,13082280120000,9,0
13082280260000,13082280260000,1,0
13082280120000,13082280310000,9,0
13082280120000,13082280320000,9,0
13082280120000,13082280330000,9,0
13082280120000,13082280340000,9,0
13082280120000,13082280350000,9,0
13082280120000,13082280360000,9,0
13082280410000,13082280410000,1,1
13082280120000,13082280420000,9,0
13082280120000,13082280430000,9,0
13082280030000,13082280440000,4,0
13082280450000,13082280450000,1,1
13082280460000,13082280460000,1,1
13082280470000,13082280470000,1,0
13082280480000,13082280480000,1,1
13082280490000,13082280490000,1,0
13083010010000,13083010010000,1,1
13083010020000,13083010020000,1,0
13083020060000,13083020060000,2,0
13083020060000,13083020070000,2,0
13083020090000,13083020090000,3,0
13083020090000,13083020100000,3,0
13083020110000,13083020110000,1,0
13083020140000,13083020140000,1,0
13083020090000,13083020150000,3,0
13083050500000,13083050500000,1,0
13083050510000,13083050510000,1,0
13083150320000,13083150320000,10,0
13083150320000,13083150330000,10,0
13083150320000,13083150340000,10,0
13083150320000,13083150350000,10,0
13083150320000,13083150360000,10,0
13083150320000,13083150370000,10,0
13083150320000,13083150380000,10,0
13083150320000,13083150390000,10,0
13083150320000,13083150400000,10,0
13083150320000,13083150410000,10,0
13083260380000,13083260380000,1,0
13083270370000,13083270370000,1,1
13083270380000,13083270380000,2,0
13083270380000,13083270390000,2,0
13083280010000,13083280010000,1,1
13084070010000,13084070010000,2,0
13084070010000,13084070020000,2,0
13084070080000,13084070080000,1,0
13084090080000,13084090080000,1,1
13084090090000,13084090090000,2,0
13084090090000,13084090100000,2,0
13084100180000,13084100180000,1,0
13084100190000,13084100190000,1,0
13084110260000,13084110260000,1,0
13084110270000,13084110270000,1,0
13084110300000,13084110300000,1,0
13084120300000,13084120300000,1,0
13084120310000,13084120310000,1,0
13084120320000,13084120320000,1,0
13084130390000,13084130390000,1,0
13084170060000,13084170060000,1,1
13084170070000,13084170070000,2,0
13084170080000,13084170080000,1,1
13084170070000,13084170090000,2,0
13084170900000,13084170900000,1,0
13084220310000,13084220310000,2,0
13084220320000,13084220320000,1,1
13084220310000,13084220330000,2,0
13084220340000,13084220340000,1,1
13084220540000,13084220540000,1,0
13084230290000,13084230290000,2,0
13084230290000,13084230300000,2,0
13084250080000,13084250080000,1,0
13084251130000,13084251130000,1,0
13084290010000,13084290010000,1,0
13084300530000,13084300530000,1,0
13084300700000,13084300700000,1,0
13084300710000,13084300710000,1,0
13084300740000,13084300740000,1,0
13084300750000,13084300750000,1,0
13084300760000,13084300760000,1,0
13084300780000,13084300780000,1,0
13084320200000,13084320200000,1,0
13084320240000,13084320240000,1,0
13084320270000,13084320270000,2,0
13084320270000,13084320280000,2,0
13084320360000,13084320360000,1,0
13091030540000,13091030540000,1,0
13091110050000,13091110050000,1,0
13091140010000,13091140010000,2,0
13091140020000,13091140020000,1,1
13091140030000,13091140030000,1,1
13091140040000,13091140040000,1,1
13091140050000,13091140050000,1,1
13091140060000,13091140060000,1,1
13091140010000,13091140070000,2,0
13091140090000,13091140090000,1,1
13091180060000,13091180060000,1,1
13091180110000,13091180110000,1,1
13091180120000,13091180120000,1,1
13091180130000,13091180130000,1,1
13091180150000,13091180150000,1,1
13091180160000,13091180160000,1,1
13091180170000,13091180170000,1,0
13091180180000,13091180180000,1,1
13091180190000,13091180190000,1,1
13091190030000,13091190030000,1,1
13091190040000,13091190040000,1,1
13091190050000,13091190050000,1,1
13091190060000,13091190060000,1,1
13091190070000,13091190070000,1,1
13091190120000,13091190120000,1,1
13091190130000,13091190130000,1,1
13091190140000,13091190140000,1,1
13091190150000,13091190150000,1,1
13091190160000,13091190160000,1,1
13091190170000,13091190170000,1,1
13091190180000,13091190180000,1,1
13091210030000,13091210030000,1,0
13091210040000,13091210040000,1,1
13091210050000,13091210050000,1,1
13091210060000,13091210060000,1,1
13091210070000,13091210070000,1,1
13091210100000,13091210100000,1,1
13091210110000,13091210110000,1,1
13091220040000,13091220040000,1,1
13091220050000,13091220050000,1,1
13091220090000,13091220090000,1,1
13091220100000,13091220100000,1,1
13091220110000,13091220110000,1,1
13091220120000,13091220120000,1,0
13091230010000,13091230010000,1,0
13091230130000,13091230130000,1,0
13091230140000,13091230140000,1,1
13091230150000,13091230150000,1,1
13091230160000,13091230160000,1,1
13091230310000,13091230310000,1,1
13091230320000,13091230320000,1,1
13091250350000,13091250350000,5,0
13091250350000,13091250360000,5,0
13091250350000,13091250370000,5,0
13091250350000,13091250380000,5,0
13091250350000,13091250390000,5,0
13091250400000,13091250400000,1,1
13091250410000,13091250410000,1,1
13091250420000,13091250420000,1,1
13091250430000,13091250430000,1,0
13091260500000,13091260500000,1,0
13091280230000,13091280230000,4,0
13091280230000,13091280240000,4,0
13091280230000,13091280250000,4,0
13091280230000,13091280260000,4,0
13091280270000,13091280270000,1,0
13091280300000,13091280300000,5,0
13091280300000,13091280310000,5,0
13091280300000,13091280320000,5,0
13091280300000,13091280330000,5,0
13091280300000,13091280340000,5,0
13091280480000,13091280480000,1,1
13092080040000,13092080040000,1,1
13092080070000,13092080070000,1,0
13092150010000,13092150010000,5,0
13092150010000,13092150020000,5,0
13092150010000,13092150030000,5,0
13092150010000,13092150040000,5,0
13092150010000,13092150050000,5,0
13092160100000,13092160100000,1,1
13092160110000,13092160110000,1,1
13092160120000,13092160120000,1,0
13092160130000,13092160130000,2,0
13092160130000,13092160140000,2,0
13092160350000,13092160350000,1,0
13092170030000,13092170030000,1,0
13092170040000,13092170040000,1,1
13092170070000,13092170070000,1,1
13092170260000,13092170260000,1,1
13092180040000,13092180040000,1,1
13092180070000,13092180070000,1,0
13092210340000,13092210340000,1,0
13092220010000,13092220010000,1,1
13092220020000,13092220020000,1,1
13092220030000,13092220030000,1,1
13092230010000,13092230010000,1,1
13092230030000,13092230030000,1,1
13092230040000,13092230040000,1,1
13092230050000,13092230050000,1,1
13092230130000,13092230130000,1,1
13092230140000,13092230140000,1,1
13092230150000,13092230150000,1,1
13092230160000,13092230160000,1,1
13092230170000,13092230170000,1,0
13092230190000,13092230190000,1,0
13092230230000,13092230230000,1,1
13092230240000,13092230240000,1,1
13092230250000,13092230250000,1,0
13092230270000,13092230270000,1,1
13092230280000,13092230280000,1,1
13092230290000,13092230290000,1,1
13092230300000,13092230300000,1,1
13092230310000,13092230310000,1,1
13092230320000,13092230320000,1,1
13092230330000,13092230330000,1,1
13092230350000,13092230350000,1,0
13092230370000,13092230370000,1,1
13092230380000,13092230380000,1,0
13092230390000,13092230390000,1,0
13092230408002,13092230408002,1,1
13092240400000,13092240400000,1,0
13092270600000,13092270600000,1,0
13093000010000,13093000010000,1,1
13093000030000,13093000030000,3,0
13093000040000,13093000040000,1,1
13093000030000,13093000050000,3,0
13093000060000,13093000060000,1,0
13093000030000,13093000070000,3,0
13093010030000,13093010030000,4,0
13093010050000,13093010050000,1,0
13093010030000,13093010110000,4,0
13093010030000,13093010160000,4,0
13093010030000,13093010170000,4,0
13093100010000,13093100010000,1,1
13093100020000,13093100020000,1,1
13093100030000,13093100030000,1,1
13093100050000,13093100050000,1,1
13093100060000,13093100060000,1,0
13093100410000,13093100410000,1,1
13093100470000,13093100470000,1,0
13093180190000,13093180190000,1,1
13093180320000,13093180320000,2,0
13093180320000,13093180330000,2,0
13093180431009,13093180431009,1,1
13093180451001,13093180451001,1,1
13093180451002,13093180451002,1,1
13093190060000,13093190010000,2,0
13093190020000,13093190020000,1,0
13093190060000,13093190060000,2,0
13093190070000,13093190070000,1,1
13093190080000,13093190080000,1,0
13093190100000,13093190100000,1,0
13093190110000,13093190110000,1,0
13093220130000,13093220130000,6,0
13093220130000,13093220140000,6,0
13093220130000,13093220150000,6,0
13093220130000,13093220160000,6,0
13093220130000,13093220170000,6,0
13093220130000,13093220180000,6,0
13093220190000,13093220190000,1,0
13093220210000,13093220210000,1,1
13093220230000,13093220230000,1,1
13093220240000,13093220240000,1,0
13093220300000,13093220300000,1,1
13093220350000,13093220350000,1,1
13093220360000,13093220360000,1,0
13093230150000,13093230150000,6,0
13093230150000,13093230160000,6,0
13093230150000,13093230170000,6,0
13093230150000,13093230180000,6,0
13093230150000,13093230190000,6,0
13093230150000,13093230200000,6,0
13093230228004,13093230228004,1,1
13093230228006,13093230228006,1,1
13093240120000,13093240120000,1,1
13093280300000,13093280300000,1,0
13093280330000,13093280330000,1,0
13093280630000,13093280630000,1,0
13093300010000,13093300010000,1,1
13093300020000,13093300020000,2,0
13093300030000,13093300030000,2,0
13093300020000,13093300070000,2,0
13093300030000,13093300080000,2,0
13093300250000,13093300250000,1,0
13093300261001,13093300261001,1,1
13093300261006,13093300261006,1,1
13093300271001,13093300271001,1,1
13093310010000,13093310010000,1,0
13093310020000,13093310020000,2,0
13093310020000,13093310030000,2,0
13093310050000,13093310050000,1,0
13093310060000,13093310060000,1,0
13093310070000,13093310070000,1,1
13093310080000,13093310080000,1,1
13093310090000,13093310090000,1,1
13093310100000,13093310100000,1,1
13093310110000,13093310110000,1,1
13093310120000,13093310120000,1,1
13093320010000,13093320010000,1,1
13093320020000,13093320020000,1,1
13093320050000,13093320050000,1,1
13093320080000,13093320080000,1,1
13093320090000,13093320090000,1,1
13093320100000,13093320100000,1,0
13094010050000,13094010010000,4,0
13094010050000,13094010020000,4,0
13094010050000,13094010050000,4,0
13094010050000,13094010390000,4,0
13094020060000,13094020060000,1,1
13094020070000,13094020070000,1,0
13094020100000,13094020100000,3,0
13094020110000,13094020110000,1,1
13094020100000,13094020120000,3,0
13094020100000,13094020260000,3,0
13094020270000,13094020270000,1,1
13094030010000,13094030010000,1,0
13094040150000,13094040150000,2,0
13094040220000,13094040220000,2,0
13094040230000,13094040230000,1,1
13094040240000,13094040240000,1,1
13094040220000,13094040250000,2,0
13094040260000,13094040260000,1,1
13094040270000,13094040270000,2,0
13094040270000,13094040280000,2,0
13094040380000,13094040380000,1,0
13094040390000,13094040390000,1,1
13094040400000,13094040400000,1,0
13094040150000,13094040410000,2,0
13094040470000,13094040470000,1,1
13094070490000,13094070490000,2,0
13094070540000,13094070540000,1,1
13094070490000,13094070780000,2,0
13094070790000,13094070790000,1,1
13094070821021,13094070821021,1,1
13094070821022,13094070821022,1,1
13094070821023,13094070821023,1,1
13094070821024,13094070821024,1,1
13094070821025,13094070821025,1,1
13094070821026,13094070821026,1,1
13094070821027,13094070821027,1,1
13094070821028,13094070821028,1,1
13094070821029,13094070821029,1,1
13094070821030,13094070821030,1,1
13094070821031,13094070821031,1,1
13094070821032,13094070821032,1,1
13094070821033,13094070821033,1,1
13094110280000,13094110240000,6,0
13094110280000,13094110250000,6,0
13094110280000,13094110260000,6,0
13094110280000,13094110270000,6,0
13094110280000,13094110280000,6,0
13094110280000,13094110290000,6,0
13094110300000,13094110300000,2,0
13094110310000,13094110310000,1,1
13094110320000,13094110320000,1,1
13094110300000,13094110330000,2,0
13094110360000,13094110340000,6,0
13094110360000,13094110350000,6,0
13094110360000,13094110360000,6,0
13094110360000,13094110370000,6,0
13094110360000,13094110380000,6,0
13094110360000,13094110390000,6,0
13094260310000,13094260310000,1,1
13094260320000,13094260320000,1,1
13094260330000,13094260330000,1,1
13094290230000,13094290230000,1,1
13094290330000,13094290330000,2,0
13094290330000,13094290340000,2,0
13094290380000,13094290380000,1,0
13094290390000,13094290390000,1,1
13094290420000,13094290420000,1,0
13094290430000,13094290430000,1,0
13094300250000,13094300250000,1,1
13094300370000,13094300370000,1,1
13094300380000,13094300380000,1,1
13094300390000,13094300390000,1,1
13094300420000,13094300420000,1,1
13094300430000,13094300430000,1,1
13094300440000,13094300440000,1,1
13094300490000,13094300490000,1,1
13094310470000,13094310470000,1,1
13094310480000,13094310480000,1,1
13094310490000,13094310490000,1,0
13102000100000,13102000100000,1,0
13102000300000,13102000300000,1,0
13103000698002,13103000698002,1,1
13103020050000,13103020050000,1,1
13103020090000,13103020090000,1,0
13103020120000,13103020120000,3,0
13103020160000,13103020160000,2,0
13103020160000,13103020170000,2,0
13103020180000,13103020180000,1,1
13103020190000,13103020190000,1,1
13103020120000,13103020200000,3,0
13103020120000,13103020210000,3,0
13103070030000,13103070030000,3,0
13103080130000,13103080130000,2,0
13103080130000,13103080140000,2,0
13103080160000,13103080160000,1,1
13103080170000,13103080170000,2,0
13103080170000,13103080180000,2,0
13103080220000,13103080220000,1,1
13103080230000,13103080230000,1,1
13103080580000,13103080580000,1,1
13103070030000,13103080590000,3,0
13103070030000,13103080620000,3,0
13103090010000,13103090010000,2,0
13103090010000,13103090020000,2,0
13103090030000,13103090030000,1,1
13103090040000,13103090040000,1,1
13103090050000,13103090050000,1,1
13103090090000,13103090090000,1,1
13103090100000,13103090100000,1,1
13103090800000,13103090800000,1,1
13103090840000,13103090830000,2,0
13103090840000,13103090840000,2,0
13103090850000,13103090850000,2,0
13103090860000,13103090860000,1,1
13103090870000,13103090870000,1,1
13103090850000,13103090880000,2,0
13103090930000,13103090930000,1,1
13103090940000,13103090940000,1,1
13103090950000,13103090950000,1,1
13103100070000,13103100070000,1,1
13103100080000,13103100080000,1,1
13103100090000,13103100090000,1,1
13103100100000,13103100100000,1,1
13103100420000,13103100420000,5,0
13103100420000,13103100430000,5,0
13103100420000,13103100440000,5,0
13103100420000,13103100450000,5,0
13103100420000,13103100460000,5,0
13103100490000,13103100490000,1,1
13103100500000,13103100500000,1,1
13103100530000,13103100530000,2,0
13103100530000,13103100550000,2,0
13103100560000,13103100560000,1,1
13103100570000,13103100570000,1,1
13103110090000,13103110090000,1,0
13103110160000,13103110160000,2,0
13103110170000,13103110170000,1,0
13103110180000,13103110180000,1,1
13103110190000,13103110190000,1,1
13103110200000,13103110200000,1,1
13103110210000,13103110210000,1,1
13103110220000,13103110220000,1,1
13103110230000,13103110230000,1,1
13103110240000,13103110240000,7,0
13103110280000,13103110280000,1,1
13103110290000,13103110290000,1,0
13103110300000,13103110300000,1,0
13103110240000,13103110310000,7,0
13103110240000,13103110320000,7,0
13103110240000,13103110330000,7,0
13103110240000,13103110340000,7,0
13103110350000,13103110350000,1,0
13103110360000,13103110360000,1,1
13103110240000,13103110370000,7,0
13103110240000,13103110380000,7,0
13103110390000,13103110390000,2,0
13103110400000,13103110400000,1,1
13103110410000,13103110410000,1,1
13103110420000,13103110420000,1,0
13103110390000,13103110450000,2,0
13103110460000,13103110460000,1,1
13103110160000,13103110480000,2,0
13103110500000,13103110500000,1,0
13103110520000,13103110520000,1,1
13103110530000,13103110530000,1,1
13103120710000,13103120710000,1,1
13103120720000,13103120720000,1,1
13103120730000,13103120730000,1,1
13103120740000,13103120740000,1,1
13103120750000,13103120750000,1,0
13103120780000,13103120780000,3,0
13103120780000,13103120790000,3,0
13103120800000,13103120800000,1,1
13103120890000,13103120890000,1,0
13103120780000,13103120900000,3,0
13103130590000,13103130590000,1,1
13103130600000,13103130600000,1,1
13103130610000,13103130610000,1,1
13103130620000,13103130620000,2,0
13103130620000,13103130630000,2,0
13103140530000,13103140530000,1,1
13103140540000,13103140540000,1,1
13103140550000,13103140550000,1,1
13103140560000,13103140560000,1,1
13103140570000,13103140570000,1,1
13103140580000,13103140580000,1,1
13103150330000,13103150330000,1,0
13103150380000,13103150380000,1,0
13103160200000,13103160200000,1,0
13103160350000,13103160350000,1,0
13103170070000,13103170070000,1,0
13103230290000,13103230290000,3,0
13103230290000,13103230300000,3,0
13103230290000,13103230310000,3,0
13103230330000,13103230330000,1,1
13103230340000,13103230340000,1,0
13103230350000,13103230350000,2,0
13103230350000,13103230360000,2,0
13104120050000,13104120050000,1,0
13104120060000,13104120060000,2,0
13104120070000,13104120070000,1,1
13104120060000,13104120080000,2,0
13104120110000,13104120110000,1,0
13104200180000,13104200180000,1,0
13104200220000,13104200220000,2,0
13104200230000,13104200230000,1,1
13104200240000,13104200240000,1,1
13104200250000,13104200250000,1,1
13104200220000,13104200260000,2,0
13104200270000,13104200270000,2,0
13104200270000,13104200280000,2,0
13104210310000,13104210310000,5,0
13104210310000,13104210320000,5,0
13104210310000,13104210330000,5,0
13104210310000,13104210340000,5,0
13104210310000,13104210350000,5,0
13104210401001,13104210401001,1,1
13104210401002,13104210401002,1,1
13104220340000,13104220340000,1,0
13104220350000,13104220350000,1,0
13104220360000,13104220360000,2,0
13104220360000,13104220370000,2,0
13104220401011,13104220401011,1,1
13104220401012,13104220401012,1,1
13104230350000,13104230350000,1,0
13104230420000,13104230420000,1,1
13104240310000,13104240310000,2,0
13104240310000,13104240320000,2,0
13104240340000,13104240340000,1,0
13104250280000,13104250280000,1,0
13104250310000,13104250310000,1,1
13104250320000,13104250320000,1,1
13104250330000,13104250330000,1,1
13104250340000,13104250340000,1,1
13104260350000,13104260350000,5,0
13104260350000,13104260360000,5,0
13104260350000,13104260370000,5,0
13104260350000,13104260380000,5,0
13104260350000,13104260390000,5,0
13104260400000,13104260400000,1,0
13104260410000,13104260410000,1,0
13104260420000,13104260420000,1,1
13104270290000,13104270290000,1,0
13104270300000,13104270300000,1,0
13104270370000,13104270370000,1,0
13104270380000,13104270380000,1,0
13104280330000,13104280330000,1,0
13104280340000,13104280340000,1,0
13104280350000,13104280350000,1,0
13104280360000,13104280360000,1,1
13104280370000,13104280370000,1,0
13111020010000,13111020010000,1,1
13112010450000,13112010450000,1,0
13112030050000,13112030050000,1,0
13112030080000,13112030080000,1,0
13112030400000,13112030400000,1,0
13112040010000,13112040010000,1,0
13112040040000,13112040040000,1,0
13112050010000,13112050010000,2,0
13112050010000,13112050020000,2,0
13112050220000,13112050220000,1,0
13112050230000,13112050230000,1,0
13112050240000,13112050240000,1,0
13112050330000,13112050330000,2,0
13112050330000,13112050340000,2,0
13112050380000,13112050380000,1,1
13112050390000,13112050390000,1,0
13112050400000,13112050400000,1,1
13112050410000,13112050410000,1,1
13112050440000,13112050440000,1,1
13112050451001,13112050451001,1,1
13112050451002,13112050451002,1,1
13112050451003,13112050451003,1,1
13112050451004,13112050451004,1,1
13112110330000,13112110330000,1,0
13112110390000,13112110390000,1,0
13112110400000,13112110400000,1,0
13112110441019,13112110441019,1,1
13112110441020,13112110441020,1,1
13112110441021,13112110441021,1,1
13112110441025,13112110441025,1,1
13112110441026,13112110441026,1,1
13112110441027,13112110441027,1,1
13112170250000,13112170250000,1,0
13112170260000,13112170260000,1,0
13112190370000,13112190370000,1,0
13112200330000,13112200330000,1,0
13112200341001,13112200341001,1,1
13112200341005,13112200341005,1,1
13112210280000,13112210280000,2,0
13112210290000,13112210290000,1,1
13112210280000,13112210300000,2,0
13112210310000,13112210310000,2,0
13112210310000,13112210320000,2,0
13112210330000,13112210330000,1,0
13112210340000,13112210340000,1,0
13112210350000,13112210350000,1,0
13112210360000,13112210360000,1,0
13112220280000,13112220280000,1,0
13112230280000,13112230280000,2,0
13112230280000,13112230290000,2,0
13112230330000,13112230330000,1,1
13112230370000,13112230370000,1,0
13112230410000,13112230410000,1,0
13112240260000,13112240260000,1,0
13113000070000,13113000070000,1,0
13113000090000,13113000090000,1,0
13113050060000,13113050060000,3,0
13113050060000,13113050280000,3,0
13113050060000,13113050290000,3,0
13113050300000,13113050300000,1,1
13113130010000,13113130010000,1,1
13113130030000,13113130030000,1,1
13113210020000,13113210020000,1,0
13113210060000,13113210060000,1,0
13113210070000,13113210070000,1,1
13113210080000,13113210080000,1,1
13113210090000,13113210090000,1,0
13113210180000,13113210180000,1,0
13113210190000,13113210190000,1,1
13113230260000,13113230260000,1,0
13113240270000,13113240270000,1,1
13113240300000,13113240300000,2,0
13113240300000,13113240310000,2,0
13113240330000,13113240330000,1,0
13113250270000,13113250260000,2,0
13113250270000,13113250270000,2,0
13113250290000,13113250290000,1,0
13113270340000,13113270340000,1,0
13113280290000,13113280290000,1,0
13114000020000,13114000020000,1,1
13114000030000,13114000030000,1,1
13114000040000,13114000040000,1,1
13114020601001,13114020601001,1,1
13114040460000,13114040460000,1,0
13114150290000,13114150290000,1,1
13114150300000,13114150300000,1,0
13114180220000,13114180210000,4,0
13114180220000,13114180220000,4,0
13114180220000,13114180260000,4,0
13114180220000,13114180280000,4,0
13114180330000,13114180330000,1,1
13114240240000,13114240240000,1,0
13114250260000,13114250260000,10,0
13114250260000,13114250270000,10,0
13114250260000,13114250280000,10,0
13114250260000,13114250290000,10,0
13114250260000,13114250300000,10,0
13114250260000,13114250310000,10,0
13114250260000,13114250320000,10,0
13114250260000,13114250330000,10,0
13114250260000,13114250340000,10,0
13114250260000,13114250350000,10,0
13114260280000,13114260280000,1,0
13114260300000,13114260300000,1,0
13114260310000,13114260310000,1,0
13114270060000,13114270060000,1,1
13114270070000,13114270070000,1,1
13114270080000,13114270080000,1,1
13114270090000,13114270090000,1,1
13114270100000,13114270100000,1,1
13114270110000,13114270110000,1,1
13114270120000,13114270120000,1,1
13114270190000,13114270190000,1,1
13114270200000,13114270200000,1,1
13114270210000,13114270210000,1,1
13114270300000,13114270300000,1,1
13114270320000,13114270320000,1,0
13114280210000,13114280210000,2,0
13114280210000,13114280220000,2,0
13114290250000,13114290250000,1,0
13114290270000,13114290270000,1,0
13114300270000,13114300270000,1,0
13114310180000,13114310180000,1,0
13114310210000,13114310210000,2,0
13114310210000,13114310220000,2,0
13121000010000,13121000010000,1,0
