keypin,pin,pins_per_keypin,needs_keypin
01123010150000,01123010150000,1,0
01123010170000,01123010170000,1,0
01123010030000,01123010190000,7,0
01123010210000,01123010210000,1,0
01123010030000,01123010220000,7,0
01123020100000,01123020100000,1,1
01123010030000,01124000010000,7,0
01123010030000,01124000070000,7,0
01124000111001,01124000111001,1,1
01124000111002,01124000111002,1,1
01124000111003,01124000111003,1,1
01124000111004,01124000111004,1,1
01124000111005,01124000111005,1,1
01124000111006,01124000111006,1,1
01124000111007,01124000111007,1,1
01124000111008,01124000111008,1,1
01124000111009,01124000111009,1,1
01124000111010,01124000111010,1,1
01124000111011,01124000111011,1,1
01124000111012,01124000111012,1,1
01124000151001,01124000151001,1,1
01124000151002,01124000151002,1,1
01124000151003,01124000151003,1,1
01124000151004,01124000151004,1,1
01124000151005,01124000151005,1,1
01124000151006,01124000151006,1,1
01124000151007,01124000151007,1,1
01124000151008,01124000151008,1,1
01124000160000,01124000160000,1,1
01124000171001,01124000171001,1,1
01124000171002,01124000171002,1,1
01124000171003,01124000171003,1,1
01124000171004,01124000171004,1,1
01124000171005,01124000171005,1,1
01124000171006,01124000171006,1,1
01191000040000,01191000040000,1,1
01212040030000,01212040030000,1,0
01252030480000,01252030480000,1,0
01252030500000,01252030500000,1,0
01252030520000,01252030520000,1,0
01252030530000,01252030530000,1,0
01252110148002,01252110148002,1,1
01254000010000,01254000010000,1,1
01281020150000,01281020150000,1,0
01301000160000,01301000160000,1,0
01312000040000,01312000040000,1,1
01321000050000,01312010030000,3,0
01321000050000,01312020020000,3,0
01313000060000,01313000060000,1,1
01313000140000,01313000140000,1,0
01313000160000,01313000160000,1,1
01314000140000,01314000140000,1,1
01314000150000,01314000150000,1,1
01314000160000,01314000160000,1,1
01314000170000,01314000170000,1,1
01314000200000,01314000200000,1,0
01314000210000,01314000210000,1,1
01321000050000,01321000050000,3,0
01321000060000,01321000060000,1,1
01322010040000,01322010040000,1,0
01322010060000,01322010060000,1,0
01322010098002,01322010098002,1,0
01322020020000,01322020020000,1,0
01322020040000,01322020040000,1,0
01322020060000,01322020060000,1,0
01322020070000,01322020070000,1,0
01323020030000,01323020030000,1,0
01323020040000,01323020040000,1,0
01323020050000,01323020050000,1,0
01323020230000,01323020230000,1,0
01323020240000,01323020240000,1,1
01323020250000,01323020250000,1,1
01323020260000,01323020260000,1,1
01323020300000,01323020300000,1,1
