pin10,year,longitude,latitude,group,pin,keypin,sale_buyer_name,sale_document_num,num_parcels_sale,year_sold,proj_appeallant,timesappealed,incent_prop,appellant,appealid,year_appealed,geometry
1823101012,2022,-87.83112897978673,41.77610508832207,8,18231010128002,NA,NA,NA,NA,NA,2112524 - INGREDION,11,Non-Incentive,INGREDION,2112524,2023,"list(list(c(-87.82971, -87.82808, -87.82926, -87.83013, -87.83007, -87.83158, -87.83192, -87.83249, -87.83407, -87.83284, -87.83005, -87.82971, 41.77671, 41.77849, 41.77918, 41.77825, 41.7767, 41.77667, 41.7763, 41.77568, 41.77396, 41.77332, 41.77634, 41.77671)))"
1823200001,2022,-87.82486941150337,41.77492150236288,1,18232000010000,NA,NA,NA,NA,NA,2112524 - INGREDION,14,Non-Incentive,INGREDION,2112524,2023,"list(list(c(-87.82659, -87.82585, -87.82501, -87.8202, -87.82036, -87.82515, -87.82543, -87.82648, -87.8282, -87.82998, -87.83121, -87.82992, -87.82661, -87.82659, 41.77311, 41.77302, 41.77304, 41.77314, 41.77689, 41.77679, 41.77679, 41.77677, 41.77674, 41.77479, 41.77346, 41.77349, 41.77356, 41.77311)))"
1823201002,2022,-87.82899514331942,41.7732241720742,1,18232010020000,NA,NA,NA,NA,NA,2112524 - INGREDION,14,Non-Incentive,INGREDION,2112524,2023,"list(list(c(-87.82585, -87.82659, -87.82661, -87.82992, -87.83121, -87.83172, -87.8299, -87.82585, 41.77302, 41.77311, 41.77356, 41.77349, 41.77346, 41.7729, 41.77294, 41.77302)))"
1823201004,2022,-87.82617967175281,41.77252827220636,1,18232010040000,NA,NA,NA,NA,NA,2112524 - INGREDION,14,Non-Incentive,INGREDION,2112524,2023,"list(list(c(-87.82497, -87.82016, -87.8202, -87.82501, -87.82585, -87.8299, -87.83172, -87.83262, -87.82986, -87.82497, 41.77208, 41.77218, 41.77314, 41.77304, 41.77302, 41.77294, 41.7729, 41.77192, 41.77198, 41.77208)))"
1823201012,2022,-87.82646165703291,41.771040152789325,1,18232010120000,NA,NA,NA,NA,NA,2112524 - INGREDION,14,Non-Incentive,INGREDION,2112524,2023,"list(list(c(-87.82106, -87.82007, -87.82008, -87.82013, -87.82009, -87.82016, -87.82497, -87.82986, -87.83262, -87.83353, -87.83148, -87.82977, -87.82489, -87.82106, 41.77011, 41.77013, 41.77033, 41.77035, 41.77042, 41.77218, 41.77208, 41.77198, 41.77192, 41.77093, 41.7699, 41.76993, 41.77003, 41.77011)))"
1823201013,2022,-87.83243806100621,41.7698711547282,1,18232010130000,NA,NA,NA,NA,NA,NA,NA,Non-Incentive,NA,NA,NA,"list(list(c(-87.83148, -87.83353, -87.83437, -87.83454, -87.83435, -87.83357, -87.82974, -87.82977, -87.83148, 41.7699, 41.77093, 41.77002, 41.76983, 41.76973, 41.76931, 41.76939, 41.76993, 41.7699)))"
1823201014,2022,-87.82531588777162,41.76976813510036,1,18232010140000,NA,NA,NA,NA,NA,NA,NA,Non-Incentive,NA,NA,NA,"list(list(c(-87.82341, -87.82341, -87.82006, -87.82007, -87.82106, -87.82489, -87.82977, -87.82974, -87.82487, -87.82341, 41.76952, 41.76965, 41.76972, 41.76991, 41.77011, 41.77003, 41.76993, 41.76939, 41.76949, 41.76952)))"
1823300002,2022,-87.83822134781008,41.768382231870795,3,18233000020000,NA,NA,NA,NA,NA,2117212 - KINDER MORGAN INC,14,Non-Incentive,KINDER MORGAN INC,2117212,2023,"list(list(c(-87.83925, -87.83661, -87.83783, -87.83844, -87.83932, -87.83932, -87.83925, 41.76639, 41.76925, 41.76987, 41.76921, 41.76825, 41.76824, 41.76639)))"
1823301007,2022,-87.83705959579235,41.7661568524416,5,18233010070000,NA,NA,NA,NA,NA,2118949 - WESTLAKE EPOXY INC,8,Non-Incentive,WESTLAKE EPOXY INC,2118949,2023,"list(list(c(-87.83623, -87.83672, -87.83679, -87.83692, -87.83704, -87.83716, -87.83728, -87.83739, -87.83748, -87.83772, -87.83843, -87.83619, -87.83623, 41.76689, 41.76688, 41.76688, 41.76686, 41.76683, 41.76679, 41.76674, 41.76668, 41.76662, 41.76636, 41.76558, 41.76564, 41.76689)))"
1823301008,2022,-87.83487884929791,41.76626974353365,5,18233010080000,NA,NA,NA,NA,NA,2118947 - BUCKEYE PARTNERS LP,3,Non-Incentive,BUCKEYE PARTNERS LP,2118947,2023,"list(list(c(-87.8342, -87.83339, -87.83336, -87.83338, -87.83338, -87.8334, -87.83344, -87.83349, -87.83355, -87.83363, -87.83371, -87.83381, -87.83392, -87.83394, -87.83408, -87.83423, -87.83425, -87.83438, -87.83453, -87.83468, -87.83623, -87.83619, -87.8342, 41.76569, 41.76571, 41.76571, 41.76611, 41.76614, 41.76623, 41.76633, 41.76642, 41.76651, 41.76659, 41.76666, 41.76673, 41.76679, 41.7668, 41.76685, 41.76688, 41.76689, 41.76691, 41.76693, 41.76693, 41.76689, 41.76564, 41.76569)))"
1823302005,2022,-87.83876594352098,41.7628041059044,5,18233020050000,NA,NA,NA,NA,NA,2115586 - CO RYAN,7,Non-Incentive,CO RYAN,2115586,2023,"list(list(c(-87.83838, -87.83844, -87.83915, -87.83909, -87.83838, 41.76192, 41.7637, 41.76369, 41.76191, 41.76192)))"
1823302007,2022,-87.82850610275715,41.76301567850947,5,18233020070000,NA,NA,2423509001,4,2024,2114990 - UNIVAR USA & RYAN & CO,12,Incentive,UNIVAR USA & RYAN & CO,2114990,2023,"list(list(c(-87.82723, -87.82584, -87.82948, -87.83051, -87.83047, -87.82953, -87.82942, -87.82723, 41.76236, 41.7637, 41.76362, 41.76359, 41.76226, 41.76228, 41.76228, 41.76236)))"
1823302012,2022,-87.82615243464964,41.76535188877072,5,18233020120000,NA,NA,NA,NA,NA,2117214 - KINDER MORGAN INC,8,Incentive,KINDER MORGAN INC,2117214,2023,"list(list(c(-87.82541, -87.82533, -87.82524, -87.82516, -87.82509, -87.82483, -87.8247, -87.82471, -87.82472, -87.82471, -87.82417, -87.82452, -87.82474, -87.82797, -87.8278, -87.82779, -87.82814, -87.82812, -87.82664, -87.82547, -87.82541, 41.76477, 41.76476, 41.76474, 41.76471, 41.76467, 41.76468, 41.76468, 41.76479, 41.76519, 41.7652, 41.76572, 41.7659, 41.7659, 41.76584, 41.76573, 41.76558, 41.76557, 41.76515, 41.76476, 41.76477, 41.76477)))"
1823302017,2022,-87.82836278398305,41.764569551632015,5,18233020170000,NA,NA,2423509001,4,2024,2114990 - UNIVAR USA & RYAN & CO,12,Incentive,UNIVAR USA & RYAN & CO,2114990,2023,"list(list(c(-87.82509, -87.82516, -87.82524, -87.82533, -87.82541, -87.82547, -87.82664, -87.82812, -87.82814, -87.82779, -87.8278, -87.82797, -87.82958, -87.83058, -87.83051, -87.82948, -87.82584, -87.82497, -87.82508, -87.82509, 41.76467, 41.76471, 41.76474, 41.76476, 41.76477, 41.76477, 41.76476, 41.76515, 41.76557, 41.76558, 41.76573, 41.76584, 41.76581, 41.76578, 41.76359, 41.76362, 41.7637, 41.76454, 41.76461, 41.76467)))"
1823302019,2022,-87.82497531517213,41.76462479482385,5,18233020190000,NA,NA,NA,NA,NA,2117212 - KINDER MORGAN INC,14,Non-Incentive,KINDER MORGAN INC,2117212,2023,"list(list(c(-87.82495, -87.82483, -87.82509, -87.82508, -87.82497, -87.82495, 41.76455, 41.76468, 41.76467, 41.76461, 41.76454, 41.76455)))"
1823302020,2022,-87.83469058633241,41.76360088995119,5,18233020200000,NA,NA,NA,NA,NA,2118947 - BUCKEYE PARTNERS LP,3,Non-Incentive,BUCKEYE PARTNERS LP,2118947,2023,"list(list(c(-87.83746, -87.83724, -87.83722, -87.83547, -87.83426, -87.83414, -87.83407, -87.83338, -87.83113, -87.83091, -87.83069, -87.83047, -87.83025, -87.83003, -87.82981, -87.82959, -87.82941, -87.82937, -87.82915, -87.82893, -87.82871, -87.82849, -87.82827, -87.82805, -87.82789, -87.82555, -87.82532, -87.82723, -87.82942, -87.82953, -87.83047, -87.83322, -87.83336, -87.83339, -87.8342, -87.83619, -87.83617, -87.83746, -87.83751, -87.83743, -87.83752, -87.83746, 41.76288, 41.76271, 41.76194, 
41.76198, 41.762, 41.76201, 41.76201, 41.76202, 41.76207, 41.76207, 41.76207, 41.76208, 41.76208, 41.76209, 41.76209, 41.7621, 41.7621, 41.7621, 41.7621, 41.76211, 41.76211, 41.76212, 41.76212, 41.76213, 41.76213, 41.76218, 41.7624, 41.76236, 41.76228, 41.76228, 41.76226, 41.7622, 41.76571, 41.76571, 41.76569, 41.76564, 41.76503, 41.76499, 41.76449, 41.76424, 41.76358, 41.76288)))"
1823302021,2022,-87.83775855795655,41.76403292134577,5,18233020210000,NA,NA,NA,NA,NA,2118949 - WESTLAKE EPOXY INC,9,Non-Incentive,WESTLAKE EPOXY INC,2118949,2023,"list(list(c(-87.83849, -87.83844, -87.83838, -87.83722, -87.83724, -87.83746, -87.83752, -87.83743, -87.83751, -87.83746, -87.83617, -87.83619, -87.83843, -87.83898, -87.83849, 41.765, 41.7637, 41.76192, 41.76194, 41.76271, 41.76288, 41.76358, 41.76424, 41.76449, 41.76499, 41.76503, 41.76564, 41.76558, 41.76499, 41.765)))"
1823302023,2022,-87.8235327606093,41.76462314308124,5,18233020230000,NA,NA,NA,NA,NA,2119141 - PETER DZIEDZIC,2,Non-Incentive,PETER DZIEDZIC,2119141,2023,"list(list(c(-87.82362, -87.82366, -87.82397, -87.82422, -87.82441, -87.82453, -87.8238, -87.82269, -87.82362, 41.76547, 41.76457, 41.76442, 41.76439, 41.7644, 41.76429, 41.76387, 41.76494, 41.76547)))"
1823302024,2022,-87.82414249792403,41.764863980338106,5,18233020240000,NA,NA,NA,NA,NA,2117212 - KINDER MORGAN INC,5,Non-Incentive,KINDER MORGAN INC,2117212,2023,"list(list(c(-87.82441, -87.82422, -87.82397, -87.82366, -87.82362, -87.82363, -87.82386, -87.82469, -87.82471, -87.8247, -87.82483, -87.82495, -87.82497, -87.82453, -87.82441, 41.7644, 41.76439, 41.76442, 41.76457, 41.76547, 41.76547, 41.76561, 41.7648, 41.76479, 41.76468, 41.76468, 41.76455, 41.76454, 41.76429, 41.7644)))"
1823400027,2022,-87.82724467146885,41.76663162054159,5,18234000270000,NA,NA,NA,NA,NA,2117212 - KINDER MORGAN INC,14,Non-Incentive,KINDER MORGAN INC,2117212,2023,"list(list(c(-87.82589, -87.82592, -87.82592, -87.82867, -87.82865, -87.82864, -87.82817, -87.82588, -87.82588, -87.82589, 41.76642, 41.7671, 41.76719, 41.76715, 41.76655, 41.76638, 41.76605, 41.76609, 41.76629, 41.76642)))"
1823400033,2022,-87.82366691702605,41.766270953720856,5,18234000330000,NA,NA,NA,NA,NA,2117212 - KINDER MORGAN INC,5,Non-Incentive,KINDER MORGAN INC,2117212,2023,"list(list(c(-87.82371, -87.82357, -87.82372, -87.82371, 41.76618, 41.76632, 41.76632, 41.76618)))"
