group,pin10,keypin,year,longitude,latitude,pin,sale_buyer_name,sale_document_num,num_parcels_sale,year_sold,proj_appeallant,timesappealed,incent_prop,appellant,appealid,year_appealed,geometry
85,0831400062,08314000621008,2022,-88.0251407374737,41.9935909147235,08314000621008,NA,NA,NA,NA,1611263 - BONAVENTURE CONDOMINIU,9,Non-Incentive,BONAVENTURE CONDOMINIU,1611263,2022,"list(list(c(-88.02565, -88.02566, -88.02565, -88.02564, -88.02564, -88.02563, -88.02562, -88.02561, -88.02561, -88.0256, -88.0256, -88.02559, -88.02559, -88.02558, -88.02558, -88.02558, -88.02557, -88.02557, -88.02557, -88.02556, -88.02556, -88.02461, -88.02467, -88.02565, 41.99382, 41.99349, 41.99349, 41.99349, 41.99348, 41.99348, 41.99347, 41.99347, 41.99346, 41.99346, 41.99345, 41.99345, 41.99344, 41.99344, 41.99343, 41.99342, 41.99342, 41.99341, 41.9934, 41.99339, 41.99338, 41.99337, 41.9938, 
41.99382)))"
85,0831400063,08314000631001,2022,-88.02627262355024,41.99298388160304,08314000631001,BRIAN D SHAPIRO CHERYL M PLETCHER-S,1210204041,1,2012,1617401 - BRIAN & CHERYL SHAPIRO,3,Non-Incentive,BRIAN & CHERYL SHAPIRO,1617401,2019,"list(list(c(-88.02624, -88.02586, -88.02587, -88.02588, -88.02665, -88.02668, -88.02667, -88.02666, -88.02624, 41.99274, 41.99275, 41.99291, 41.99323, 41.99323, 41.99306, 41.99274, 41.99274, 41.99274)))"
85,0831400063,08314000631002,2022,-88.02627262355024,41.99298388160304,08314000631002,LSKI SQUAD LLC,2111618035,1,2021,1617401 - BRIAN & CHERYL SHAPIRO,3,Non-Incentive,BRIAN & CHERYL SHAPIRO,1617401,2019,"list(list(c(-88.02624, -88.02586, -88.02587, -88.02588, -88.02665, -88.02668, -88.02667, -88.02666, -88.02624, 41.99274, 41.99275, 41.99291, 41.99323, 41.99323, 41.99306, 41.99274, 41.99274, 41.99274)))"
85,0831400063,08314000631003,2022,-88.02627262355024,41.99298388160304,08314000631003,ARTUR CLIMATE CONTROL COR,2029803316,1,2020,1617401 - BRIAN & CHERYL SHAPIRO,5,Non-Incentive,BRIAN & CHERYL SHAPIRO,1617401,2019,"list(list(c(-88.02624, -88.02586, -88.02587, -88.02588, -88.02665, -88.02668, -88.02667, -88.02666, -88.02624, 41.99274, 41.99275, 41.99291, 41.99323, 41.99323, 41.99306, 41.99274, 41.99274, 41.99274)))"
85,0831400063,08314000631004,2022,-88.02627262355024,41.99298388160304,08314000631004,LI PEILING,1303042018,1,2013,1617401 - BRIAN & CHERYL SHAPIRO,3,Non-Incentive,BRIAN & CHERYL SHAPIRO,1617401,2019,"list(list(c(-88.02624, -88.02586, -88.02587, -88.02588, -88.02665, -88.02668, -88.02667, -88.02666, -88.02624, 41.99274, 41.99275, 41.99291, 41.99323, 41.99323, 41.99306, 41.99274, 41.99274, 41.99274)))"
85,0831400063,08314000631005,2022,-88.02627262355024,41.99298388160304,08314000631005,"MAZAL INVESTMENTS, LLC",1831206069,1,2018,1617401 - BRIAN & CHERYL SHAPIRO,4,Non-Incentive,BRIAN & CHERYL SHAPIRO,1617401,2019,"list(list(c(-88.02624, -88.02586, -88.02587, -88.02588, -88.02665, -88.02668, -88.02667, -88.02666, -88.02624, 41.99274, 41.99275, 41.99291, 41.99323, 41.99323, 41.99306, 41.99274, 41.99274, 41.99274)))"
85,0831400063,08314000631006,2022,-88.02627262355024,41.99298388160304,08314000631006,ESA CONSULTING LLC,2127110241,1,2021,1617401 - BRIAN & CHERYL SHAPIRO,3,Non-Incentive,BRIAN & CHERYL SHAPIRO,1617401,2019,"list(list(c(-88.02624, -88.02586, -88.02587, -88.02588, -88.02665, -88.02668, -88.02667, -88.02666, -88.02624, 41.99274, 41.99275, 41.99291, 41.99323, 41.99323, 41.99306, 41.99274, 41.99274, 41.99274)))"
85,0831400063,08314000631007,2022,-88.02627262355024,41.99298388160304,08314000631007,"COLIE INVESTMENTS, LLC",1826719040,1,2018,1617401 - BRIAN & CHERYL SHAPIRO,3,Non-Incentive,BRIAN & CHERYL SHAPIRO,1617401,2019,"list(list(c(-88.02624, -88.02586, -88.02587, -88.02588, -88.02665, -88.02668, -88.02667, -88.02666, -88.02624, 41.99274, 41.99275, 41.99291, 41.99323, 41.99323, 41.99306, 41.99274, 41.99274, 41.99274)))"
85,0831400063,08314000631008,2022,-88.02627262355024,41.99298388160304,08314000631008,NA,NA,NA,NA,1617401 - BRIAN & CHERYL SHAPIRO,3,Non-Incentive,BRIAN & CHERYL SHAPIRO,1617401,2019,"list(list(c(-88.02624, -88.02586, -88.02587, -88.02588, -88.02665, -88.02668, -88.02667, -88.02666, -88.02624, 41.99274, 41.99275, 41.99291, 41.99323, 41.99323, 41.99306, 41.99274, 41.99274, 41.99274)))"
84,0831400064,08314000640000,2022,-88.02938068044759,41.99366615980802,08314000640000,JJS HOSPITALITY INC,2009103388,2,2020,1615401 - ELK GROVE HOSPITALITY,11,Non-Incentive,ELK GROVE HOSPITALITY,1615401,2022,"list(list(c(-88.02936, -88.02936, -88.02935, -88.02939, -88.02938, -88.02935, -88.02934, -88.02939, -88.02942, -88.02936, 41.99315, 41.9935, 41.99363, 41.99365, 41.99393, 41.99393, 41.99423, 41.99423, 41.99315, 41.99315)))"
84,0831400065,08314000650000,2022,-88.02936792672268,41.99378413170739,08314000650000,NA,NA,NA,NA,1615401 - ELK GROVE HOSPITALITY,11,Non-Incentive,ELK GROVE HOSPITALITY,1615401,2022,"list(list(c(-88.02935, -88.02935, -88.02938, -88.02939, -88.02935, 41.99363, 41.99393, 41.99393, 41.99365, 41.99363)))"
84,0831400066,08314000660000,2022,-88.02890254551903,41.993662976274244,08314000660000,NA,1631910119,2,2016,1615401 - ELK GROVE HOSPITALITY,11,Non-Incentive,ELK GROVE HOSPITALITY,1615401,2022,"list(list(c(-88.02938, -88.02897, -88.02896, -88.02895, -88.02826, -88.02826, -88.02826, -88.02825, -88.02826, -88.02826, -88.02826, -88.02826, -88.02826, -88.02826, -88.02826, -88.02826, -88.02826, -88.02827, -88.02827, -88.02827, -88.02827, -88.02827, -88.02827, -88.02827, -88.02828, -88.02828, -88.02828, -88.02828, -88.02828, -88.02828, -88.02829, -88.02829, -88.02829, -88.02829, -88.02829, -88.0283, -88.0283, -88.0283, -88.0283, -88.02831, -88.02831, -88.02831, -88.02831, -88.02832, -88.02832, 
-88.02832, -88.02832, -88.02833, -88.02833, -88.02833, -88.02833, -88.02834, -88.02834, -88.02834, -88.02835, -88.02835, -88.02835, -88.02836, -88.02836, -88.02836, -88.02837, -88.02837, -88.02837, -88.02838, -88.02838, -88.02838, -88.02839, -88.02839, -88.02839, -88.0284, -88.0284, -88.02841, -88.02841, -88.02841, -88.02842, -88.02917, -88.02922, -88.02949, -88.0295, -88.02934, -88.02935, -88.02897, -88.02898, -88.02887, -88.0287, -88.02869, -88.02843, -88.02844, -88.02869, -88.02869, -88.02888, 
-88.02935, -88.02936, -88.02936, -88.02938, 41.99266, 41.99265, 41.99303, 41.99331, 41.99331, 41.99362, 41.99364, 41.99372, 41.99381, 41.99387, 41.99388, 41.99389, 41.9939, 41.99391, 41.99392, 41.99393, 41.99394, 41.99394, 41.99395, 41.99396, 41.99397, 41.99398, 41.99399, 41.994, 41.994, 41.99401, 41.99402, 41.99403, 41.99404, 41.99405, 41.99405, 41.99406, 41.99407, 41.99408, 41.99409, 41.99409, 41.9941, 41.99411, 41.99412, 41.99413, 41.99414, 41.99415, 41.99416, 41.99416, 41.99417, 41.99418, 41.99419, 
41.99419, 41.9942, 41.99421, 41.99422, 41.99422, 41.99423, 41.99424, 41.99424, 41.99425, 41.99426, 41.99427, 41.99428, 41.99429, 41.99429, 41.9943, 41.99431, 41.99431, 41.99432, 41.99433, 41.99433, 41.99434, 41.99435, 41.99436, 41.99437, 41.99437, 41.99438, 41.99439, 41.99439, 41.9944, 41.9944, 41.9944, 41.99423, 41.99423, 41.99393, 41.99392, 41.99385, 41.99385, 41.99385, 41.99408, 41.99408, 41.99363, 41.99364, 41.99362, 41.99362, 41.99363, 41.9935, 41.99315, 41.99266)))"
